language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes
Bali	ban	hand	1277	1	lima	1	l i m a	limə 1
Bali	ban	dirty	1230	10	daki	1	d a k i	
Bali	ban	meat/flesh	634	103	isi	31	i s i	
Bali	ban	fat/grease	1282	104	muluk	1?	m u l u k	
Bali	ban	tail	1220	105	ikut	1	i k u t	
Bali	ban	snake	730	106	lelipi	1?	l e l i p i	
Bali	ban	worm (earthworm)	1219	107	cacing	23	c a c i n g	
Bali	ban	louse	1392	108	kutu	1	k u t u	
Bali	ban	mosquito	1509	109	legu	44	l e g u	ləgu 44
Bali	ban	dust	2	11	buk	1	b u k	
Bali	ban	spider	843	110	kekawa	1	k e k a w a	
Bali	ban	branch	1531	113	carang	9	c a r a n g	
Bali	ban	leaf	628	114	don	1	d o n	
Bali	ban	root	670	115	akah	2	a k a h	
Bali	ban	flower	239	116	bunga	1	b u n g a	
Bali	ban	fruit	1507	117	woh-wohan	1	w o h w o h a n	
Bali	ban	earth/soil	1228	119	tanah	1	t a n a h	
Bali	ban	skin	763	12	kulit	1	k u l i t	
Bali	ban	stone	857	120	batu	1	b a t u	
Bali	ban	sand	671	121	bias	26	b i a s	
Bali	ban	sea	1474	124	pasih	1?	p a s i h	
Bali	ban	salt	1274	125	uyah	15	u y a h	
Bali	ban	lake	624	126	danu	1	d a n u	
Bali	ban	woods/forest	420	127	alas	1	a l a s	
Bali	ban	sky	1732	128	langit	1	l a n g i t	
Bali	ban	moon	1313	129	bulan	1	b u l a n	
Bali	ban	star	1430	130	bintang	1	b i n t a n g	
Bali	ban	rain	658	133	ujan	1	u j a n	
Bali	ban	thunder	1150	134	kerug	2	k e r u g	kərug 2
Bali	ban	wind	960	136	angin	1	a n g i n	
Bali	ban	warm	1232	138	panes	1	p a n e s	
Bali	ban	cold	1287	139	dingin	1	d i n g i n	
Bali	ban	belly	1251	14	basang	29?	b a s a n g	
Bali	ban	dry	1398	140	tuh	41?	t u h	
Bali	ban	wet	1726	141	beseg	1	b e s e g	bəsəg 1
Bali	ban	heavy	1210	142	baat	1	b aa t	
Bali	ban	fire	221	143	api	1	a p i	
Bali	ban	ash	646	146	aon	1?	a o n	
Bali	ban	black	163	147	badeng	22	b a d e n g	badəŋ 22
Bali	ban	white	1335	148	putih	1	p u t i h	
Bali	ban	bone	1394	15	tulang	1	t u l a n g	
Bali	ban	yellow	1424	150	kuning	1	k u n i n g	%kuning
Bali	ban	green	1425	151	gadang	28	g a d a n g	
Bali	ban	big	1202	153	gede	27	g e d e	gəde 27
Bali	ban	short	1645	154	bawak	54	b a w a k	
Bali	ban	long	1203	155	dawa	33	d a w a	dawə 33
Bali	ban	thin	1400	156	tipis	1	t i p i s	
Bali	ban	thick	1244	157	tebal	26	t e b a l	təbəl 26
Bali	ban	narrow	1267	158	cupek	1?	c u p e k	cupək 1?
Bali	ban	intestines	1991	16	babetukan	21	b a b e t u k a n	
Bali	ban	painful, sick	2103	160	sakit	1	s a k i t	
Bali	ban	old	1229	162	tua	1	t u a	
Bali	ban	bad, evil	1292	165	beler	25	b e l e r	bələr 25
Bali	ban	correct, true	1725	166	beneh	1	b e n e h	bənəh 1
Bali	ban	night	1233	167	peteng	47	p e t e n g	pətəŋ 47
Bali	ban	day	1225	168	dina	11	d i n a	dinə 11
Bali	ban	liver	1224	17	ati	1	a t i	
Bali	ban	when?	1238	170	pidan	1	p i d a n	
Bali	ban	to hide	602	171	mengkeb	30	m e n g k e b	
Bali	ban	to climb	1102	172	menek	1	m e n e k	menɛk 1
Bali	ban	at	1461	173	di	20	d i	sig 20
Bali	ban	in, inside	1606	174	di tengah	22	d i _ t e n g a h	di təŋah 22
Bali	ban	above	1741	175	baduur	2	b a d uu r	
Bali	ban	this	1214	177	ene	1	e n e	əne 1
Bali	ban	near	1942	179	paek	27	p a e k	paək 27
Bali	ban	breast	1402	18	nyonyo	3	n y o n y o	
Bali	ban	far	1406	180	joh	1	j o h	
Bali	ban	he/she	262	184	ia	1	i a	
Bali	ban	we	1212	185	iraga	5	i r a g a	iraga 5
Bali	ban	what?	1236	188	apa	1	a p a	apə 1
Bali	ban	shoulder	1482	19	pala	1	p a l a	palə 1
Bali	ban	other	197	190	len	2	l e n	
Bali	ban	and	1577	192	muah	2	m u a h	
Bali	ban	One	1493	197	sa	1	s a	
Bali	ban	Two	1498	198	dadua	1	d a d u a	
Bali	ban	Three	492	199	telu	1	t e l u	təlu 1
Bali	ban	to know, be knowledgeable	1410	20	tawang	36	t a w a n g	
Bali	ban	Four	1500	200	patpat	1	p a t p a t	
Bali	ban	Five	493	201	limə	1	l i m ə	
Bali	ban	Six	1703	202	ənəm	1	ə n ə m	
Bali	ban	Seven	1704	203	pitu	1	p i t u	
Bali	ban	Nine	1483	205	siə	5	s i ə	
Bali	ban	One Hundred	1634	209	satus	4	s a t u s	
Bali	ban	to think	2271	21	mekeneh	33	m e k e n e h	
Bali	ban	to fear	1419	22	takut	1	t a k u t	
Bali	ban	blood	946	23	getih	18	g e t i h	gətih 18
Bali	ban	neck	1333	25	baong	70	b a o n g	
Bali	ban	hair	1040	26	bok	1	b o k	
Bali	ban	to sniff, smell	375	29	ngadek	1	n g a d e k	ŋadək 1
Bali	ban	right	1019	3	tengawan	1	t e n g a w a n	təŋawan 1
Bali	ban	mouth	674	30	bunnut	37	b u nn u t	bibin 32
Bali	ban	tooth	1380	31	gigi	17	g i g i	
Bali	ban	to laugh	1355	33	kedek	30	k e d e k	kədɛk 30
Bali	ban	to vomit	1278	35	ngutah	1	n g u t a h	
Bali	ban	to eat	1336	37	daar	11	d aa r	%daar
Bali	ban	to chew	321	38	makpak	24	m a k p a k	
Bali	ban	to cook	1100	39	nyakan	2	n y a k a n	
Bali	ban	leg/foot	2098	4	batis	23	b a t i s	
Bali	ban	to drink	1401	40	nginem	1	n g i n e m	ŋinəm 1
Bali	ban	to bite	1403	41	nyegut	30	n y e g u t	ñəgut 30
Bali	ban	to suck	1421	42	ngisep	1	n g i s e p	ŋisəp 1
Bali	ban	ear	1247	43	kuping	15	k u p i n g	%kuping
Bali	ban	to hear	1408	44	ningeh	1	n i n g e h	niŋəh 1?
Bali	ban	eye	1248	45	mata	1	m a t a	
Bali	ban	to yawn	1028	47	uab-uab	1	u a b u a b	
Bali	ban	to walk	1443	5	majalan	21	m a j a l a n	məjalan 21
Bali	ban	to dream	1920	50	ngipi	1	n g i p i	
Bali	ban	man/male	1554	54	muani	1	m u a n i	
Bali	ban	child	2099	56	panak	1	p a n a k	
Bali	ban	mother	1216	59	meme	5?	m e m e	meme 5?
Bali	ban	father	1217	60	bapa	5	b a p a	bapə 5
Bali	ban	house	1252	61	umah	1	u m a h	umah 1
Bali	ban	name	1405	63	adan	1	a d a n	adan 1
Bali	ban	to say	1458	64	ngomong	25	n g o m o n g	%ngomong; %nomoŋ 25
Bali	ban	rope	1218	65	tali	1	t a l i	
Bali	ban	to sew	1457	67	nyait	2	n y a i t	ñait 2
Bali	ban	needle	1382	68	jaum	1	j a u m	jaum 1
Bali	ban	to come	1446	7	təku	17	t ə k u	təkə 17
Bali	ban	to shoot	1172	70	medil	9	m e d i l	mədil 9
Bali	ban	to stab, pierce	1434	71	nebek	25	n e b e k	nəbək 25
Bali	ban	to hit	1433	72	nyagur	34	n y a g u r	ñagur 34
Bali	ban	to steal	713	73	maling	16	m a l i n g	maliŋ 16
Bali	ban	to kill	1417	74	ngamatiang	2	n g a m a t i a n g	ŋəmatiyang 2
Bali	ban	to die, be dead	1494	75	mati	1	m a t i	
Bali	ban	to live, be alive	1422	76	idup	1	i d u p	
Bali	ban	to cut, hack	1432	78	nugel	36	n u g e l	nugəl 36
Bali	ban	stick/wood	1295	79	kayu	1	k a y u	
Bali	ban	to turn	1588	8	belok	24	b e l o k	
Bali	ban	dull, blunt	379	82	puntul	1	p u n t u l	
Bali	ban	to plant	1486	84	nanem	2	n a n e m	nanəm 2
Bali	ban	to choose	1750	85	milih	1	m i l i h	
Bali	ban	to grow	479	86	tumbuh	1	t u m b u h	
Bali	ban	to swim	1439	9	nglangi	1	n g l a n g i	
Bali	ban	to dig	1418	90	mlumbang	24?	m l u m b a n g	mlumbaŋ 24?
Bali	ban	to buy	1869	91	meli	1	m e l i	məli 1
Bali	ban	to open, uncover	1156	92	ngehgah	27	n g e h g a h	ŋahgah 27
Bali	ban	to pound, beat	354	93	nebuk	6	n e b u k	nəbuk 6
Bali	ban	to fall	1280	95	ulung	34	u l u n g	
Bali	ban	egg	744	98	taluh	1	t a l u h	
Bali	ban	feather	1201	99	bulu	1	b u l u	
Banggai (W.dialect)	bgz	hand	1277	1	lima	1	l i m a	
Banggai (W.dialect)	bgz	fat/grease	1282	104	lanak	24	l a n a k	minak 1
Banggai (W.dialect)	bgz	tail	1220	105	puus	30?	p uu s	
Banggai (W.dialect)	bgz	snake	730	106	bindana	39	b i n d a n a	
Banggai (W.dialect)	bgz	worm (earthworm)	1219	107	uloy	36	u l o y	
Banggai (W.dialect)	bgz	louse	1392	108	kutu|k	1	k u t u| k	
Banggai (W.dialect)	bgz	spider	843	110	loa	1	l o a	
Banggai (W.dialect)	bgz	branch	1531	113	paŋa	22	p a ŋ a	
Banggai (W.dialect)	bgz	leaf	628	114	loon	1	l oo n	
Banggai (W.dialect)	bgz	root	670	115	ɬakat	2?	ɬ a k a t	[ɬ]akat
Banggai (W.dialect)	bgz	flower	239	116	buŋa	1	b u ŋ a	
Banggai (W.dialect)	bgz	earth/soil	1228	119	tano	1	t a n o	
Banggai (W.dialect)	bgz	skin	763	12	kulit	1	k u l i t	
Banggai (W.dialect)	bgz	stone	857	120	batu	1	b a t u	
Banggai (W.dialect)	bgz	sand	671	121	bone	1	b o n e	
Banggai (W.dialect)	bgz	salt	1274	125	timuson	2	t i m u s o n	
Banggai (W.dialect)	bgz	moon	1313	129	bituon	1?	b i t u o n	
