concept,doculect,counterpart,cogid,lpID
hand,Bali,lima,1,801
dirty,Bali,daki,1,433
meat/flesh,Bali,isi,31,1097
tail,Bali,ikut,1,1742
worm (earthworm),Bali,cacing,23,3113
louse,Bali,kutu,1,1082
mosquito,Bali,legu,44,1130
dust,Bali,buk,1,503
spider,Bali,kekawa,1,1700
branch,Bali,carang,9,319
leaf,Bali,don,1,979
root,Bali,akah,2,1444
flower,Bali,bunga,1,676
fruit,Bali,woh-wohan,1,705
earth/soil,Bali,tanah,1,532
skin,Bali,kulit,1,1616
stone,Bali,batu,1,1734
sand,Bali,bias,26,1503
salt,Bali,uyah,15,1494
lake,Bali,danu,1,964
woods/forest,Bali,alas,1,3094
sky,Bali,langit,1,1626
moon,Bali,bulan,1,1115
star,Bali,bintang,1,1717
rain,Bali,ujan,1,1356
thunder,Bali,kerug,2,1833
wind,Bali,angin,1,3040
warm,Bali,panes,1,2862
cold,Bali,dingin,1,378
wet,Bali,beseg,1,2910
heavy,Bali,baat,1,839
fire,Bali,api,1,633
black,Bali,badeng,22,269
white,Bali,putih,1,2984
bone,Bali,tulang,1,303
yellow,Bali,kuning,1,3140
green,Bali,gadang,28,765
big,Bali,gede,27,237
short,Bali,bawak,54,1565
long,Bali,dawa,33,1066
thin,Bali,tipis,1,1799
thick,Bali,tebal,26,1789
intestines,Bali,babetukan,21,943
"painful, sick",Bali,sakit,1,1331
old,Bali,tua,1,1304
"bad, evil",Bali,beler,25,182
"correct, true",Bali,beneh,1,401
night,Bali,peteng,47,1263
day,Bali,dina,11,416
liver,Bali,ati,1,1055
when?,Bali,pidan,1,2945
to hide,Bali,mengkeb,30,2191
to climb,Bali,menek,1,1953
at,Bali,di,20,159
"in, inside",Bali,di tengah,22,921
above,Bali,baduur,2,101
this,Bali,ene,1,1810
near,Bali,paek,27,1193
breast,Bali,nyonyo,3,332
far,Bali,joh,1,568
he/she,Bali,ia,1,816
we,Bali,iraga,5,2899
what?,Bali,apa,1,2929
shoulder,Bali,pala,1,1581
other,Bali,len,2,1318
and,Bali,muah,2,130
One,Bali,sa,1,39
Two,Bali,dadua,1,92
Three,Bali,telu,1,82
"to know, be knowledgeable",Bali,tawang,36,2278
Four,Bali,patpat,1,10
Five,Bali,limə,1,7
Six,Bali,ənəm,1,73
Seven,Bali,pitu,1,70
Nine,Bali,siə,5,37
One Hundred,Bali,satus,4,48
to think,Bali,mekeneh,33,2719
to fear,Bali,takut,1,2121
blood,Bali,getih,18,288
neck,Bali,baong,70,1212
hair,Bali,bok,1,781
"to sniff, smell",Bali,ngadek,1,2538
right,Bali,tengawan,1,1417
mouth,Bali,bunnut,37,1156
tooth,Bali,gigi,17,2851
to laugh,Bali,kedek,30,2303
to vomit,Bali,ngutah,1,2779
to eat,Bali,daar,11,2097
to chew,Bali,makpak,24,1931
to cook,Bali,nyakan,2,1974
leg/foot,Bali,batis,23,1019
to drink,Bali,nginem,1,2083
to bite,Bali,nyegut,30,1852
to suck,Bali,ngisep,1,2669
ear,Bali,kuping,15,520
to hear,Bali,ningeh,1,2179
eye,Bali,mata,1,564
to yawn,Bali,uab-uab,1,2831
to walk,Bali,majalan,21,2792
to dream,Bali,ngipi,1,2070
man/male,Bali,muani,1,1087
child,Bali,panak,1,337
father,Bali,bapa,5,610
house,Bali,umah,1,857
name,Bali,adan,1,1168
to say,Bali,ngomong,25,2417
rope,Bali,tali,1,1460
to sew,Bali,nyait,2,2464
needle,Bali,jaum,1,1229
to come,Bali,təku,17,1966
to shoot,Bali,medil,9,2485
"to stab, pierce",Bali,nebek,25,2619
to hit,Bali,nyagur,34,2202
to steal,Bali,maling,16,2652
to kill,Bali,ngamatiang,2,2263
"to die, be dead",Bali,mati,1,2048
"to live, be alive",Bali,idup,1,2351
"to cut, hack",Bali,nugel,36,2032
stick/wood,Bali,kayu,1,1728
to turn,Bali,belok,24,2767
"dull, blunt",Bali,puntul,1,492
to plant,Bali,nanem,2,2386
to choose,Bali,milih,1,1942
to grow,Bali,tumbuh,1,2164
to swim,Bali,nglangi,1,2699
to buy,Bali,meli,1,1919
"to open, uncover",Bali,ngehgah,27,2371
"to pound, beat",Bali,nebuk,6,2410
to fall,Bali,ulung,34,2102
egg,Bali,taluh,1,545
feather,Bali,bulu,1,616
hand,Banggai (W.dialect),lima,1,801
fat/grease,Banggai (W.dialect),lanak,24,589
snake,Banggai (W.dialect),bindana,39,1685
worm (earthworm),Banggai (W.dialect),uloy,36,3112
louse,Banggai (W.dialect),kutu|k,1,1082
spider,Banggai (W.dialect),loa,1,1701
branch,Banggai (W.dialect),paŋa,22,317
leaf,Banggai (W.dialect),loon,1,982
flower,Banggai (W.dialect),buŋa,1,676
earth/soil,Banggai (W.dialect),tano,1,532
skin,Banggai (W.dialect),kulit,1,1616
stone,Banggai (W.dialect),batu,1,1734
sand,Banggai (W.dialect),bone,1,1505
salt,Banggai (W.dialect),timuson,2,1493
back,Banggai (W.dialect),toŋkuluŋ,51,167
star,Banggai (W.dialect),bituon pauna,1,1717
rain,Banggai (W.dialect),udan,1,1356
lightning,Banggai (W.dialect),kilap,1,1038
warm,Banggai (W.dialect),onas,1,2862
belly,Banggai (W.dialect),tia,1,195
heavy,Banggai (W.dialect),barat,1,839
red,Banggai (W.dialect),memela,1,1394
bone,Banggai (W.dialect),buku,16,307
small,Banggai (W.dialect),didik,1,1639
thin,Banggai (W.dialect),nipi,1,1799
"painful, sick",Banggai (W.dialect),ma-sakit,1,1331
"shy, ashamed",Banggai (W.dialect),mamaa,1,1598
"correct, true",Banggai (W.dialect),tuu,6,400
liver,Banggai (W.dialect),ate,1,1055
when?,Banggai (W.dialect),no|ian,1,2945
"in, inside",Banggai (W.dialect),doi laloŋ,1,922
this,Banggai (W.dialect),nia,1,1810
