concept,doculect,counterpart,cc,inferredCC,db
right,Aklanon - Bisayan,tuʔúh,5,abvd:right:4,abvd
right,Babatana,njoŋa,41,abvd:right:9,abvd
right,Bali,tengawan,1,abvd:right:7,abvd
right,Banoni,matoo-,5,abvd:right:2,abvd
right,Bantik,kuaneŋ,1,abvd:right:1,abvd
right,Berawan (Long Terawan),pəŋka|tuʔoh,5,abvd:right:8,abvd
right,Biga (Misool),palafi,15,abvd:right:22,abvd
right,Bikol (Naga City),tu-o,5,abvd:right:10,abvd
right,Bima,wana,1,abvd:right:1,abvd
right,Bintulu,taʔew,5,abvd:right:4,abvd
right,Bobot,lalait,3,abvd:right:11,abvd
right,Bonerate,mɔana,1,abvd:right:1,abvd
right,Bontok (Guinaang),ʔawán,1,abvd:right:7,abvd
right,Bughotu,madothoña,9,abvd:right:23,abvd
right,Buginese (Soppeng Dialect),atau,5,abvd:right:2,abvd
right,Buru [Namrole Bay],eʔwana,1,abvd:right:1,abvd
right,Bwaidoga,ai-atagi,14,abvd:right:24,abvd
right,Erai,wana,1,abvd:right:1,abvd
right,Fijian (Bau),i matau,5,abvd:right:2,abvd
right,Gayo,kuwən,1,abvd:right:1,abvd
right,Gedaged,waŋ,1,abvd:right:1,abvd
right,Geser,kuanen,1,abvd:right:1,abvd
right,Ghari,mandoa,9,abvd:right:2,abvd
right,Gorontalo (Hulondalo),ʔolowala,1,abvd:right:12,abvd
right,Hitu (Ambon),pahuʷana,1,abvd:right:1,abvd
right,Iban,kanan,1,abvd:right:1,abvd
right,Javanese,teŋen,1,abvd:right:3,abvd
right,Kairiru,mouwon,13,abvd:right:1,abvd
right,Kambera,kawana,1,abvd:right:1,abvd
right,Kapampangan,wánan,1,abvd:right:1,abvd
right,Kemak,ba:na,1,abvd:right:1,abvd
right,Kenyah (Long Anap),taʔu,5,abvd:right:4,abvd
right,Kerinci,kana,1,abvd:right:1,abvd
right,Kilokaka (Ysabel),hneta,11,abvd:right:13,abvd
right,Lamaholot Ile Mandiri (Flores Timur),wanan,1,abvd:right:1,abvd
right,Lau,aolo,10,abvd:right:6,abvd
right,Leipon,ceŋin,6,abvd:right:3,abvd
right,Letinese,malw̃anna,1,abvd:right:1,abvd
right,Levei,seliŋ,6,abvd:right:3,abvd
right,Likum,selin,6,abvd:right:3,abvd
right,Lou,kal|moru,5,abvd:right:5,abvd
right,Madurese,kaŋan,1,abvd:right:1,abvd
right,Manggarai,wanaŋ,1,abvd:right:1,abvd
right,Maranao,kawanan,1,abvd:right:1,abvd
right,Marovo,matao,5,abvd:right:2,abvd
right,Marquesan,atamai,7,abvd:right:2,abvd
right,Masiwang,kamuin,4,abvd:right:14,abvd
right,Mekeo,kai,14,abvd:right:15,abvd
right,Melanau (Mukah),taʔew,5,abvd:right:4,abvd
right,Merina (Malagasy),havánana,1,abvd:right:1,abvd
right,Minyaifuin (Gebe),palpal|cu,15,abvd:right:16,abvd
right,Moken,n|ana:n,1,abvd:right:1,abvd
right,Mori,koana,1,abvd:right:1,abvd
right,Motu,idiba,22,abvd:right:17,abvd
right,Muna (Katobu-Tongkuno Dialect),suana,1,abvd:right:1,abvd
right,Naelaemwa,bwa mwaaguk,5,abvd:right:18,abvd
right,Nauna,kali|matu,5,abvd:right:5,abvd
right,Nehan Hape,pangmua,8,abvd:right:19,abvd
right,Nengone,amanata,5,abvd:right:20,abvd
right,Ngadha,vana,1,abvd:right:1,abvd
right,Ngaibor (S.Aru),alemlema,2,abvd:right:21,abvd
right,Nggela,mandolo,9,abvd:right:6,abvd
right,Nukuoro,madau,5,abvd:right:2,abvd
right,Ogan,kanan,1,abvd:right:1,abvd
right,Peterara (Maewo),mataua-,5,abvd:right:2,abvd
right,Popalia,mɔwana,1,abvd:right:1,abvd
to yawn,Aklanon - Bisayan,húyʔab,1,abvd:to yawn:1,abvd
to yawn,Bali,uab-uab,1,abvd:to yawn:1,abvd
to yawn,Banoni,moghava,1,abvd:to yawn:2,abvd
to yawn,Bantik,kótabaʔ,10,abvd:to yawn:8,abvd
to yawn,Bima,mawa,1,abvd:to yawn:2,abvd
to yawn,Bontok (Guinaang),ʔuwáb,1,abvd:to yawn:1,abvd
to yawn,Bughotu,maomaova,1,abvd:to yawn:3,abvd
to yawn,Buli,mamaip,1,abvd:to yawn:3,abvd
to yawn,Buru [Namrole Bay],mawa,1,abvd:to yawn:2,abvd
to yawn,Chamorro,magap,1,abvd:to yawn:2,abvd
to yawn,Fijian (Bau),vakalāmawa,1,abvd:to yawn:5,abvd
to yawn,Geser,maflaba,1,abvd:to yawn:2,abvd
to yawn,Gorontalo (Hulondalo),mo-huwabu,1,abvd:to yawn:1,abvd
to yawn,Hawaiian,hāmama,1,abvd:to yawn:3,abvd
to yawn,Hitu (Ambon),mahawa,1,abvd:to yawn:2,abvd
to yawn,Iban,ŋuap,1,abvd:to yawn:1,abvd
to yawn,Kaidipang,moŋuabu,1,abvd:to yawn:1,abvd
to yawn,Kambera,yaʔi,2,abvd:to yawn:6,abvd
to yawn,Kapampangan,úyab,1,abvd:to yawn:1,abvd
to yawn,Kelabit (Bario),m-uab,1,abvd:to yawn:1,abvd
to yawn,Kenyah (Long Anap),meñuap,1,abvd:to yawn:1,abvd
to yawn,Kusaie,muh,1,abvd:to yawn:1,abvd
to yawn,Lau,mamao|fi,1,abvd:to yawn:3,abvd
to yawn,Leipon,hol|maw,1,abvd:to yawn:4,abvd
to yawn,Loniu,yelimaw,1,abvd:to yawn:4,abvd
to yawn,Lou,al|ma,1,abvd:to yawn:4,abvd
to yawn,Manggarai,ŋoap,1,abvd:to yawn:1,abvd
to yawn,Maori,haamama,1,abvd:to yawn:3,abvd
to yawn,Marovo,mava,1,abvd:to yawn:2,abvd
to yawn,Marquesan,mama,1,abvd:to yawn:3,abvd
to yawn,Masiwang,mamawa,1,abvd:to yawn:3,abvd
to yawn,Melanau (Mukah),pe-tuab,1,abvd:to yawn:1,abvd
to yawn,Merina (Malagasy),man-óaka,1,abvd:to yawn:1,abvd
to yawn,Motu,mava,1,abvd:to yawn:2,abvd
to yawn,Murnaten (Alune),malewa,1,abvd:to yawn:2,abvd
to yawn,Mussau,mamma,1,abvd:to yawn:3,abvd
to yawn,Nauna,mamaw,1,abvd:to yawn:3,abvd
to yawn,Nehan Hape,ham,14,abvd:to yawn:3,abvd
to yawn,Ngadha,moca,1,abvd:to yawn:7,abvd
to yawn,Ngaibor (S.Aru),ma aw,1,abvd:to yawn:2,abvd
to yawn,Nggela,maova,1,abvd:to yawn:2,abvd
to yawn,Nukuoro,maava,1,abvd:to yawn:2,abvd
to yawn,Numfor,mabab,1,abvd:to yawn:2,abvd
to yawn,Ogan,ŋuap,1,abvd:to yawn:1,abvd
to yawn,Paamese (South),maamaa,1,abvd:to yawn:3,abvd
to yawn,Rarotongan,àamama,1,abvd:to yawn:3,abvd
to yawn,Timugon (Murut),-uab,1,abvd:to yawn:1,abvd
to yawn,Yamdena,n-maup,1,abvd:to yawn:3,abvd
good,Aklanon - Bisayan,mayád,29,abvd:good:2,abvd
good,Babatana,næe,69,abvd:good:22,abvd
good,Bantik,pia,1,abvd:good:1,abvd
good,Biga (Misool),fi,1,abvd:good:1,abvd
good,Bikol (Naga City),marhay,29,abvd:good:6,abvd
good,Bobot,hia,1,abvd:good:1,abvd
good,Bontok (Guinaang),gawís,48,abvd:good:23,abvd
good,Bughotu,toke,75,abvd:good:9,abvd
good,Buli,mafia,1,abvd:good:2,abvd
good,Fijian (Bau),vinaka,21,abvd:good:1,abvd
good,Ghari,ndou,54,abvd:good:10,abvd
good,Gimaan,fia,1,abvd:good:1,abvd
good,Hanunoo,mayád,29,abvd:good:2,abvd
good,Hawaiian,maikaʔi,15,abvd:good:12,abvd
good,Hoava,kɔleɔ,73,abvd:good:11,abvd
good,Iban,baik,33,abvd:good:4,abvd
good,Javanese,apik,32,abvd:good:4,abvd
good,Kaidipang,mopia,1,abvd:good:2,abvd
good,Kambera,hamu,6,abvd:good:13,abvd
good,Kemak,mɔlɔi,11,abvd:good:8,abvd
good,Kerinci,ilaoʔ,68,abvd:good:7,abvd
good,Kwaio,leʔa,20,abvd:good:3,abvd
good,Lau,diana,66,abvd:good:5,abvd
good,Leipon,huyan,1,abvd:good:1,abvd
good,Loniu,huyán,1,abvd:good:1,abvd
good,Lou,ian,1,abvd:good:1,abvd
good,Madurese,bagus,31,abvd:good:14,abvd
good,Manggarai,dia,43,abvd:good:5,abvd
good,Maori,pai,76,abvd:good:4,abvd
good,Maranao,ma-pia,1,abvd:good:2,abvd
good,Marovo,lea|na,22,abvd:good:3,abvd
good,Marquesan,ʔeka,14,abvd:good:3,abvd
good,Masiwang,kanuin,9,abvd:good:15,abvd
good,Melanau (Mukah),diaʔ,43,abvd:good:5,abvd
good,Mota,wia,1,abvd:good:1,abvd
good,Motu,namo,27,abvd:good:16,abvd
good,Muna (Katobu-Tongkuno Dialect),netaa,30,abvd:good:17,abvd
good,Murnaten (Alune),misete,10,abvd:good:18,abvd
good,Naelaemwa,sho,53,abvd:good:19,abvd
good,Nauna,hian,1,abvd:good:1,abvd
good,Nehan Hape,uia,1,abvd:good:1,abvd
good,Nengone,roi,18,abvd:good:20,abvd
good,Ngadha,modhé,5,abvd:good:6,abvd
good,Nguna,wia,1,abvd:good:1,abvd
good,Nissan,wia,1,abvd:good:1,abvd
good,Nukuoro,malie,16,abvd:good:8,abvd
good,Ogan,iluk,68,abvd:good:7,abvd
good,Paamese (South),tahosi,65,abvd:good:21,abvd
good,Peterara (Maewo),hwia,32,abvd:good:1,abvd
good,Rarotongan,reka,14,abvd:good:3,abvd
hair,Aklanon - Bisayan,buhúk,1,abvd:hair:1,abvd
hair,Babatana,pulu,31,abvd:hair:2,abvd
hair,Bali,bok,1,abvd:hair:1,abvd
