concept,doculect,counterpart,cogid,lpID
I,SYRIAC_2,ena,21,1
I,ARABIC_QURANIC,ana,21,1
I,ARABIC_LEBANESE,ani,21,1
I,GEEZ,ana,21,1
I,TIGRAI,ane,21,3
I,AMHARIC_3,3ne,21,1
I,HARARI_2,an,21,3
I,MEHRI_2,hoh,22,2
I,JIBBALI,he,22,4
I,SOQOTRI_2,hohon,22,6
I,SIWA,niS,21,2
I,GHADAMES_2,neS,21,2
I,AHAGGAR,n3k,21,2
I,ZENAGA_2,nik,21,2
I,QABYLE,n3k,21,2
I,HAUSA_3,na,21,1
I,BOLEWA,ina,21,1
I,BEJA_2,ani,21,1
I,OROMO,ana,21,1
I,DAHALO_2,a5i,21,1
I,KAFFA,ta,24,5
come,SYRIAC_2,ty,3,46
come,ARABIC_QURANIC,ty,3,46
come,ARABIC_LEBANESE,3Za,4,45
come,GEEZ,mc7,5,53
come,TIGRAI,masX~7e,5,49
come,AMHARIC_3,m3ta,5,57
come,MEHRI_2,nukaX,6,47
come,JIBBALI,nikaX,6,47
come,SOQOTRI_2,gedah,7,50
come,SIWA,us,9,45
come,GHADAMES_2,as,9,45
come,AHAGGAR,as,9,45
come,ZENAGA_2,Sed,10,48
come,QABYLE,as,9,45
come,HAUSA_3,zo,11,45
come,BOLEWA,diNgo,12,55
come,BEJA_2,yit,8,56
come,OROMO,dufa,13,51
come,DAHALO_2,haX,14,54
come,KAFFA,wa,8,52
water,SYRIAC_2,maye,1,458
water,ARABIC_QURANIC,ma,1,458
water,ARABIC_LEBANESE,may,1,458
water,GEEZ,may,1,458
water,TIGRAI,may,1,458
water,HARARI_2,miy,1,458
water,MEHRI_2,Xemuh,1,460
water,JIBBALI,mih,1,460
water,SOQOTRI_2,riho,2,461
water,SIWA,aman,3,459
water,GHADAMES_2,aman,3,459
water,AHAGGAR,aman,3,459
water,ZENAGA_2,aman,3,459
water,QABYLE,aman,3,459
water,HAUSA_3,ruwa,2,464
water,BOLEWA,3ma,3,458
water,BEJA_2,yam,3,466
water,OROMO,bisan,4,462
water,DAHALO_2,ma7a,1,465
water,KAFFA,aCo,5,463
mountain,SYRIAC_2,tX~ur,53,228
mountain,ARABIC_QURANIC,Zabal,54,226
mountain,ARABIC_LEBANESE,Zabel,54,226
mountain,GEEZ,dab3r,55,236
mountain,AMHARIC_3,t3rara,56,227
mountain,HARARI_2,sEri,57,235
mountain,MEHRI_2,karmaym,58,231
mountain,JIBBALI,her,59,233
mountain,SOQOTRI_2,fedehon,60,229
mountain,SIWA,adrar,62,225
mountain,GHADAMES_2,adurar,62,225
mountain,AHAGGAR,adrar,62,225
mountain,QABYLE,adrar,62,225
mountain,HAUSA_3,"duC""e",63,234
mountain,BOLEWA,guoS3w,64,237
mountain,OROMO,tulu,65,230
mountain,KAFFA,gudo,66,232
sun,SYRIAC_2,SemS,1,375
sun,ARABIC_QURANIC,Sams,1,375
sun,ARABIC_LEBANESE,Sam3s,1,375
sun,GEEZ,daXay,2,376
sun,TIGRAI,sX~aXay,2,376
sun,AMHARIC_3,tehay,2,389
sun,HARARI_2,ir,3,385
sun,MEHRI_2,X3yum,4,381
sun,JIBBALI,yum,4,383
sun,SOQOTRI_2,Sam,1,375
sun,SIWA,tfukt,6,378
sun,GHADAMES_2,isi,7,386
sun,AHAGGAR,tafuk,6,377
sun,ZENAGA_2,t37fukt,6,377
sun,QABYLE,itiZ,8,379
sun,HAUSA_3,rana,9,384
sun,BOLEWA,futi,10,387
sun,BEJA_2,yin,11,388
sun,OROMO,adu,12,380
sun,KAFFA,abo,13,382
star,SYRIAC_2,kawb3b,71,352
star,ARABIC_QURANIC,kawkab,71,353
star,ARABIC_LEBANESE,niZmi,72,354
star,GEEZ,kokab,71,359
star,TIGRAI,kokob,71,353
star,AMHARIC_3,kok3b,71,353
star,HARARI_2,tuy,73,358
star,MEHRI_2,kebkib,71,352
star,JIBBALI,k3bkeb,71,352
star,SOQOTRI_2,kibSib,71,352
star,SIWA,iri,75,351
star,GHADAMES_2,iri,75,351
star,AHAGGAR,atri,76,351
star,ZENAGA_2,ed3ri,76,351
star,QABYLE,itri,76,351
star,HAUSA_3,tauraro,76,357
star,BOLEWA,janja,77,360
star,BEJA_2,hayuk,78,361
star,OROMO,urji,79,355
star,KAFFA,tojano,80,356
one,SYRIAC_2,Xad,72,280
one,ARABIC_QURANIC,waXid,72,280
one,ARABIC_LEBANESE,w3Xad,72,280
one,GEEZ,aXadu,72,280
one,TIGRAI,Xada,72,280
one,AMHARIC_3,and,72,293
one,HARARI_2,aXad,72,286
one,MEHRI_2,tat,73,281
one,JIBBALI,tad,73,281
one,SOQOTRI_2,tad,73,281
one,SIWA,3j3n,74,291
one,GHADAMES_2,yun,74,285
one,AHAGGAR,y3n,74,282
one,ZENAGA_2,yu7u,74,292
