db,concept,doculect,counterpart,fullCC,inferredCC
afrasian,tongue,AHAGGAR,il3s,afrasian:tongue:1,afrasian:tongue:1
afrasian,tongue,AMHARIC_3,m3las,afrasian:tongue:2,afrasian:tongue:1
afrasian,tongue,ARABIC_LEBANESE,lsen,afrasian:tongue:1,afrasian:tongue:2
afrasian,tongue,ARABIC_QURANIC,lisan,afrasian:tongue:1,afrasian:tongue:2
afrasian,tongue,BEJA_2,midala,afrasian:tongue:3,afrasian:tongue:1
afrasian,tongue,BOLEWA,lisi,afrasian:tongue:1,afrasian:tongue:2
afrasian,tongue,DAHALO_2,Xena,afrasian:tongue:5,afrasian:tongue:3
afrasian,tongue,GEEZ,l3san,afrasian:tongue:1,afrasian:tongue:2
afrasian,tongue,GHADAMES_2,il3s,afrasian:tongue:1,afrasian:tongue:1
afrasian,tongue,HAUSA_3,harSe,afrasian:tongue:1,afrasian:tongue:4
afrasian,tongue,JIBBALI,ElSEn,afrasian:tongue:1,afrasian:tongue:2
afrasian,tongue,KAFFA,eCiyo,afrasian:tongue:6,afrasian:tongue:5
afrasian,tongue,MEHRI_2,lSin,afrasian:tongue:1,afrasian:tongue:2
afrasian,tongue,OROMO,araba,afrasian:tongue:4,afrasian:tongue:6
afrasian,tongue,QABYLE,il3s,afrasian:tongue:1,afrasian:tongue:1
afrasian,tongue,SIWA,il3s,afrasian:tongue:1,afrasian:tongue:1
afrasian,tongue,SOQOTRI_2,leSin,afrasian:tongue:1,afrasian:tongue:2
afrasian,tongue,SYRIAC_2,leSan,afrasian:tongue:1,afrasian:tongue:2
afrasian,tongue,TIGRAI,malXas,afrasian:tongue:2,afrasian:tongue:1
afrasian,tongue,ZENAGA_2,3Csi,afrasian:tongue:1,afrasian:tongue:7
afrasian,I,AHAGGAR,n3k,afrasian:I:21,afrasian:I:1
afrasian,I,AMHARIC_3,3ne,afrasian:I:21,afrasian:I:1
afrasian,I,ARABIC_LEBANESE,ani,afrasian:I:21,afrasian:I:1
afrasian,I,ARABIC_QURANIC,ana,afrasian:I:21,afrasian:I:1
afrasian,I,BEJA_2,ani,afrasian:I:21,afrasian:I:1
afrasian,I,BOLEWA,ina,afrasian:I:21,afrasian:I:1
afrasian,I,DAHALO_2,a5i,afrasian:I:21,afrasian:I:1
afrasian,I,GEEZ,ana,afrasian:I:21,afrasian:I:1
afrasian,I,GHADAMES_2,neS,afrasian:I:21,afrasian:I:1
afrasian,I,HARARI_2,an,afrasian:I:21,afrasian:I:1
afrasian,I,HAUSA_3,na,afrasian:I:21,afrasian:I:1
afrasian,I,JIBBALI,he,afrasian:I:22,afrasian:I:2
afrasian,I,KAFFA,ta,afrasian:I:24,afrasian:I:3
afrasian,I,MEHRI_2,hoh,afrasian:I:22,afrasian:I:2
afrasian,I,OROMO,ana,afrasian:I:21,afrasian:I:1
afrasian,I,QABYLE,n3k,afrasian:I:21,afrasian:I:1
afrasian,I,SIWA,niS,afrasian:I:21,afrasian:I:1
afrasian,I,SOQOTRI_2,hohon,afrasian:I:22,afrasian:I:2
afrasian,I,SYRIAC_2,ena,afrasian:I:21,afrasian:I:1
afrasian,I,TIGRAI,ane,afrasian:I:21,afrasian:I:1
afrasian,I,ZENAGA_2,nik,afrasian:I:21,afrasian:I:1
afrasian,we,AHAGGAR,n3kanid,afrasian:we:11,afrasian:we:1
afrasian,we,AMHARIC_3,35a,afrasian:we:11,afrasian:we:1
afrasian,we,ARABIC_LEBANESE,neXni,afrasian:we:11,afrasian:we:1
afrasian,we,ARABIC_QURANIC,naXnu,afrasian:we:11,afrasian:we:1
afrasian,we,BEJA_2,hanin,afrasian:we:11,afrasian:we:1
afrasian,we,BOLEWA,mimu,afrasian:we:12,afrasian:we:2
afrasian,we,DAHALO_2,5a5i,afrasian:we:11,afrasian:we:1
afrasian,we,GEEZ,n3Xna,afrasian:we:11,afrasian:we:1
afrasian,we,GHADAMES_2,nekenin,afrasian:we:11,afrasian:we:1
afrasian,we,HARARI_2,35a,afrasian:we:11,afrasian:we:1
afrasian,we,HAUSA_3,mu,afrasian:we:12,afrasian:we:2
afrasian,we,JIBBALI,nh~an,afrasian:we:11,afrasian:we:1
afrasian,we,KAFFA,nu,afrasian:we:11,afrasian:we:3
afrasian,we,MEHRI_2,nXah,afrasian:we:11,afrasian:we:1
afrasian,we,OROMO,nu,afrasian:we:11,afrasian:we:3
afrasian,we,QABYLE,n3kw~ni,afrasian:we:11,afrasian:we:1
afrasian,we,SIWA,nC~ini,afrasian:we:11,afrasian:we:1
afrasian,we,SOQOTRI_2,hanhen,afrasian:we:11,afrasian:we:1
afrasian,we,SYRIAC_2,X3nan,afrasian:we:11,afrasian:we:1
afrasian,we,TIGRAI,n3Xna,afrasian:we:11,afrasian:we:1
afrasian,we,ZENAGA_2,n3kni,afrasian:we:11,afrasian:we:1
afrasian,thou,AHAGGAR,kay,afrasian:thou:92,afrasian:thou:1
afrasian,thou,AMHARIC_3,anta,afrasian:thou:91,afrasian:thou:2
afrasian,thou,ARABIC_LEBANESE,int,afrasian:thou:91,afrasian:thou:2
afrasian,thou,ARABIC_QURANIC,anta,afrasian:thou:91,afrasian:thou:2
afrasian,thou,BEJA_2,baruk,afrasian:thou:92,afrasian:thou:3
afrasian,thou,BOLEWA,kai,afrasian:thou:92,afrasian:thou:1
afrasian,thou,DAHALO_2,ata,afrasian:thou:91,afrasian:thou:2
afrasian,thou,GEEZ,anta,afrasian:thou:91,afrasian:thou:2
afrasian,thou,GHADAMES_2,Seg,afrasian:thou:92,afrasian:thou:4
afrasian,thou,HARARI_2,aka,afrasian:thou:92,afrasian:thou:1
afrasian,thou,HAUSA_3,kai,afrasian:thou:92,afrasian:thou:1
afrasian,thou,JIBBALI,hEt,afrasian:thou:93,afrasian:thou:2
afrasian,thou,KAFFA,ne,afrasian:thou:95,afrasian:thou:5
