concept,doculect,counterpart,cogid,lpID
I,Gongxing,ŋa₄₂,7,1
I,Jinman,õ₄₂,7,2
I,Mazhelong,ŋo₄₂,7,1
I,Dashi,ŋõ₃₁,7,1
I,Zhoucheng,ŋo₃₁,7,1
I,Jinxing,wõ₃₁,7,2
I,Tuolo,ŋɔ₂₁,7,1
I,Enqi,ɴo₄₃,7,1
I,Ega,ŋo₄₂,7,1
all,Gongxing,ʦʰæ₂₂ja₄₂,1,7
all,Jinman,da₄₂t͡ʂɚ₂₂,202,3
all,Mazhelong,so₂₁ji₂₁,233,6
all,Dashi,ʨwan₄₂pu₅₅,259,8
all,Zhoucheng,ji₃₁su₃₃,244,5
all,Jinxing,ʦa₃₅kɑ₂₁ʦi₃₃,2,3
all,Tuolo,ʨʰa₅₅,33,4
all,Enqi,ʨa₂₄ʁo₂₁ʦi₂₂,3,3
all,Ega,da₅₅ŋwa₂₂,201,4
ashes,Gongxing,xwɛ₂₂ɕy₅₅ʁwa₁₂,58,11
ashes,Jinman,kʰwa₅₅la₂₁ɕu₅₅,88,10
ashes,Mazhelong,xwa₃₁la₄₄su₅₅,59,10
ashes,Zhoucheng,su₅₅,67,9
ashes,Jinxing,su₅₅,67,9
ashes,Tuolo,ʂɤ₅₅,67,9
ashes,Enqi,xwi₂₂ɕu₂₄,57,11
ashes,Ega,xwa₅₅lo₂₁ɕu₅₅,59,10
bark,Gongxing,d͡ʐi₁₂bi₂₁,109,12
bark,Mazhelong,ɕen₅₅pe₂₁,131,13
bark,Dashi,t͡ʂɯ₂₁pe₂₁,109,12
bark,Zhoucheng,ʦɯ₃₁pe₂₁,109,12
bark,Jinxing,ʦɯ₃₁pe₂₁,109,12
bark,Tuolo,djɯ₂₁bi₃₅,109,12
bark,Enqi,djɯ₄₃pi₂₁,109,12
bark,Ega,ʥi₄₂ʨyj₂₁qa₅₅,110,14
belly,Gongxing,ʐi₂₁,147,16
belly,Jinman,ʐɚ₄₂,147,16
belly,Mazhelong,pɯ₄₄,160,15
belly,Dashi,fo₄₄,160,15
belly,Zhoucheng,fɤ₄₄,160,15
belly,Jinxing,fɤ₄₄,160,15
belly,Tuolo,fɚ₄₂,160,15
belly,Enqi,fo₂₄,160,15
belly,Ega,xu₄₄qʰo₂₂,171,17
big,Gongxing,da₄₂,191,18
big,Jinman,do₄₂,191,18
big,Mazhelong,do₄₂,191,18
big,Dashi,tow₄₂,191,18
big,Zhoucheng,to₄₂,191,18
big,Jinxing,tow₄₂,191,18
big,Tuolo,dɔ₂₁,191,18
big,Enqi,da₄₃,191,18
big,Ega,do₄₂,191,18
bird,Gongxing,ʦu₂₄,203,19
bird,Jinman,ʦo₅₅,203,19
bird,Mazhelong,ʦo₄₄,203,19
bird,Dashi,ʦow₃₃,203,19
bird,Zhoucheng,ʦow₄₄,203,19
bird,Jinxing,ʦow₄₄,203,19
bird,Tuolo,ʦu₄₂,203,19
bird,Enqi,ʦu₅₅,203,19
bird,Ega,ʦu₄₄,203,19
bite,Gongxing,ŋa₂₄,214,20
bite,Jinman,ŋa₄₄,214,20
bite,Mazhelong,ŋɑ₄₄,214,20
bite,Dashi,ɣaŋ₄₄,214,21
bite,Zhoucheng,ŋa₄₄,214,20
bite,Jinxing,ɑ̃₄₄,214,20
bite,Tuolo,ŋɔ₄₂,214,20
bite,Enqi,ɴa₅₅,214,20
bite,Ega,ŋo₄₄,214,20
black,Gongxing,χe₂₄,215,22
black,Jinman,xɯ₅₅,215,22
black,Mazhelong,xɯ₄₄,215,22
black,Dashi,xɯ₄₄,215,22
black,Zhoucheng,xɯ₄₄,215,22
black,Jinxing,xɯ₄₄,215,22
black,Tuolo,xɚ₄₂,215,22
black,Enqi,χɯ₅₅,215,22
black,Ega,xɯ₄₄,215,22
blood,Gongxing,swa₂₄,216,23
blood,Jinman,swa₅₅,216,23
blood,Mazhelong,swa₄₄,216,23
blood,Dashi,sʰwa₄₄,216,23
blood,Zhoucheng,swa₄₄,216,23
blood,Jinxing,swɑ₄₄,216,23
blood,Tuolo,swɔ₄₂,216,23
blood,Enqi,swa₅₅,216,23
blood,Ega,swa₄₄,216,23
bone,Gongxing,qwa₂₄,217,24
bone,Jinman,qwa₅₅ʦe₅₅,218,24
bone,Mazhelong,kwa₄₄twɤ₄₄,219,24
bone,Dashi,kwa₄₄tjǝ₃₃,219,24
bone,Zhoucheng,kwa₄₄tɯ₃₃,219,24
bone,Jinxing,kwɑ₄₄tǝ₄₂,219,24
bone,Tuolo,ku₄₂djɯ₃₅ʦɛ₄₂,220,25
bone,Enqi,qwa₅₅,217,24
bone,Ega,qwa₄₄,217,24
breast,Gongxing,ba₂₁,221,26
breast,Jinman,pa₄₂,221,26
breast,Mazhelong,noŋ₃₃,222,27
breast,Dashi,pa₄₂,221,26
breast,Zhoucheng,pa₄₂,221,26
breast,Jinxing,pɑ₄₂,221,26
breast,Tuolo,bo₄₂,221,26
breast,Enqi,pa₂₁,221,26
breast,Ega,pa₄₂,221,26
burn,Gongxing,ɕy₂₂,223,28
burn,Jinman,fɤ₅₅ji₅₅,224,31
burn,Mazhelong,sɤ₅₅,223,28
burn,Dashi,ʂu₅₅,223,28
burn,Zhoucheng,ɲɯ₃₃,227,29
burn,Jinxing,jĩ₃₃,227,29
burn,Tuolo,jen₃₃,227,29
burn,Enqi,xu₂₄,228,28
burn,Ega,fi₂₂pɛ₂₂,225,32
burn,Gongxing,ɕy₅₅,223,28
burn,Mazhelong,fi₃₃kʰǝɯ₅₅,226,30
burn,Zhoucheng,su₅₅,223,28
claw (nail),Gongxing,t͡ʂi₂₄qa₂₄,229,34
claw (nail),Jinman,qa₄₄,230,35
claw (nail),Mazhelong,sǝɯ₃₃kɚ₄₄,231,33
claw (nail),Dashi,ʂɯ₃₃ka₄₄,231,33
claw (nail),Zhoucheng,sɯ₃₃ka₄₄,231,33
claw (nail),Jinxing,sɯ₃₃ka₄₄,231,33
claw (nail),Tuolo,ɕɯ₃₃qa₄₂,231,33
claw (nail),Enqi,tjɯ₂₁qa₂₄,229,34
claw (nail),Ega,ɕi₂₂qa₄₄,231,33
cloud,Gongxing,ŋɛ₁₂qǝ₅₅,232,37
cloud,Jinman,mɯ₂₁ko₄₂,234,38
cloud,Mazhelong,ɥen₂₁pe₂₁,236,39
cloud,Dashi,vɤ̃₂₁nõ₂₁,237,41
cloud,Zhoucheng,ɤ₂₁,235,36
cloud,Jinxing,ɤ̃₂₁,235,36
cloud,Tuolo,ŋɔ₃₅qa₄₂,232,37
cloud,Enqi,ʁæ₂₁,235,40
cloud,Ega,mɯ̃₂₁ko₄₂,234,38
cold,Gongxing,ga₁₂,238,42
cold,Jinman,kɯ₅₅,239,42
cold,Mazhelong,kɯ₅₅,239,42
cold,Dashi,kɯ₃₅,239,42
cold,Zhoucheng,kɯ₃₅,239,42
cold,Jinxing,kɯ₅₅,239,42
cold,Tuolo,kɯ₅₅,239,42
cold,Enqi,kɯ₂₄,239,42
cold,Ega,kɯ₅₅,239,42
cold,Dashi,ka₂₁,239,42
cold,Jinxing,kɑ₂₁,238,42
come,Gongxing,ji₂₁kǝ₂₂,241,43
come,Jinman,ʨwa₅₅,242,44
come,Mazhelong,ɣǝɯ₂₁,243,46
come,Dashi,ɣǝ₃₅,243,45
come,Zhoucheng,jɯ₃₅,240,43
come,Jinxing,ɣǝ₃₅,243,45
come,Tuolo,t͡ʂʰo₄₂,245,44
come,Enqi,ji₅₅ki₂₄,241,43
come,Ega,ji₅₅kɯ₂₂,241,43
come,Tuolo,jɯ₃₃kɯ₅₅,241,43
die,Gongxing,ɕi₂₂,246,47
die,Jinman,ɕi₂₂,246,47
die,Mazhelong,ɕi₃₃,246,47
die,Dashi,ɕi₃₃,246,47
die,Zhoucheng,ɕi₃₃,246,47
die,Jinxing,ɕi₃₃,246,47
die,Tuolo,ɕi₃₃,246,47
die,Enqi,si₂₂,246,47
die,Ega,si₂₂,246,47
dog,Gongxing,qʰwaŋ₂₂,247,48
dog,Jinman,qʰõ₂₂,247,48
dog,Mazhelong,kʰwaŋ₃₃,247,48
dog,Dashi,kʰwaŋ₃₃,247,48
dog,Zhoucheng,kʰwa₃₃,247,48
dog,Jinxing,kʰwɑ̃₃₃,247,48
dog,Tuolo,qʰwaŋ₃₃,247,48
dog,Enqi,qʰwa₂₂,247,48
dog,Ega,qʰwa₂₂,247,48
drink,Gongxing,ʔoŋ₂₂,248,50
drink,Jinman,ɯ̃₂₂,248,49
drink,Mazhelong,oŋ₃₃,248,50
drink,Dashi,ǝ̃₃₃,248,49
drink,Zhoucheng,ɯ₃₃,248,49
drink,Jinxing,ǝ̃₃₃,248,49
drink,Tuolo,ɯ̃₃₃,248,49
drink,Enqi,ɯ₂₂,248,49
drink,Ega,ɯ̃₂₂,248,49
dry,Gongxing,qaŋ₅₅,249,51
dry,Jinman,qã₅₅,249,51
dry,Mazhelong,kaŋ₅₅,249,51
dry,Dashi,kã₃₅,249,51
dry,Zhoucheng,ka₃₅,249,51
dry,Jinxing,kɑ̃₅₅,249,51
dry,Tuolo,qɔŋ₅₅,249,51
dry,Enqi,qa₂₄,249,51
dry,Ega,qo₅₅,249,51
ear,Gongxing,jaŋ₂₂kʰwaŋ₂₂,250,52
ear,Jinman,ẽ₄₂ʨwẽ₂₂,252,53
ear,Mazhelong,jɛ₃₃kɛ₃₃pjen₂₁,251,54
ear,Dashi,jen₃₃toŋ₃₁,253,52
ear,Zhoucheng,ɲow₃₃to₄₂,254,52
ear,Jinxing,jen₃₃tɯ₃₁kwɑ₅₅,255,52
ear,Tuolo,wen₃₃zɥen₃₅,256,55
