concept,doculect,counterpart,cogid,lpID
one,Ka-Gazli 1,bɪr,A,319
two,Ka-Gazli 1,jekə,A,782
three,Ka-Gazli 1,ʉʃʲ,A,482
four,Ka-Gazli 1,tørt,A,149
five,Ka-Gazli 1,bʲɪs,A,140
big,Ka-Gazli 1,ʉlkɪn,A,32
long,Ka-Gazli 1,ɔzaq,A,236
wide,Ka-Gazli 1,kʲeŋ,A,827
thick,Ka-Gazli 1,ʒwɒn,A,469
one,Ka-Gazli 2,brɪw,A,322
two,Ka-Gazli 2,jekə,A,782
three,Ka-Gazli 2,ʉʃʲ,A,482
four,Ka-Gazli 2,tørt,A,149
five,Ka-Gazli 2,bʲɪs,A,140
big,Ka-Gazli 2,ʉlkɪn,A,32
long,Ka-Gazli 2,ʉzaq,A,236
wide,Ka-Gazli 2,kʲiŋ,A,827
thick,Ka-Gazli 2,ʒuwãn,A,469
one,Ka-Gazli 3,bɪrɪw,A,319
two,Ka-Gazli 3,jɪkjew,A,782
three,Ka-Gazli 3,ʉʃʲjʊː,A,482
four,Ka-Gazli 3,twørt,A,149
five,Ka-Gazli 3,bʲes,A,140
big,Ka-Gazli 3,ʉlken,A,32
long,Ka-Gazli 3,kwøwaxə,B,243
thick,Ka-Gazli 3,sʲemɪz̥,B,468
two,Ka-Gazli 4,jɪkə,A,782
three,Ka-Gazli 4,ʉʃ,A,482
four,Ka-Gazli 4,tʲørt,A,149
five,Ka-Gazli 4,bʲɪs,A,140
big,Ka-Gazli 4,ʉlken,A,32
long,Ka-Gazli 4,ʉzaq,A,236
wide,Ka-Gazli 4,jende,B,834
thick,Ka-Gazli 4,sʲeməz̥,B,468
one,Ka-Gazli 5,brɪw,A,322
two,Ka-Gazli 5,jeka,A,782
three,Ka-Gazli 5,ʉʃ,A,482
four,Ka-Gazli 5,tørt,A,149
five,Ka-Gazli 5,bʲɪs,A,140
big,Ka-Gazli 5,ylken,A,32
long,Ka-Gazli 5,ɔzaq,A,236
wide,Ka-Gazli 5,kʲeŋ,A,827
thick,Ka-Gazli 5,sʲeməz̥,B,468
one,Ka-Gazli 6,brɪw,A,322
two,Ka-Gazli 6,jekʲew,A,782
three,Ka-Gazli 6,ʃuː,A,483
four,Ka-Gazli 6,tørtʲew,B,149
five,Ka-Gazli 6,bʲes,A,140
big,Ka-Gazli 6,ʉlken,A,32
long,Ka-Gazli 6,ɔzaq,A,236
wide,Ka-Gazli 6,kʲɪŋ,A,827
thick,Ka-Gazli 6,qalən,C,472
one,Ka-Gazli 7,bɪr,A,319
two,Ka-Gazli 7,jɪkə,A,782
three,Ka-Gazli 7,ʉʃ,A,482
four,Ka-Gazli 7,tørt,A,149
five,Ka-Gazli 7,bʲɪs,A,140
big,Ka-Gazli 7,ʉlken,A,32
long,Ka-Gazli 7,købrik,C,242
thick,Ka-Gazli 7,sʲemɪz̥,B,468
one,Ka-Raushan 1,bər,A,319
two,Ka-Raushan 1,jikə,A,782
three,Ka-Raushan 1,yʃ,A,482
four,Ka-Raushan 1,tørt,A,149
five,Ka-Raushan 1,bʲɪs,A,140
big,Ka-Raushan 1,ʉlkɛn,A,32
long,Ka-Raushan 1,uzaq,A,236
wide,Ka-Raushan 1,kʲeŋ,A,827
thick,Ka-Raushan 1,tɔntaq,D,471
one,Ka-Raushan 2,bər,A,319
two,Ka-Raushan 2,jɪkə,A,782
three,Ka-Raushan 2,yʧ,A,482
four,Ka-Raushan 2,tœrt,A,149
five,Ka-Raushan 2,bʲɪʃ,A,140
big,Ka-Raushan 2,ʉlkɛn,A,32
long,Ka-Raushan 2,uzaq,A,236
wide,Ka-Raushan 2,kʲeŋ,A,827
thick,Ka-Raushan 2,sʲemɨz̥,B,468
one,Ka-Raushan 3,bər,A,319
two,Ka-Raushan 3,jɪke,A,782
three,Ka-Raushan 3,øʃ,A,482
four,Ka-Raushan 3,tørt,A,149
five,Ka-Raushan 3,bʲɪs,A,140
big,Ka-Raushan 3,ʉlkən,A,32
long,Ka-Raushan 3,alɨs,D,240
wide,Ka-Raushan 3,kʲeŋ,A,827
thick,Ka-Raushan 3,sʲemɨz̥,B,468
one,Ka-Raushan 4,bər,A,319
two,Ka-Raushan 4,jɪkə,A,782
three,Ka-Raushan 4,ʉʃ,A,482
four,Ka-Raushan 4,tørt,A,149
five,Ka-Raushan 4,bʲɪs,A,140
big,Ka-Raushan 4,ʉlken,A,32
long,Ka-Raushan 4,uzaq,A,236
wide,Ka-Raushan 4,kʲeŋ,A,827
thick,Ka-Raushan 4,sʲemɨz̥,B,468
one,Ki-Akmuz 1,bir,A,319
two,Ki-Akmuz 1,jeki,A,782
three,Ki-Akmuz 1,yʧ,A,482
