concept,doculect,counterpart,cc,inferredCC,db
right,KK-Halqabad 1,wɔŋ,A,central_asian:right:1,central_asian
right,KK-Halqabad 2,wɔŋ,A,central_asian:right:1,central_asian
right,KK-Halqabad 3,wɔŋ,A,central_asian:right:1,central_asian
right,KK-Kokdarya 1,wɔŋ,A,central_asian:right:1,central_asian
right,KK-Kokdarya 2,wɔŋ,A,central_asian:right:1,central_asian
right,KK-Kokdarya 3,wɔŋ,A,central_asian:right:1,central_asian
right,KK-Kokdarya 4,wɔŋ,A,central_asian:right:1,central_asian
right,KK-Shege 1,wɔŋ,A,central_asian:right:1,central_asian
right,KK-Shege 2,wɔŋ,A,central_asian:right:1,central_asian
right,KK-Shege 3,wɔŋ,A,central_asian:right:1,central_asian
right,KK-Shege 4,wɔŋ,A,central_asian:right:1,central_asian
right,Ka-Gazli 1,wɔŋ,A,central_asian:right:1,central_asian
right,Ka-Gazli 2,wɔŋ,A,central_asian:right:1,central_asian
right,Ka-Gazli 3,wɔŋ,A,central_asian:right:1,central_asian
right,Ka-Gazli 4,wɔ̃ŋ,A,central_asian:right:1,central_asian
right,Ka-Gazli 5,wɔ̃ŋ,A,central_asian:right:1,central_asian
right,Ka-Gazli 6,wɔ̃ŋ,A,central_asian:right:1,central_asian
right,Ka-Gazli 7,wɔŋ,A,central_asian:right:1,central_asian
right,Ka-Raushan 1,wɔŋ,A,central_asian:right:1,central_asian
right,Ka-Raushan 2,wɔŋ,A,central_asian:right:1,central_asian
right,Ka-Raushan 3,wɔŋ,A,central_asian:right:1,central_asian
right,Ka-Raushan 4,wɔŋ,A,central_asian:right:1,central_asian
right,Ki-Akmuz 1,ɔŋ,A,central_asian:right:1,central_asian
right,Ki-Akmuz 2,ɔŋ,A,central_asian:right:1,central_asian
right,Ki-Akmuz 3,ɔŋ,A,central_asian:right:1,central_asian
right,Ki-Barskoon,ɔŋ,A,central_asian:right:1,central_asian
right,Ki-Kulanak 1,ɔŋ,A,central_asian:right:1,central_asian
right,Ki-Kulanak 2,ɔŋ,A,central_asian:right:1,central_asian
right,Ki-Kulanak 3,ɔŋ,A,central_asian:right:1,central_asian
right,Ki-Kulanak 4,ɔŋ,A,central_asian:right:1,central_asian
right,Ki-Kulanak 5,ɔŋ,A,central_asian:right:1,central_asian
right,Ki-Orday 1,ɔŋ,A,central_asian:right:1,central_asian
right,Ki-Orday 2,ɔŋ,A,central_asian:right:1,central_asian
right,Ki-Orday 3,ɔŋ,A,central_asian:right:1,central_asian
right,Ki-Orday 4,ɔŋ,A,central_asian:right:1,central_asian
right,Ki-Tamga,ɔŋ,A,central_asian:right:1,central_asian
