concept,doculect,counterpart,cogid,lpID
I [first person singular],Beijing,uo²¹⁴,211,2
I [first person singular],Jinan,uə⁵⁵,211,2
I [first person singular],Jinan,ŋæ̃⁵⁵,212,5
I [first person singular],Shenyang,uə²¹³,211,2
I [first person singular],Xian,ŋə⁵³,211,1
I [first person singular],Chengdu,ŋo⁵³,211,1
I [first person singular],Kunming,uo⁵³,211,2
I [first person singular],Hefei,ʊ²⁴,211,3
I [first person singular],Yangzhou,o⁴²,211,3
I [first person singular],Suzhou,ŋəu³¹,211,1
I [first person singular],Suzhou,nəu³¹,213,1
I [first person singular],Wenzhou,ῃ²⁴,211,1
I [first person singular],Changsha,ŋo⁴¹,211,1
I [first person singular],Nanchang,ŋɔ²¹³,211,1
I [first person singular],Meixian,ŋai¹²,214,1
I [first person singular],Guangzhou,ŋɔ²³,211,1
I [first person singular],Yangjiang,ŋɔ²¹,211,1
I [first person singular],Xiamen,gua⁵¹,211,4
I [first person singular],Chaozhou,ua⁵³,211,4
I [first person singular],Fuzhou,ŋuai³¹,211,6
abacus,Beijing,suan⁵¹pʰan⁰,575,7
abacus,Jinan,suæ̃²¹pʰæ̃⁴²,575,7
abacus,Shenyang,suan⁴¹pʰan³⁵,575,7
abacus,Xian,suæ̃⁴⁵pʰæ̃⁰,575,7
abacus,Chengdu,suan¹³pʰan³¹,575,7
abacus,Kunming,suã¹³pʰã³¹,575,7
abacus,Hefei,sʊ̃⁵³pʰʊ̃⁵⁵,575,7
abacus,Yangzhou,sõ⁵⁵pʰõ³⁴,575,7
abacus,Suzhou,sø⁵¹³₄₄bø²⁴₂₁,575,9
abacus,Wenzhou,sø⁴²bø³¹,575,9
abacus,Changsha,sõ⁵⁵põ¹³,575,7
abacus,Nanchang,sɔn⁵⁵pʰɔn²⁴,575,7
abacus,Meixian,sɔn⁴²pʰan¹²,575,7
abacus,Guangzhou,ʃyn³³pʰun²¹,575,7
abacus,Yangjiang,ɬun²⁴pʰun⁴⁴³,575,7
abacus,Xiamen,sῃ¹¹₅₁pũã²⁴,575,8
abacus,Chaozhou,sɯŋ²¹³₅₃pũã⁵⁵,575,8
abacus,Fuzhou,souŋ²¹³₄₄muaŋ⁵²,575,8
all,Beijing,tou⁵⁵,432,10
all,Beijing,tɕʰyan³⁵,433,19
all,Jinan,tou²¹³,432,10
all,Shenyang,tou³³,432,10
all,Xian,tou²¹,432,10
all,Chengdu,təu⁴⁴,432,10
all,Kunming,tu⁴⁴,432,10
all,Hefei,tu²¹²,432,10
all,Yangzhou,tu³¹,432,10
all,Suzhou,zɛ²⁴,434,21
all,Wenzhou,o²³,435,20
all,Changsha,xa²¹,436,11
all,Nanchang,tu⁴²,432,10
all,Meixian,tu⁴⁴,432,10
all,Guangzhou,ʃai³³,437,11
all,Yangjiang,tou³³,432,10
all,Chaozhou,tai³⁵₂₁ke³³,628,11
all,Xiamen,lɔŋ⁵¹₅₅,105,14
all,Chaozhou,loŋ⁵³,105,14
all,Fuzhou,tu⁴⁴,432,10
all,Beijing,ta⁵¹xuor²¹⁴,625,13
all,Jinan,ta²¹xuər⁵⁵,625,13
all,Shenyang,ta⁴¹xuər²¹³,625,13
all,Xian,tɑ⁴⁵tɕiɑ⁰,628,12
all,Chengdu,ta¹³tɕia⁴⁴,628,12
all,Kunming,ta¹³tɕia⁴⁴,628,12
all,Hefei,ta⁵³tɕia²¹²,628,12
all,Yangzhou,tɑ⁵⁵kɑ⁰,628,11
all,Suzhou,dɒ³¹₂₂kɒ⁴⁴,628,11
all,Wenzhou,da¹¹ko⁴⁴naŋ⁰,629,17
all,Changsha,tai²¹ka³³,628,11
all,Nanchang,tʰai³¹ka⁴²,628,11
all,Nanchang,tʰai³¹kan⁰,626,11
all,Meixian,tsʰɛ¹²ka⁴⁴,246,11
all,Guangzhou,tai²²ka⁵³,628,11
all,Guangzhou,tai²²tʃʊŋ³³,627,15
all,Yangjiang,tai⁴⁵⁴ka³³,628,11
all,Xiamen,tai³³₁₁ke³³,628,11
all,Fuzhou,tai²⁴²₄₄a⁴⁴nøyŋ⁵²,629,18
all,Fuzhou,kɔʔ²³₃₁nøyŋ⁵²,247,16
bad,Beijing,xuai⁵¹,157,22
bad,Beijing,lai⁵¹,158,28
bad,Jinan,xuɛ²¹,157,22
bad,Jinan,nɔ²¹³,159,27
bad,Shenyang,xuai⁴¹,157,22
bad,Xian,xuæ⁴³,157,22
bad,Xian,xɑ²¹,160,25
bad,Chengdu,xuai¹³,157,22
bad,Kunming,xuɛ¹³,157,22
bad,Hefei,xuɛ⁵³,157,22
bad,Yangzhou,xuɛ⁵⁵,157,22
bad,Suzhou,uɒ⁵¹³,157,30
bad,Suzhou,tɕʰiʏ⁴⁴,161,26
bad,Wenzhou,mɜ³¹,162,29
bad,Changsha,fai²¹,157,23
bad,Nanchang,fai³¹,157,23
bad,Meixian,fai⁴²,157,23
bad,Guangzhou,wai²²,157,23
bad,Yangjiang,wai⁴⁵⁴,157,23
bad,Xiamen,pʰãĩ⁵¹,163,24
bad,Xiamen,mãĩ⁵¹,164,24
bad,Chaozhou,hai¹¹,165,23
bad,Fuzhou,pʰai³¹,163,24
bad,Fuzhou,ŋai⁵²,166,23
big,Beijing,ta⁵¹,53,31
big,Jinan,ta²¹,53,31
big,Shenyang,ta⁴¹,53,31
big,Xian,tɑ⁴⁵,53,31
big,Chengdu,ta¹³,53,31
big,Kunming,ta¹³,53,31
big,Hefei,ta⁵³,53,31
big,Yangzhou,tɑ⁵⁵,53,31
big,Suzhou,dəu³¹,53,32
big,Wenzhou,du¹¹,53,31
big,Changsha,tai²¹,53,31
big,Nanchang,tʰai³¹,53,32
big,Meixian,tʰai⁴²,53,32
big,Guangzhou,tai²²,53,32
big,Yangjiang,tai⁴⁵⁴,53,32
big,Xiamen,tua³³,53,33
big,Chaozhou,tua¹¹,53,33
big,Fuzhou,tuai²⁴²,53,33
black,Beijing,xei⁵⁵,91,34
black,Jinan,xei²¹³,91,34
black,Shenyang,xei³³,91,34
black,Xian,xei²¹,91,34
black,Chengdu,xe³¹,91,34
black,Kunming,xə³¹,91,34
black,Hefei,xɐʔ⁴,91,35
black,Yangzhou,xəʔ⁴,91,35
black,Suzhou,hɤʔ⁴,91,35
black,Wenzhou,hɛ²³,91,34
black,Changsha,xə²⁴,91,34
black,Nanchang,hɛt⁵,91,35
black,Nanchang,u⁴²,92,36
black,Meixian,vu⁴⁴,92,34
black,Guangzhou,hɐk⁵,91,35
black,Yangjiang,hɐk²⁴,91,35
black,Xiamen,ɔ⁵⁵,92,36
black,Chaozhou,ou³³,92,37
black,Fuzhou,u⁴⁴,92,36
cold (of temperature),Beijing,liaŋ³⁵,170,38
cold (of temperature),Jinan,liaŋ⁴²,170,38
cold (of temperature),Shenyang,liaŋ³⁵,170,38
cold (of temperature),Xian,liɑŋ²⁴,170,38
cold (of temperature),Chengdu,niaŋ³¹,170,38
cold (of temperature),Kunming,liã³¹,170,38
cold (of temperature),Hefei,nən²⁴,171,38
cold (of temperature),Yangzhou,liɑŋ³⁴,170,38
cold (of temperature),Suzhou,laŋ³¹,171,38
cold (of temperature),Wenzhou,li³¹,170,40
cold (of temperature),Changsha,lian¹³,170,38
cold (of temperature),Nanchang,liɔŋ⁵⁵,170,38
cold (of temperature),Meixian,laŋ⁴⁴,171,38
cold (of temperature),Guangzhou,lœŋ²¹,170,38
cold (of temperature),Yangjiang,liɛŋ⁴⁴³,170,38
cold (of temperature),Xiamen,tsʰin¹¹,172,39
cold (of temperature),Chaozhou,tsʰiŋ²¹³,172,39
cold (of temperature),Fuzhou,tsʰeiŋ²¹³,172,39
dark,Beijing,xei⁵⁵,88,41
dark,Jinan,xei²¹³,88,41
dark,Jinan,ŋæ̃²¹,90,42
dark,Shenyang,an⁴¹,90,42
dark,Xian,ŋæ̃⁴⁵,90,42
dark,Chengdu,xe³¹,88,41
dark,Kunming,xə³¹,88,41
dark,Hefei,xɐʔ⁴,88,41
dark,Yangzhou,ɛ̃⁵⁵,90,42
dark,Yangzhou,xəʔ⁴,88,41
dark,Suzhou,ø⁵¹³,90,44
dark,Suzhou,hɤʔ⁴,88,41
dark,Wenzhou,ø¹²,90,44
dark,Changsha,ŋan⁵⁵,90,42
dark,Nanchang,ŋɔn⁵⁵,90,42
dark,Meixian,am⁴²,90,43
dark,Guangzhou,hɐk⁵,88,41
dark,Yangjiang,ɐm²⁴,90,43
dark,Xiamen,am¹¹,90,43
dark,Chaozhou,am²¹³,90,43
dark,Fuzhou,aŋ²¹³,90,42
dirty,Beijing,tsaŋ⁵⁵,120,46
dirty,Jinan,tsaŋ²¹³,120,46
dirty,Shenyang,mai³⁵tʰai⁰,122,50
dirty,Xian,ŋɑŋ²¹tsɑŋ⁰,123,45
dirty,Xian,tsɑŋ²¹ɕi⁰,121,46
dirty,Chengdu,o³¹tsʰo³¹₄₄,124,45
dirty,Chengdu,tsaŋ⁴⁴,120,46
dirty,Kunming,tsã⁴⁴,120,46
dirty,Hefei,tsɑ̃²¹²,120,46
dirty,Hefei,ʂəʔ⁴nəŋ⁰,125,56
dirty,Yangzhou,tsɑŋ³¹,120,46
dirty,Yangzhou,u³¹tsɔ⁰,126,45
dirty,Suzhou,oʔ⁴tsʰoʔ⁴,124,51
dirty,Wenzhou,ɜ⁴⁴tsɜ⁴⁴,127,45
dirty,Changsha,la²⁴tʰa⁰,128,45
dirty,Nanchang,ŋa⁴²tsa⁴²,129,45
dirty,Meixian,ɛu⁴²nɛu⁴²,130,49
dirty,Meixian,ɔ⁴⁴tsɔ⁴⁴,132,45
dirty,Guangzhou,wu⁵³tʃou⁵³,126,47
dirty,Guangzhou,la²³tʃa³⁵,133,45
dirty,Yangjiang,ʃɐt²⁴jɐn²¹,134,53
dirty,Yangjiang,wu³³tʃou³³,126,47
dirty,Xiamen,lau²⁴₃₃siɔŋ²⁴,135,52
dirty,Xiamen,lap³²₅sap³²,136,48
dirty,Xiamen,am⁵⁵₃₃tsam⁵⁵,138,57
dirty,Chaozhou,laʔ²¹₃sap²¹,136,48
dirty,Chaozhou,tsʰi³³₂₃i⁵⁵,139,54
dirty,Fuzhou,na⁴⁴zia⁴⁴,140,58
dirty,Fuzhou,ei²⁴²,141,55
dry,Beijing,kan⁵⁵,96,59
dry,Jinan,kæ̃²¹³,96,59
dry,Shenyang,kan³³,96,59
dry,Xian,kæ̃²¹,96,59
dry,Chengdu,kan⁴⁴,96,59
dry,Kunming,kã⁴⁴,96,59
dry,Hefei,kæ̃²¹²,96,59
dry,Yangzhou,kɛ̃³¹,96,59
dry,Suzhou,kø⁴⁴,96,61
dry,Wenzhou,ky⁴⁴,96,61
dry,Changsha,kan³³,96,59
dry,Nanchang,kɔn⁴²,96,59
dry,Meixian,kɔn⁴⁴,96,59
dry,Guangzhou,kɔn⁵³,96,59
dry,Yangjiang,tʃau³³,97,62
dry,Xiamen,ta⁵⁵,98,60
dry,Xiamen,kan⁵⁵,96,59
dry,Chaozhou,ta³³,98,60
dry,Fuzhou,ta⁴⁴,98,60
dry,Fuzhou,kaŋ⁴⁴,96,59
early,Beijing,tsau²¹⁴,144,63
