db,concept,doculect,counterpart,fullCC,inferredCC
chinese_1964,the firewood,Beijing,tʂʰai³⁵,chinese_1964:the firewood:516,chinese_1964:the firewood:1
chinese_1964,the firewood,Beijing,pʰi²¹⁴₂₁tʂʰai⁰,chinese_1964:the firewood:523,chinese_1964:the firewood:1
chinese_1964,the firewood,Changsha,tsai¹³,chinese_1964:the firewood:516,chinese_1964:the firewood:1
chinese_1964,the firewood,Chaozhou,tsʰa⁵⁵,chinese_1964:the firewood:516,chinese_1964:the firewood:1
chinese_1964,the firewood,Chengdu,tsʰai³¹,chinese_1964:the firewood:516,chinese_1964:the firewood:1
chinese_1964,the firewood,Fuzhou,tsʰa⁵²₃₁løy²¹³,chinese_1964:the firewood:521,chinese_1964:the firewood:1
chinese_1964,the firewood,Guangzhou,tʃʰai²¹,chinese_1964:the firewood:516,chinese_1964:the firewood:1
chinese_1964,the firewood,Hefei,tʂʰɛ⁵⁵,chinese_1964:the firewood:516,chinese_1964:the firewood:1
chinese_1964,the firewood,Hefei,pʰiəʔ⁴tʂʰɛ⁵⁵,chinese_1964:the firewood:523,chinese_1964:the firewood:1
chinese_1964,the firewood,Jinan,xuə⁵⁵tʰou⁰,chinese_1964:the firewood:525,chinese_1964:the firewood:2
chinese_1964,the firewood,Kunming,tsʰɛ³¹,chinese_1964:the firewood:516,chinese_1964:the firewood:1
chinese_1964,the firewood,Meixian,tsʰai¹²,chinese_1964:the firewood:516,chinese_1964:the firewood:1
chinese_1964,the firewood,Nanchang,tsʰai²⁴,chinese_1964:the firewood:516,chinese_1964:the firewood:1
chinese_1964,the firewood,Shenyang,tsʰai³⁵xuo⁰,chinese_1964:the firewood:517,chinese_1964:the firewood:1
chinese_1964,the firewood,Shenyang,pʰi²¹³₂₁tsʰai⁰,chinese_1964:the firewood:523,chinese_1964:the firewood:1
chinese_1964,the firewood,Suzhou,zɒ²⁴₂₂bɛ³¹₃₃,chinese_1964:the firewood:518,chinese_1964:the firewood:3
chinese_1964,the firewood,Suzhou,pʰiɪʔ⁴zɒ²⁴,chinese_1964:the firewood:523,chinese_1964:the firewood:1
chinese_1964,the firewood,Wenzhou,za³¹,chinese_1964:the firewood:516,chinese_1964:the firewood:4
chinese_1964,the firewood,Xiamen,tsʰa²⁴₃₃tsʰau⁵¹,chinese_1964:the firewood:519,chinese_1964:the firewood:1
chinese_1964,the firewood,Xiamen,tsʰa²⁴₃₃te¹¹,chinese_1964:the firewood:520,chinese_1964:the firewood:1
chinese_1964,the firewood,Xian,tsʰæ²⁴,chinese_1964:the firewood:516,chinese_1964:the firewood:1
chinese_1964,the firewood,Yangjiang,ʃai⁴⁴³,chinese_1964:the firewood:516,chinese_1964:the firewood:1
chinese_1964,the firewood,Yangzhou,tsʰɛ³¹,chinese_1964:the firewood:516,chinese_1964:the firewood:1
chinese_1964,the firewood,Yangzhou,pʰiəʔ⁴tsʰɛ³⁴,chinese_1964:the firewood:523,chinese_1964:the firewood:1
chinese_1964,right,Beijing,iou⁵¹ʂou²¹⁴,chinese_1964:right:723,chinese_1964:right:1
chinese_1964,right,Changsha,iəu²¹səu⁴¹,chinese_1964:right:723,chinese_1964:right:1
chinese_1964,right,Chaozhou,tsĩã²¹³₅₃tsʰiu⁵³₂₁,chinese_1964:right:725,chinese_1964:right:2
chinese_1964,right,Chengdu,iəu¹³səu⁵³,chinese_1964:right:723,chinese_1964:right:1
chinese_1964,right,Fuzhou,tuai²⁴²₃₁βeiŋ⁴⁴₅₂ȵiu³¹,chinese_1964:right:726,chinese_1964:right:7
chinese_1964,right,Guangzhou,jɐu²²ʃɐu³⁵,chinese_1964:right:723,chinese_1964:right:1
chinese_1964,right,Hefei,iɯ⁵³ʂɯ²⁴,chinese_1964:right:723,chinese_1964:right:1
chinese_1964,right,Jinan,iou²¹ʂou⁵⁵,chinese_1964:right:723,chinese_1964:right:1
chinese_1964,right,Kunming,io¹³ʂəu⁵³,chinese_1964:right:723,chinese_1964:right:1
chinese_1964,right,Meixian,jiu⁴²su³¹,chinese_1964:right:723,chinese_1964:right:1
chinese_1964,right,Nanchang,iu³¹səu²¹³,chinese_1964:right:723,chinese_1964:right:1
chinese_1964,right,Shenyang,iou⁴¹sou²¹³,chinese_1964:right:723,chinese_1964:right:1
chinese_1964,right,Suzhou,zən³¹₂₂sʏ⁴¹₄₄,chinese_1964:right:724,chinese_1964:right:6
chinese_1964,right,Suzhou,iʏ³¹₂₂sʏ⁴¹₄₄,chinese_1964:right:723,chinese_1964:right:5
chinese_1964,right,Wenzhou,ɦyoŋ¹¹ɕiu⁴⁵,chinese_1964:right:724,chinese_1964:right:4
chinese_1964,right,Xiamen,tsĩã¹¹₅₁tsʰiu⁵¹,chinese_1964:right:725,chinese_1964:right:2
chinese_1964,right,Xian,iou⁴⁵ʂou⁵³,chinese_1964:right:723,chinese_1964:right:1
chinese_1964,right,Yangjiang,jɐu⁴⁵⁴ʃɐu²¹,chinese_1964:right:723,chinese_1964:right:1
chinese_1964,right,Yangzhou,iɤɯ⁵⁵sɤɯ⁴²,chinese_1964:right:723,chinese_1964:right:1
chinese_1964,right,Yangzhou,suəŋ⁵⁵sɤɯ⁴²,chinese_1964:right:724,chinese_1964:right:3
chinese_1964,good,Beijing,xau²¹⁴,chinese_1964:good:148,chinese_1964:good:1
chinese_1964,good,Changsha,xau⁴¹,chinese_1964:good:148,chinese_1964:good:1
chinese_1964,good,Chaozhou,ho⁵³,chinese_1964:good:148,chinese_1964:good:1
chinese_1964,good,Chengdu,xau⁵³,chinese_1964:good:148,chinese_1964:good:1
chinese_1964,good,Fuzhou,xɔ³¹,chinese_1964:good:148,chinese_1964:good:1
chinese_1964,good,Guangzhou,hou³⁵,chinese_1964:good:148,chinese_1964:good:1
chinese_1964,good,Hefei,xɔ²⁴,chinese_1964:good:148,chinese_1964:good:1
chinese_1964,good,Jinan,xɔ⁵⁵,chinese_1964:good:148,chinese_1964:good:1
chinese_1964,good,Jinan,tɕʰiaŋ⁴²,chinese_1964:good:149,chinese_1964:good:2
chinese_1964,good,Kunming,xau⁵³,chinese_1964:good:148,chinese_1964:good:1
chinese_1964,good,Meixian,hau³¹,chinese_1964:good:148,chinese_1964:good:1
chinese_1964,good,Meixian,tsan³¹,chinese_1964:good:153,chinese_1964:good:2
chinese_1964,good,Nanchang,hau²¹³,chinese_1964:good:148,chinese_1964:good:1
chinese_1964,good,Shenyang,xau²¹³,chinese_1964:good:148,chinese_1964:good:1
chinese_1964,good,Suzhou,hæ⁴¹,chinese_1964:good:148,chinese_1964:good:1
chinese_1964,good,Suzhou,lin²⁴,chinese_1964:good:151,chinese_1964:good:4
chinese_1964,good,Suzhou,tsɛ⁵¹³,chinese_1964:good:152,chinese_1964:good:2
chinese_1964,good,Wenzhou,hɜ⁴⁵,chinese_1964:good:148,chinese_1964:good:1
chinese_1964,good,Xiamen,ho⁵¹,chinese_1964:good:148,chinese_1964:good:1
chinese_1964,good,Xian,xɑn⁵³,chinese_1964:good:148,chinese_1964:good:1
chinese_1964,good,Xian,liɑu²⁴,chinese_1964:good:150,chinese_1964:good:3
chinese_1964,good,Yangjiang,hou²¹,chinese_1964:good:148,chinese_1964:good:1
chinese_1964,good,Yangzhou,xɔ⁴²,chinese_1964:good:148,chinese_1964:good:1
chinese_1964,the hair (of the head),Beijing,tʰou³⁵fa⁰,chinese_1964:the hair (of the head):649,chinese_1964:the hair (of the head):1
chinese_1964,the hair (of the head),Changsha,təu¹³fa²⁴,chinese_1964:the hair (of the head):649,chinese_1964:the hair (of the head):1
chinese_1964,the hair (of the head),Chaozhou,tʰau⁵⁵₂₁₃mo⁵⁵,chinese_1964:the hair (of the head):651,chinese_1964:the hair (of the head):2
chinese_1964,the hair (of the head),Chengdu,tʰəu³¹fa³¹₄₄,chinese_1964:the hair (of the head):649,chinese_1964:the hair (of the head):1
chinese_1964,the hair (of the head),Fuzhou,tʰan⁵²₃₁uɔʔ²³,chinese_1964:the hair (of the head):649,chinese_1964:the hair (of the head):3
chinese_1964,the hair (of the head),Guangzhou,tʰɐu²¹at³³,chinese_1964:the hair (of the head):649,chinese_1964:the hair (of the head):1
chinese_1964,the hair (of the head),Hefei,tʰɯ⁵⁵fɐʔ⁴,chinese_1964:the hair (of the head):649,chinese_1964:the hair (of the head):1
chinese_1964,the hair (of the head),Jinan,tʰou⁴²fa⁰,chinese_1964:the hair (of the head):649,chinese_1964:the hair (of the head):1
chinese_1964,the hair (of the head),Kunming,tʰəu³¹fa³¹₄₄,chinese_1964:the hair (of the head):649,chinese_1964:the hair (of the head):1
chinese_1964,the hair (of the head),Meixian,tʰɛu¹²na¹²mau⁴⁴,chinese_1964:the hair (of the head):650,chinese_1964:the hair (of the head):2
chinese_1964,the hair (of the head),Nanchang,tʰɛn²⁴fat⁵,chinese_1964:the hair (of the head):649,chinese_1964:the hair (of the head):1
chinese_1964,the hair (of the head),Shenyang,tʰou³⁵fa⁰,chinese_1964:the hair (of the head):649,chinese_1964:the hair (of the head):1
chinese_1964,the hair (of the head),Suzhou,dʏ²⁴₂₂faʔ⁴,chinese_1964:the hair (of the head):649,chinese_1964:the hair (of the head):1
