db,concept,doculect,counterpart,fullCC,inferredCC
huon,good,BURUM,olpNi,huon:good:6,huon:good:1
huon,good,DEDUA,gombuNa,huon:good:3,huon:good:9
huon,good,HUBE,fia,huon:good:2,huon:good:8
huon,good,KATE,biaNne,huon:good:1,huon:good:2
huon,good,KOMBA,olipNo,huon:good:6,huon:good:1
huon,good,KOSORONG,aua,huon:good:5,huon:good:7
huon,good,MAPE_2,fine,huon:good:2,huon:good:2
huon,good,MINDIK,olpNi,huon:good:6,huon:good:1
huon,good,MOMOLILI,saNgam,huon:good:9,huon:good:6
huon,good,NABAK,kp~emben3N,huon:good:8,huon:good:5
huon,good,ONO,maine,huon:good:7,huon:good:4
huon,good,SELEPET,olipNe,huon:good:6,huon:good:1
huon,good,TIMBE,olipNe,huon:good:6,huon:good:1
huon,good,TOBO,eha,huon:good:4,huon:good:3
huon,hair,BURUM,cup,huon:hair:3,huon:hair:1
huon,hair,DEDUA,cowe,huon:hair:1,huon:hair:1
huon,hair,HUBE,cu,huon:hair:3,huon:hair:1
huon,hair,KATE,cowo,huon:hair:1,huon:hair:1
huon,hair,KOMBA,somot,huon:hair:4,huon:hair:2
huon,hair,KOSORONG,cui,huon:hair:3,huon:hair:1
huon,hair,MAPE_2,kaNcaN,huon:hair:2,huon:hair:3
huon,hair,MINDIK,cup,huon:hair:3,huon:hair:1
huon,hair,MOMOLILI,cup,huon:hair:3,huon:hair:1
huon,hair,NABAK,cup,huon:hair:3,huon:hair:1
huon,hair,ONO,cou,huon:hair:3,huon:hair:1
huon,hair,SELEPET,somot,huon:hair:4,huon:hair:2
huon,hair,TIMBE,dumut,huon:hair:4,huon:hair:2
huon,hair,TOBO,cu,huon:hair:3,huon:hair:1
huon,many,BURUM,gotpok,huon:many:5,huon:many:6
huon,many,DEDUA,homak,huon:many:2,huon:many:8
huon,many,HUBE,sasara,huon:many:3,huon:many:1
huon,many,KATE,bo7yaha,huon:many:1,huon:many:4
huon,many,KOMBA,biwiro,huon:many:7,huon:many:2
huon,many,KOSORONG,mamagu,huon:many:4,huon:many:5
huon,many,MAPE_2,boiaha,huon:many:1,huon:many:4
huon,many,MINDIK,seseNi,huon:many:3,huon:many:1
huon,many,MOMOLILI,kirisi,huon:many:8,huon:many:3
huon,many,NABAK,kilisik,huon:many:8,huon:many:3
huon,many,ONO,louloutNe,huon:many:6,huon:many:7
huon,many,SELEPET,biwiro,huon:many:7,huon:many:2
huon,many,TIMBE,biwiro,huon:many:7,huon:many:2
huon,many,TOBO,sesia,huon:many:3,huon:many:1
huon,big,BURUM,ketaNi,huon:big:6,huon:big:1
huon,big,DEDUA,kuneN,huon:big:3,huon:big:3
huon,big,HUBE,kuneN,huon:big:3,huon:big:3
huon,big,KATE,ko7gbene,huon:big:1,huon:big:10
huon,big,KOMBA,pato,huon:big:8,huon:big:2
huon,big,KOSORONG,somata,huon:big:5,huon:big:9
huon,big,MAPE_2,yasogo,huon:big:2,huon:big:8
huon,big,MINDIK,ketaNi,huon:big:6,huon:big:1
huon,big,MOMOLILI,k3itn,huon:big:11,huon:big:1
huon,big,NABAK,taemba,huon:big:10,huon:big:7
huon,big,ONO,suaine,huon:big:7,huon:big:6
huon,big,SELEPET,pato,huon:big:8,huon:big:2
huon,big,TIMBE,humo,huon:big:9,huon:big:5
huon,big,TOBO,baia,huon:big:4,huon:big:4
huon,long,BURUM,koripNi,huon:long:2,huon:long:1
huon,long,DEDUA,herea,huon:long:2,huon:long:2
huon,long,HUBE,horua,huon:long:2,huon:long:2
huon,long,KATE,cori7ne,huon:long:1,huon:long:4
huon,long,KOMBA,korep,huon:long:2,huon:long:1
huon,long,KOSORONG,koriga,huon:long:2,huon:long:2
huon,long,MAPE_2,coraikne,huon:long:1,huon:long:4
huon,long,MINDIK,koripNi,huon:long:2,huon:long:1
huon,long,MOMOLILI,kepm,huon:long:4,huon:long:3
huon,long,NABAK,tepm3N,huon:long:3,huon:long:3
huon,long,ONO,kiroine,huon:long:2,huon:long:5
huon,long,SELEPET,kolip,huon:long:2,huon:long:1
huon,long,TIMBE,kolip,huon:long:2,huon:long:1
huon,long,TOBO,korua,huon:long:2,huon:long:2
huon,tongue,BURUM,neselam,huon:tongue:3,huon:tongue:1
huon,tongue,DEDUA,nameN,huon:tongue:1,huon:tongue:2
huon,tongue,HUBE,eceraN,huon:tongue:3,huon:tongue:1
huon,tongue,KATE,nameN,huon:tongue:1,huon:tongue:2
huon,tongue,KOMBA,nobolam,huon:tongue:3,huon:tongue:3
huon,tongue,KOSORONG,neselaN,huon:tongue:3,huon:tongue:1
huon,tongue,MAPE_2,eroN,huon:tongue:2,huon:tongue:1
huon,tongue,MINDIK,nesolam,huon:tongue:3,huon:tongue:1
huon,tongue,MOMOLILI,namb~alaN,huon:tongue:3,huon:tongue:2
huon,tongue,NABAK,namb~arem,huon:tongue:3,huon:tongue:2
huon,tongue,ONO,belakami,huon:tongue:4,huon:tongue:4
huon,tongue,SELEPET,nibilam,huon:tongue:3,huon:tongue:3
huon,tongue,TIMBE,elewot,huon:tongue:5,huon:tongue:5
huon,tongue,TOBO,ecelom,huon:tongue:3,huon:tongue:1
huon,I,BURUM,ni,huon:I:2,huon:I:1
huon,I,DEDUA,ni,huon:I:2,huon:I:1
huon,I,HUBE,ni,huon:I:2,huon:I:1
huon,I,KATE,no,huon:I:1,huon:I:1
huon,I,KOMBA,no,huon:I:1,huon:I:1
huon,I,KOSORONG,ni,huon:I:2,huon:I:1
huon,I,MAPE_2,no,huon:I:1,huon:I:1
huon,I,MINDIK,ni,huon:I:2,huon:I:1
huon,I,MOMOLILI,na,huon:I:1,huon:I:1
huon,I,NABAK,n3N,huon:I:1,huon:I:1
huon,I,ONO,na,huon:I:1,huon:I:1
huon,I,SELEPET,no,huon:I:1,huon:I:1
huon,I,TIMBE,no,huon:I:1,huon:I:1
huon,I,TOBO,ni,huon:I:2,huon:I:1
huon,we,BURUM,nini,huon:we:2,huon:we:1
huon,we,DEDUA,nini,huon:we:2,huon:we:1
huon,we,HUBE,nini,huon:we:2,huon:we:1
huon,we,KATE,noNo7,huon:we:1,huon:we:1
huon,we,KOMBA,nen,huon:we:2,huon:we:1
huon,we,KOSORONG,nono,huon:we:1,huon:we:1
