concept,doculect,counterpart,cogid,lpID
sharp,ANCIENT_GREEK,oksýs,sharp:C,1943
sharp,GREEK,ˌko̞fte̞ˈro̞s,sharp:J,1951
sharp,CLASSICAL_ARMENIAN,sowr,sharp:D,1946
sharp,ARMENIAN_EASTERN,suɾ,sharp:D,1944
sharp,OSSETIC,tsɨrʁ,sharp:A,1946
sharp,OSSETIC_IRON,syrʁ,sharp:A,1946
sharp,OSSETIC_DIGOR,čirʁ,sharp:A,1946
sharp,BIHARI,tejgər,sharp:A,1944
sharp,URDU,t̪ez,sharp:A,1948
sharp,MARATHI,dʰaɾdaɾ,sharp:E,1953
sharp,MARATHI,ti:kʂɳə,sharp:A,1956
sharp,OLD_CHURCH_SLAVONIC,ɔstrʊ̆,sharp:C,1945
sharp,SERBO-CROATIAN,ˈɔʃtar,sharp:C,1945
sharp,BULGARIAN,ˈɔstər,sharp:C,1945
sharp,MACEDONIAN,ˈostar,sharp:C,1945
sharp,RUSSIAN,ɔstrɨj,sharp:C,1945
sharp,POLISH,ˈɔstrɘ̟,sharp:C,1945
sharp,BELARUSIAN,ˈvɔstrɨ,sharp:C,1945
sharp,UKRAINIAN,ˈɦɔstrɪj,sharp:C,1945
sharp,SLOVAK,ˈɔstriː,sharp:C,1945
sharp,CZECH,ˈɔstriː,sharp:C,1945
sharp,SORBIAN_UPPER,ˈwʊtʀɘ̟,sharp:C,1945
sharp,SORBIAN_LOWER,ˈwɘ̟tʂɘ̟,sharp:C,1945
sharp,SLOVENIAN,ˈǒːstər,sharp:C,1945
sharp,OLD_NORSE,ɣvasː,sharp:H,1948
sharp,OLD_NORSE,bitr,sharp:K,1949
sharp,OLD_NORSE,skarpr,sharp:B,1947
sharp,ICELANDIC,xʷasː,sharp:H,1948
sharp,ICELANDIC,ˈskar̥pʰʏr,sharp:B,1947
sharp,ICELANDIC,ˈb̥eiʰtːʏr,sharp:K,1949
sharp,FAROESE,ˈb̥iːtʰʊɹ,sharp:K,1949
sharp,FAROESE,ˈskaɹpʰʊɹ,sharp:B,1947
sharp,FAROESE,ˈkʰvasːʊɹ,sharp:H,1948
sharp,NORWEGIAN_RIKSMAL,ʋasː,sharp:H,1948
sharp,NORWEGIAN_RIKSMAL,skaɾp,sharp:B,1947
sharp,STAVANGERSK,ˈkʋasːə,sharp:H,1948
sharp,STAVANGERSK,ˈskaʁpə,sharp:B,1947
sharp,OLD_SWEDISH,ˈhvasː,sharp:H,1948
sharp,OLD_SWEDISH,ˈbiːter,sharp:K,1949
sharp,OLD_SWEDISH,ˈskarper,sharp:B,1947
sharp,SWEDISH,vasː,sharp:H,1948
sharp,SWEDISH,skarp,sharp:B,1947
sharp,ELFDALIAN,wɑsː,sharp:H,1948
sharp,DANISH,sg̥ʰɑ:b̥,sharp:B,1947
sharp,DANISH_FJOLDE,ˈsxɑɹəb,sharp:B,1947
sharp,GUTNISH_LAU,ˈskarpar,sharp:B,1947
sharp,GUTNISH_LAU,ˈvasːar,sharp:H,1948
sharp,ENGLISH,ʃɑ:p,sharp:B,1947
sharp,FRISIAN,skɛrp,sharp:B,1947
