concept,doculect,counterpart,cc,inferredCC,db
rightside,ANCIENT_GREEK,ortʰós,right:F,ielex:rightside:51,ielex
rightside,ANCIENT_GREEK,deksiós,rightside:G,ielex:rightside:10,ielex
rightside,ARMENIAN_EASTERN,ɑʧʰ,rightside:H,ielex:rightside:9,ielex
rightside,ASSAMESE,xõ,rightside:C,ielex:rightside:11,ielex
rightside,BELARUSIAN,ˈpravʲilʲnɨ,right:K,ielex:rightside:1,ielex
rightside,BELARUSIAN,ˈpravɨ,rightside:L,ielex:rightside:1,ielex
rightside,BIHARI,ʈhick,right:H,ielex:rightside:16,ielex
rightside,BIHARI,dəhina,rightside:G,ielex:rightside:4,ielex
rightside,BRETON,ˈreːjs,right:C,ielex:rightside:8,ielex
rightside,BRETON,ˈdeːhoʷ,rightside:G,ielex:rightside:5,ielex
rightside,BULGARIAN,ˈpravilɘn,right:K,ielex:rightside:1,ielex
rightside,BULGARIAN,dɘˈsɛn,rightside:G,ielex:rightside:4,ielex
rightside,CATALAN,kurektə,right:M,ielex:rightside:52,ielex
rightside,CATALAN,rɛktə,right:C,ielex:rightside:2,ielex
rightside,CATALAN,ʒus,right:L,ielex:rightside:17,ielex
rightside,CATALAN,dɾɛt,right:C,ielex:rightside:53,ielex
rightside,CATALAN,dɾɛt,rightside:D,ielex:rightside:6,ielex
rightside,CLASSICAL_ARMENIAN,owłił,right:R,ielex:rightside:54,ielex
rightside,CLASSICAL_ARMENIAN,aǰ,rightside:H,ielex:rightside:9,ielex
rightside,CZECH,ˈspraːvniː,right:K,ielex:rightside:1,ielex
rightside,CZECH,ˈpraviː,rightside:L,ielex:rightside:1,ielex
rightside,DANISH,ʁad̥ʰ,right:C,ielex:rightside:18,ielex
rightside,DANISH,ˈhʌjʁʌ,rightside:M,ielex:rightside:3,ielex
rightside,DANISH_FJOLDE,ɹeæd,right:C,ielex:rightside:2,ielex
rightside,DANISH_FJOLDE,ˈhøjəɹ,rightside:M,ielex:rightside:3,ielex
rightside,DUTCH,ɣut,right:V,ielex:rightside:12,ielex
rightside,DUTCH,rɛχt,right:C,ielex:rightside:2,ielex
rightside,DUTCH,jœyst,right:L,ielex:rightside:2,ielex
rightside,DUTCH,ɛχt,right:Y,ielex:rightside:2,ielex
rightside,DUTCH,war,right:X,ielex:rightside:15,ielex
rightside,DUTCH,rɛχtmatəɣ,right:C,ielex:rightside:13,ielex
rightside,DUTCH,rɛχts,rightside:D,ielex:rightside:2,ielex
rightside,ELFDALIAN,rɛtː,right:C,ielex:rightside:2,ielex
rightside,ELFDALIAN,ýːœgɛr,rightside:M,ielex:rightside:3,ielex
rightside,ENGLISH,raɪt,right:C,ielex:rightside:19,ielex
rightside,ENGLISH,raɪt,rightside:D,ielex:rightside:2,ielex
