concept,doculect,counterpart,cogid,lpID
I,Miyako,ban,1,1
I,Tōkyō,watasi,2,2
I,Amami,waɴ,1,1
I,Kyōto,wate,2,1
I,Hachijō,ware,1,1
I,Shuri,waɴ,1,1
I,Kōchi,asi,2,2
I,Sado,ore,3,3
I,Oki,ora,3,3
I,Kagoshima,oiː,3,4
alive (live),Miyako,nːuʦɨduaɭ,454,6
alive (live),Tōkyō,ikiteru,455,5
alive (live),Amami,ʔikiʨuri,455,5
alive (live),Kyōto,ikiteru,455,5
alive (live),Hachijō,ikite,455,5
alive (live),Shuri,ʔiʨiʦoːɴ,455,5
alive (live),Kōchi,ikitʲuː,455,5
alive (live),Sado,ikitoru,455,5
alive (live),Oki,ekeʨoru,455,5
alive (live),Kagoshima,ikiːʨːo,455,5
all,Miyako,mːna,24,7
all,Tōkyō,miɴna,24,7
all,Amami,ʔaɴxaːri,26,8
all,Kyōto,miɴna,24,7
all,Hachijō,miɴna,24,7
all,Shuri,ɴna,24,7
all,Kōchi,miɴna,24,7
all,Sado,miɴna,24,7
all,Oki,ɴːna,24,7
all,Kagoshima,sukːai,25,9
arm,Miyako,udi,289,10
arm,Tōkyō,ude,289,10
arm,Amami,xeːnʲa,291,11
arm,Kyōto,teː,290,10
arm,Hachijō,ude,289,10
arm,Shuri,tiː,290,10
arm,Kōchi,ude,289,10
arm,Sado,ude,289,10
arm,Oki,ode,289,10
arm,Kagoshima,te,290,10
ash,Miyako,pazɨ,185,12
ash,Tōkyō,hai,185,12
ash,Amami,hwe,185,12
ash,Kyōto,hai,185,12
ash,Hachijō,hia,185,12
ash,Shuri,hweː,185,12
ash,Kōchi,hai,185,12
ash,Sado,hai,185,12
ash,Oki,ɸeː,185,12
ash,Kagoshima,hei,185,12
at,Miyako,n,312,14
at,Tōkyō,de,313,13
at,Amami,naɴθɨ,313,15
at,Kyōto,de,313,13
at,Hachijō,de,313,13
at,Shuri,uti,313,13
at,Kōchi,de,313,13
at,Sado,de,313,13
at,Oki,de,313,13
at,Kagoshima,de,313,13
back,Tōkyō,senaka,283,16
back,Amami,xusi,284,17
back,Kyōto,senaka,283,16
back,Hachijō,hedaka,282,16
back,Shuri,nagani,285,16
back,Kōchi,senaka,283,16
back,Sado,senaka,283,16
back,Oki,sena,283,16
back,Kagoshima,senaka,283,16
bad,Miyako,fusaritam,379,18
bad,Tōkyō,kusatːa,379,18
bad,Amami,kusareθa,379,18
bad,Kyōto,kusatːa,379,18
bad,Hachijō,kusarua,379,18
bad,Shuri,kuʦːoːru,379,18
bad,Kōchi,kusatːa,379,18
bad,Sado,kusatːa,379,18
bad,Oki,kusatːa,379,18
bad,Kagoshima,kesːareta,379,18
bark (of tree),Miyako,kaː,65,19
bark (of tree),Tōkyō,kawa,65,19
bark (of tree),Amami,xɨɴxo,66,20
bark (of tree),Kyōto,kawa,65,19
bark (of tree),Hachijō,kua,65,19
bark (of tree),Shuri,kaː,65,19
bark (of tree),Kōchi,kawa,65,19
bark (of tree),Sado,kawa,65,19
bark (of tree),Oki,kawa,65,19
bark (of tree),Kagoshima,kawa,65,19
belly,Miyako,bata,113,22
belly,Tōkyō,onaka,112,23
belly,Amami,waθa,113,22
belly,Kyōto,hara,111,21
belly,Hachijō,hara,111,21
belly,Shuri,wata,113,22
belly,Kōchi,hara,111,21
belly,Sado,hara,111,21
belly,Oki,ɸara,111,21
belly,Kagoshima,hara,111,21
big,Miyako,uku,38,24
big,Tōkyō,oːkiː,38,24
big,Amami,hwɨsːari,40,27
big,Kyōto,oːkiː,38,24
big,Hachijō,boːkʲa,37,24
big,Shuri,magisaɴ,41,26
big,Kōchi,hutoi,39,25
big,Sado,oːkiː,38,24
big,Oki,ɸuteː,39,25
big,Kagoshima,hute,39,25
bird,Miyako,tui,60,28
bird,Tōkyō,tori,60,28
bird,Amami,θuri,60,28
bird,Kyōto,tori,60,28
bird,Hachijō,torime,60,28
bird,Shuri,tui,60,28
bird,Kōchi,tori,60,28
bird,Sado,tori,60,28
bird,Oki,tori,60,28
bird,Kagoshima,toiː,60,28
bite,Miyako,fuː,127,31
bite,Tōkyō,kamiʦuku,128,29
bite,Amami,kuiʦɨkɨruri,126,29
bite,Kyōto,kamiʦuku,128,29
bite,Hachijō,kuiʦuku,126,29
bite,Shuri,kuːjuɴ,126,30
bite,Kōchi,kuituku,126,29
bite,Sado,kamiʦuku,128,29
bite,Oki,kamu,128,29
bite,Kagoshima,kaɴʦu,128,29
black,Miyako,fu,195,33
black,Tōkyō,kuroi,195,32
black,Amami,kurusari,195,32
black,Kyōto,kuroi,195,32
