concept,doculect,counterpart,cogid,lpID
I,SIAMESE,ku,1,1
I,ZHUANG_SOUTHERN,kau,2,1
I,ZHUANG_NORTHERN,kou,2,1
I,SAEK,ku,2,1
I,SUI,yu,2,3
I,MULAO,h3i,3,4
I,KAM_ZHANGLU,yau,2,7
I,MAONAN,"h""e",2,5
I,ONG_BE,hau,2,2
I,LAKKJA,ci,4,6
I,LI_TONGSHI,hou,2,2
I,LI_BAODING,hou,2,2
come,SIAMESE,ma,1,19
come,ZHUANG_SOUTHERN,ma,1,19
come,SAEK,ma,1,19
come,KAM_ZHANGLU,ma,1,19
come,ONG_BE,nia,1,20
water,SIAMESE,nam,1,171
water,ZHUANG_SOUTHERN,nam,1,171
water,ZHUANG_NORTHERN,xam,1,171
water,SAEK,nam,1,171
water,SUI,nam,1,171
water,MULAO,n3m,1,171
water,KAM_ZHANGLU,nam,1,171
water,MAONAN,nam,1,171
water,ONG_BE,nam,1,171
water,LAKKJA,num,1,171
water,LI_TONGSHI,nam,1,171
water,LI_BAODING,nom,1,171
mountain,SIAMESE,ph~u,1,84
mountain,ZHUANG_SOUTHERN,doN,3,82
mountain,SUI,nu,4,83
mountain,MULAO,px~a,5,86
mountain,KAM_ZHANGLU,t3n,6,82
mountain,MAONAN,koNpy~a,5,87
mountain,ONG_BE,tia,7,85
mountain,LAKKJA,ky~a,7,90
mountain,LI_TONGSHI,hw~ou,8,88
mountain,LI_BAODING,go,8,89
sun,SIAMESE,dEt,1,148
sun,ZHUANG_SOUTHERN,havan,1,146
sun,ZHUANG_NORTHERN,taNNon,1,147
sun,SAEK,ta53n,1,144
sun,SUI,nd~avan,1,144
sun,MULAO,th~3ufan,1,149
sun,KAM_ZHANGLU,taman,1,144
sun,MAONAN,lakvan,1,150
sun,ONG_BE,dav3n,1,144
sun,LAKKJA,tauwan,1,144
sun,LI_TONGSHI,ch~avan,1,145
sun,LI_BAODING,ch~ahw~an,1,145
star,SIAMESE,daw,1,133
star,ZHUANG_SOUTHERN,daudi,1,132
star,ZHUANG_NORTHERN,daudei,1,132
star,SAEK,traw,1,133
star,SUI,z3t,2,135
star,MULAO,lakhm3t,2,137
star,KAM_ZHANGLU,s3t,2,135
star,MAONAN,z3t,2,138
star,ONG_BE,tiN,1,136
star,LAKKJA,taublet,1,139
star,LI_TONGSHI,rau,1,134
star,LI_BAODING,rau,1,134
one,SIAMESE,nuN,1,107
one,ZHUANG_SOUTHERN,n3N,1,107
one,ZHUANG_NORTHERN,deu,2,108
one,SUI,to,4,109
one,MULAO,hnau,3,110
one,KAM_ZHANGLU,lau,3,114
one,MAONAN,dEu,4,111
one,LAKKJA,in,6,107
one,LI_TONGSHI,37,5,112
one,LI_BAODING,ch~e3,7,113
two,SUI,xa,1,166
two,MULAO,xa,1,168
two,KAM_ZHANGLU,ya,1,170
two,MAONAN,ya,1,169
two,ONG_BE,von,2,167
two,LAKKJA,hou,3,165
two,LI_TONGSHI,Lau,3,164
two,LI_BAODING,Lau,3,164
stone,SIAMESE,hin,1,140
stone,ZHUANG_SOUTHERN,hin,1,140
stone,ZHUANG_NORTHERN,xin,1,140
stone,SAEK,ril,1,142
stone,SUI,tin,1,140
stone,MULAO,tui,2,141
stone,KAM_ZHANGLU,tin,1,140
stone,MAONAN,tui,2,141
stone,ONG_BE,din,1,140
stone,LAKKJA,faN,3,143
stone,LI_TONGSHI,ch~in,1,140
stone,LI_BAODING,ch~in,1,140
skin,SIAMESE,naN,1,129
skin,ZHUANG_SOUTHERN,naN,1,129
skin,ZHUANG_NORTHERN,naN,1,129
skin,SAEK,th~rap,2,130
skin,MULAO,Nx~a,3,131
skin,ONG_BE,naN,1,129
skin,LI_TONGSHI,noN,1,129
skin,LI_BAODING,noN,1,129
fire,SIAMESE,fay,1,43
fire,ZHUANG_SOUTHERN,fai,1,44
fire,ZHUANG_NORTHERN,fei,1,43
fire,SAEK,vi,1,45
fire,SUI,vi,1,43
fire,MULAO,fi,1,43
fire,KAM_ZHANGLU,pui,1,43
fire,MAONAN,vi,1,43
fire,ONG_BE,v3i,1,43
fire,LAKKJA,ph~la,1,46
fire,LI_TONGSHI,fei,1,43
fire,LI_BAODING,fei,1,43
fish,SIAMESE,pla,1,47
fish,ZHUANG_SOUTHERN,py~a,1,47
fish,ZHUANG_NORTHERN,py~a,1,47
fish,SAEK,pla,1,47
fish,SUI,mom,2,49
fish,MULAO,m3m,2,49
fish,ONG_BE,ba,1,47
fish,LAKKJA,mot,1,50
fish,LI_TONGSHI,La,1,48
fish,LI_BAODING,La,1,48
dog,SIAMESE,ma,1,24
dog,ZHUANG_SOUTHERN,ma,1,24
dog,ZHUANG_NORTHERN,ma,1,24
dog,SAEK,ma,1,24
dog,SUI,hma,1,26
dog,MULAO,hNwa,1,25
dog,KAM_ZHANGLU,Nw~a,1,25
dog,MAONAN,ma,1,24
dog,ONG_BE,ma,1,24
dog,LAKKJA,khw$o*,1,27
dog,LI_TONGSHI,pa,1,24
dog,LI_BAODING,pa,1,24
louse,SIAMESE,haw,1,77
louse,ZHUANG_SOUTHERN,hau,1,77
louse,ZHUANG_NORTHERN,xau,1,77
louse,SAEK,raw,1,81
louse,SUI,tu,1,77
louse,MULAO,khx$o,1,80
louse,KAM_ZHANGLU,tau,1,77
louse,MAONAN,tu,1,77
louse,ONG_BE,don,2,77
louse,LAKKJA,Nw~an,2,79
louse,LI_TONGSHI,fou,1,78
louse,LI_BAODING,fou,1,78
tree,SIAMESE,ton,1,160
tree,ZHUANG_SOUTHERN,mai,1,159
tree,ZHUANG_NORTHERN,fai,1,162
tree,SAEK,may,1,159
tree,SUI,mai,1,159
tree,MULAO,mai,1,159
tree,KAM_ZHANGLU,m3i,1,159
tree,MAONAN,mai,1,159
tree,ONG_BE,dun,2,160
tree,LAKKJA,cei,3,163
tree,LI_TONGSHI,ch~ai,3,161
tree,LI_BAODING,ch~ai,3,161
leaf,SIAMESE,bay,1,74
leaf,ZHUANG_SOUTHERN,ba3,1,74
leaf,ZHUANG_NORTHERN,ba3,1,74
leaf,SAEK,b3,1,74
leaf,SUI,va,2,74
leaf,MULAO,fa,2,74
leaf,KAM_ZHANGLU,pa,2,74
leaf,MAONAN,va,2,74
leaf,ONG_BE,bo,1,74
leaf,LAKKJA,wa,1,74
leaf,LI_TONGSHI,be3,1,75
leaf,LI_BAODING,be3,1,75
night,SIAMESE,kh~am,1,95
night,ZHUANG_SOUTHERN,ky~aNk3n,1,96
night,ZHUANG_NORTHERN,ky~aNh3n,1,96
night,SAEK,g3n,1,95
night,SUI,san,1,95
night,MULAO,th~3umu,2,98
night,KAM_ZHANGLU,antan,1,102
night,MAONAN,5am,3,99
night,ONG_BE,kx~3n,1,101
night,LAKKJA,bonblau,5,100
night,LI_TONGSHI,paich~op,6,97
night,LI_BAODING,paich~op,6,97
blood,SIAMESE,luat,1,8
blood,ZHUANG_SOUTHERN,l3t,1,8
blood,ZHUANG_NORTHERN,l3t,1,8
blood,SAEK,luat,1,8
blood,SUI,phy$at,1,9
blood,MULAO,phx$at,1,9
blood,KAM_ZHANGLU,ph~at,1,9
blood,MAONAN,phy$at,1,9
blood,ONG_BE,ba7,1,10
blood,LAKKJA,liet,1,8
blood,LI_TONGSHI,Lat,1,8
blood,LI_BAODING,Laty~,1,8
full,SIAMESE,tem,1,52
full,ZHUANG_SOUTHERN,tim,1,52
full,ZHUANG_NORTHERN,xim,1,52
full,SUI,tik,2,51
full,MULAO,pik,2,51
full,KAM_ZHANGLU,tik,2,51
full,MAONAN,tik,2,51
full,ONG_BE,dik,2,51
full,LAKKJA,mot,3,53
full,LI_TONGSHI,th~ia7,2,51
full,LI_BAODING,th~ik,2,51
new,ONG_BE,nau,1,94
new,LI_TONGSHI,no,1,94
we,SIAMESE,raw,1,175
we,ZHUANG_SOUTHERN,huNlau,1,176
we,ZHUANG_NORTHERN,tou,2,172
we,SAEK,tu,2,172
we,SUI,nd~iu,1,172
we,MULAO,niu,1,172
we,KAM_ZHANGLU,tiu,1,172
we,MAONAN,nd~e,1,172
we,ONG_BE,hau lo,3,174
we,LAKKJA,ta,2,172
we,LI_TONGSHI,fau,4,173
we,LI_BAODING,fa,4,173
horn,SIAMESE,kh~aw,1,62
horn,ZHUANG_NORTHERN,kau,1,62
horn,SAEK,gaw,1,62
horn,SUI,pau,1,63
horn,MULAO,ku,1,62
horn,KAM_ZHANGLU,pau,1,63
horn,MAONAN,5au,1,65
horn,ONG_BE,vau,1,63
horn,LAKKJA,kou,1,64
horn,LI_TONGSHI,hau,1,62
horn,LI_BAODING,hau,1,62
name,SUI,dan,1,91
name,MULAO,xan,1,91
name,KAM_ZHANGLU,kw~an,1,91
name,MAONAN,dan,1,91
name,ONG_BE,noi,2,93
name,LAKKJA,yan,1,91
name,LI_TONGSHI,ph~eN,3,92
name,LI_BAODING,ph~eN,3,92
ear,SIAMESE,hu,1,34
ear,ZHUANG_SOUTHERN,pihu,1,36
ear,ZHUANG_NORTHERN,x3,1,34
ear,SAEK,gy~a,1,35
ear,SUI,qh~a,2,34
ear,MULAO,khx$a,2,34
ear,KAM_ZHANGLU,kh~a,2,34
ear,MAONAN,kh~a,2,34
ear,ONG_BE,sa,2,34
ear,LAKKJA,kanya,2,37
eye,SIAMESE,ta,1,38
eye,ZHUANG_SOUTHERN,makha,1,39
eye,ZHUANG_NORTHERN,ta,1,38
eye,SAEK,pra,1,40
eye,SUI,nd~a,1,38
eye,MULAO,hla,1,41
eye,KAM_ZHANGLU,ta,1,38
eye,MAONAN,nd~a,1,38
eye,ONG_BE,da,1,38
eye,LAKKJA,pui,1,42
eye,LI_TONGSHI,ch~uch~a,1,38
eye,LI_BAODING,ch~a,1,38
nose,ZHUANG_SOUTHERN,makdaN,1,105
nose,ZHUANG_NORTHERN,daN,1,103
nose,SAEK,daN,1,103
nose,SUI,naN,1,103
nose,MULAO,k3naN,1,103
nose,KAM_ZHANGLU,naN,1,103
nose,MAONAN,naN,1,103
nose,ONG_BE,loN,1,106
nose,LAKKJA,naN,1,103
nose,LI_TONGSHI,kh~at,2,104
nose,LI_BAODING,kh~at,2,104
tooth,SIAMESE,fan,1,155
tooth,ZHUANG_SOUTHERN,kh~eu,2,156
tooth,ZHUANG_NORTHERN,fan,1,155
tooth,SUI,vy~an,1,155
tooth,MULAO,fan,1,155
tooth,KAM_ZHANGLU,py~an,1,155
tooth,MAONAN,hiu,2,158
tooth,ONG_BE,wan,3,157
tooth,LAKKJA,wan,1,155
tooth,LI_TONGSHI,fan,1,155
tooth,LI_BAODING,fan,1,155
tongue,SIAMESE,lin,1,151
tongue,ZHUANG_SOUTHERN,lin,1,151
tongue,ZHUANG_NORTHERN,lin,1,151
tongue,SAEK,lin,1,151
tongue,SUI,ma,2,152
tongue,MULAO,ma,2,152
tongue,KAM_ZHANGLU,ma,2,152
tongue,MAONAN,ma,2,152
tongue,ONG_BE,lim,1,154
tongue,LAKKJA,5w~a,2,153
