db,concept,doculect,counterpart,fullCC,inferredCC
kadai,tongue,KAM_ZHANGLU,ma,kadai:tongue:2,kadai:tongue:1
kadai,tongue,LAKKJA,5w~a,kadai:tongue:2,kadai:tongue:2
kadai,tongue,LI_BAODING,Lin,kadai:tongue:1,kadai:tongue:3
kadai,tongue,LI_TONGSHI,Lin,kadai:tongue:1,kadai:tongue:3
kadai,tongue,MAONAN,ma,kadai:tongue:2,kadai:tongue:1
kadai,tongue,MULAO,ma,kadai:tongue:2,kadai:tongue:1
kadai,tongue,ONG_BE,lim,kadai:tongue:1,kadai:tongue:3
kadai,tongue,SAEK,lin,kadai:tongue:1,kadai:tongue:3
kadai,tongue,SIAMESE,lin,kadai:tongue:1,kadai:tongue:3
kadai,tongue,SUI,ma,kadai:tongue:2,kadai:tongue:1
kadai,tongue,ZHUANG_NORTHERN,lin,kadai:tongue:1,kadai:tongue:3
kadai,tongue,ZHUANG_SOUTHERN,lin,kadai:tongue:1,kadai:tongue:3
kadai,I,KAM_ZHANGLU,yau,kadai:I:2,kadai:I:1
kadai,I,LAKKJA,ci,kadai:I:4,kadai:I:2
kadai,I,LI_BAODING,hou,kadai:I:2,kadai:I:1
kadai,I,LI_TONGSHI,hou,kadai:I:2,kadai:I:1
kadai,I,MAONAN,"h""e",kadai:I:2,kadai:I:1
kadai,I,MULAO,h3i,kadai:I:3,kadai:I:1
kadai,I,ONG_BE,hau,kadai:I:2,kadai:I:1
kadai,I,SAEK,ku,kadai:I:2,kadai:I:1
kadai,I,SIAMESE,ku,kadai:I:1,kadai:I:1
kadai,I,SUI,yu,kadai:I:2,kadai:I:1
kadai,I,ZHUANG_NORTHERN,kou,kadai:I:2,kadai:I:1
kadai,I,ZHUANG_SOUTHERN,kau,kadai:I:2,kadai:I:1
kadai,we,KAM_ZHANGLU,tiu,kadai:we:1,kadai:we:1
kadai,we,LAKKJA,ta,kadai:we:2,kadai:we:1
kadai,we,LI_BAODING,fa,kadai:we:4,kadai:we:2
kadai,we,LI_TONGSHI,fau,kadai:we:4,kadai:we:2
kadai,we,MAONAN,nd~e,kadai:we:1,kadai:we:3
kadai,we,MULAO,niu,kadai:we:1,kadai:we:3
kadai,we,ONG_BE,hau lo,kadai:we:3,kadai:we:2
kadai,we,SAEK,tu,kadai:we:2,kadai:we:1
kadai,we,SIAMESE,raw,kadai:we:1,kadai:we:4
kadai,we,SUI,nd~iu,kadai:we:1,kadai:we:3
kadai,we,ZHUANG_NORTHERN,tou,kadai:we:2,kadai:we:1
kadai,we,ZHUANG_SOUTHERN,huNlau,kadai:we:1,kadai:we:2
kadai,you,LAKKJA,ma,kadai:you:3,kadai:you:1
kadai,you,LI_BAODING,me3,kadai:you:3,kadai:you:1
kadai,you,LI_TONGSHI,me3,kadai:you:3,kadai:you:1
kadai,you,ONG_BE,m3,kadai:you:3,kadai:you:1
kadai,you,SAEK,m3N,kadai:you:3,kadai:you:1
kadai,you,SIAMESE,muN,kadai:you:1,kadai:you:1
kadai,you,ZHUANG_NORTHERN,m3N,kadai:you:3,kadai:you:1
kadai,you,ZHUANG_SOUTHERN,ma3,kadai:you:3,kadai:you:1
kadai,nose,KAM_ZHANGLU,naN,kadai:nose:1,kadai:nose:1
kadai,nose,LAKKJA,naN,kadai:nose:1,kadai:nose:1
kadai,nose,LI_BAODING,kh~at,kadai:nose:2,kadai:nose:2
kadai,nose,LI_TONGSHI,kh~at,kadai:nose:2,kadai:nose:2
kadai,nose,MAONAN,naN,kadai:nose:1,kadai:nose:1
kadai,nose,MULAO,k3naN,kadai:nose:1,kadai:nose:1
kadai,nose,ONG_BE,loN,kadai:nose:1,kadai:nose:1
kadai,nose,SAEK,daN,kadai:nose:1,kadai:nose:1
kadai,nose,SUI,naN,kadai:nose:1,kadai:nose:1
kadai,nose,ZHUANG_NORTHERN,daN,kadai:nose:1,kadai:nose:1
