concept,doculect,counterpart,cogid,lpID
I,TRING,Ne,1,1
I,WAU,Ne,1,1
I,KAMASAU,Ne,1,1
I,YIBAB,Ne,1,1
I,WANDOMI,Ne,1,1
I,KENYARI,Nebi,1,1
I,SAMAP,Na,1,1
come,TRING,mandi,1,8
come,WAU,mandi,1,8
come,KAMASAU,mandi,1,8
come,YIBAB,mandi,1,8
come,WANDOMI,mandi,1,8
come,KENYARI,mandi,1,8
come,PARUWA,mandi,1,8
come,SAMAP,maN,1,8
water,TRING,wiye,1,65
water,WAU,wiye,1,65
water,KAMASAU,wiye,1,65
water,YIBAB,wiye,1,65
water,WANDOMI,wiye,1,65
water,KENYARI,wiye,1,65
water,PARUWA,wiye,1,65
water,SAMAP,wiye,1,65
mountain,TRING,rand,1,33
mountain,WAU,rand,1,33
mountain,KAMASAU,rand,1,33
mountain,YIBAB,rand,1,33
mountain,WANDOMI,randig,1,33
mountain,KENYARI,randi,1,33
mountain,SAMAP,paNg,2,34
sun,TRING,Ni5,1,56
sun,WAU,Ni5,1,56
sun,KAMASAU,bogi,2,57
sun,YIBAB,Ni5,1,56
sun,WANDOMI,gi5,1,56
sun,KENYARI,Ni5,1,56
sun,PARUWA,Neni,1,58
sun,SAMAP,bwog,2,57
star,TRING,tomiNgi,1,51
star,WAU,tomiNgi,1,51
star,KAMASAU,domiNgi,1,51
star,YIBAB,tem,2,52
star,WANDOMI,tem,2,52
star,KENYARI,pomi7i,1,54
star,SAMAP,mutami,3,53
one,TRING,iri,1,43
one,WAU,iri,1,43
one,KAMASAU,iri,1,43
one,YIBAB,iri,1,43
one,WANDOMI,iri,1,43
one,KENYARI,iri,1,43
one,PARUWA,ri,1,45
one,SAMAP,ki,2,44
two,TRING,teri,1,63
two,WAU,teri,1,63
two,KAMASAU,teri,1,63
two,YIBAB,teri,1,63
two,WANDOMI,teri,1,63
two,KENYARI,mereyi,2,64
two,SAMAP,merere,2,64
stone,TRING,wet,1,55
stone,WAU,wet,1,55
stone,KAMASAU,wet,1,55
stone,YIBAB,wet,1,55
stone,WANDOMI,wet,1,55
stone,KENYARI,weh,1,55
stone,PARUWA,wa,1,55
skin,TRING,CoNgo,1,50
skin,WAU,CoNgo,1,50
skin,KAMASAU,CoNgo,1,50
skin,YIBAB,CaNgo,1,50
skin,KENYARI,CaNgwo,1,50
skin,PARUWA,Cangwo,1,50
skin,SAMAP,jogo,2,50
fire,TRING,wase,1,19
fire,WAU,wase,1,19
fire,KAMASAU,wase,1,19
fire,YIBAB,wate,1,19
fire,WANDOMI,wate,1,19
fire,KENYARI,waha,1,19
fire,PARUWA,waha,1,19
fire,SAMAP,wate,1,19
fish,TRING,umo,1,20
fish,WAU,7umo,1,20
fish,KAMASAU,umo,1,20
fish,YIBAB,7umo,1,20
fish,WANDOMI,umo,1,20
fish,KENYARI,7umo,1,20
fish,SAMAP,7uma,1,20
dog,TRING,5ombwi,1,11
dog,WAU,5ombwi,1,11
dog,KAMASAU,5ombwi,1,11
dog,YIBAB,7et,2,12
dog,WANDOMI,yet,2,13
dog,KENYARI,5ombwi,1,11
dog,PARUWA,5ombwi,1,11
dog,SAMAP,5amp,1,11
louse,TRING,3mbiski,1,30
louse,WAU,mbiski,1,30
louse,KAMASAU,mbiski,1,30
louse,YIBAB,mbit,1,30
louse,WANDOMI,mbit,1,30
louse,KENYARI,pinji,2,31
louse,PARUWA,pinji,2,32
louse,SAMAP,mbite,1,30
tree,TRING,5umo,1,62
tree,WAU,5umo,1,62
tree,KAMASAU,5umo,1,62
