db,concept,doculect,counterpart,fullCC,inferredCC
kamasau,tongue,KAMASAU,minju,kamasau:tongue:1,kamasau:tongue:1
kamasau,tongue,KENYARI,Nari,kamasau:tongue:2,kamasau:tongue:2
kamasau,tongue,PARUWA,Nari,kamasau:tongue:2,kamasau:tongue:2
kamasau,tongue,SAMAP,minju,kamasau:tongue:1,kamasau:tongue:1
kamasau,tongue,TRING,minju,kamasau:tongue:1,kamasau:tongue:1
kamasau,tongue,WANDOMI,minju,kamasau:tongue:1,kamasau:tongue:1
kamasau,tongue,WAU,minju,kamasau:tongue:1,kamasau:tongue:1
kamasau,tongue,YIBAB,minju,kamasau:tongue:1,kamasau:tongue:1
kamasau,I,KAMASAU,Ne,kamasau:I:1,kamasau:I:1
kamasau,I,KENYARI,Nebi,kamasau:I:1,kamasau:I:1
kamasau,I,SAMAP,Na,kamasau:I:1,kamasau:I:1
kamasau,I,TRING,Ne,kamasau:I:1,kamasau:I:1
kamasau,I,WANDOMI,Ne,kamasau:I:1,kamasau:I:1
kamasau,I,WAU,Ne,kamasau:I:1,kamasau:I:1
kamasau,I,YIBAB,Ne,kamasau:I:1,kamasau:I:1
kamasau,we,KAMASAU,begi,kamasau:we:1,kamasau:we:1
kamasau,we,KENYARI,bewi,kamasau:we:1,kamasau:we:1
kamasau,we,SAMAP,NanuNgu,kamasau:we:2,kamasau:we:2
kamasau,we,TRING,begi,kamasau:we:1,kamasau:we:1
kamasau,we,WANDOMI,Nebegi,kamasau:we:1,kamasau:we:1
kamasau,we,WAU,begi,kamasau:we:1,kamasau:we:1
kamasau,we,YIBAB,Nebewu,kamasau:we:1,kamasau:we:1
kamasau,you,KAMASAU,nu,kamasau:you:1,kamasau:you:1
kamasau,you,KENYARI,nu,kamasau:you:1,kamasau:you:1
kamasau,you,SAMAP,ninde,kamasau:you:2,kamasau:you:2
kamasau,you,TRING,nu,kamasau:you:1,kamasau:you:1
kamasau,you,WANDOMI,nu,kamasau:you:1,kamasau:you:1
kamasau,you,WAU,nu,kamasau:you:1,kamasau:you:1
kamasau,you,YIBAB,nu,kamasau:you:1,kamasau:you:1
kamasau,nose,KAMASAU,k3me,kamasau:nose:1,kamasau:nose:1
kamasau,nose,KENYARI,k3me,kamasau:nose:1,kamasau:nose:1
kamasau,nose,PARUWA,k3mo,kamasau:nose:1,kamasau:nose:1
kamasau,nose,SAMAP,k3me,kamasau:nose:1,kamasau:nose:1
kamasau,nose,TRING,k3me,kamasau:nose:1,kamasau:nose:1
kamasau,nose,WANDOMI,k3me,kamasau:nose:1,kamasau:nose:1
kamasau,nose,WAU,k3me,kamasau:nose:1,kamasau:nose:1
kamasau,nose,YIBAB,k3me,kamasau:nose:1,kamasau:nose:1
kamasau,new,KAMASAU,7urupwi,kamasau:new:1,kamasau:new:1
kamasau,new,KENYARI,uruhwi,kamasau:new:1,kamasau:new:1
kamasau,new,SAMAP,nji7i5e,kamasau:new:3,kamasau:new:3
kamasau,new,TRING,urupwi,kamasau:new:1,kamasau:new:1
kamasau,new,WANDOMI,tineye,kamasau:new:2,kamasau:new:2
kamasau,new,WAU,7urupwi,kamasau:new:1,kamasau:new:1
kamasau,new,YIBAB,tiNeye,kamasau:new:2,kamasau:new:2
kamasau,night,KAMASAU,bur,kamasau:night:1,kamasau:night:1
kamasau,night,KENYARI,wuNgi,kamasau:night:2,kamasau:night:1
kamasau,night,SAMAP,wuNga,kamasau:night:2,kamasau:night:1
kamasau,night,TRING,bur,kamasau:night:1,kamasau:night:1
kamasau,night,WANDOMI,bur,kamasau:night:1,kamasau:night:1
kamasau,night,WAU,bur,kamasau:night:1,kamasau:night:1
kamasau,night,YIBAB,bur,kamasau:night:1,kamasau:night:1
kamasau,ear,KAMASAU,aNge,kamasau:ear:1,kamasau:ear:1
kamasau,ear,KENYARI,aNge,kamasau:ear:1,kamasau:ear:1
kamasau,ear,PARUWA,aNgo,kamasau:ear:1,kamasau:ear:1
kamasau,ear,SAMAP,ma7aNk,kamasau:ear:1,kamasau:ear:1
kamasau,ear,TRING,aNge,kamasau:ear:1,kamasau:ear:1
kamasau,ear,WANDOMI,maNge,kamasau:ear:1,kamasau:ear:1
kamasau,ear,WAU,aNga,kamasau:ear:1,kamasau:ear:1
kamasau,ear,YIBAB,maNge,kamasau:ear:1,kamasau:ear:1
kamasau,eye,KAMASAU,rar,kamasau:eye:1,kamasau:eye:1
kamasau,eye,KENYARI,ra7,kamasau:eye:1,kamasau:eye:1
kamasau,eye,PARUWA,ra7,kamasau:eye:1,kamasau:eye:1
kamasau,eye,SAMAP,rar,kamasau:eye:1,kamasau:eye:1
kamasau,eye,TRING,rar,kamasau:eye:1,kamasau:eye:1
kamasau,eye,WANDOMI,rar,kamasau:eye:1,kamasau:eye:1
kamasau,eye,WAU,rar,kamasau:eye:1,kamasau:eye:1
kamasau,eye,YIBAB,rar,kamasau:eye:1,kamasau:eye:1
kamasau,hand,KAMASAU,suram,kamasau:hand:1,kamasau:hand:1
kamasau,hand,KENYARI,huram,kamasau:hand:1,kamasau:hand:1
kamasau,hand,PARUWA,hiNap3,kamasau:hand:3,kamasau:hand:3
kamasau,hand,SAMAP,turambi,kamasau:hand:1,kamasau:hand:1
kamasau,hand,TRING,suram,kamasau:hand:1,kamasau:hand:1
kamasau,hand,WANDOMI,turam,kamasau:hand:1,kamasau:hand:1
kamasau,hand,WAU,timi,kamasau:hand:2,kamasau:hand:2
kamasau,hand,YIBAB,turam,kamasau:hand:1,kamasau:hand:1
kamasau,sun,KAMASAU,bogi,kamasau:sun:2,kamasau:sun:2
kamasau,sun,KENYARI,Ni5,kamasau:sun:1,kamasau:sun:1
kamasau,sun,PARUWA,Neni,kamasau:sun:1,kamasau:sun:1
kamasau,sun,SAMAP,bwog,kamasau:sun:2,kamasau:sun:2
kamasau,sun,TRING,Ni5,kamasau:sun:1,kamasau:sun:1
kamasau,sun,WANDOMI,gi5,kamasau:sun:1,kamasau:sun:1
kamasau,sun,WAU,Ni5,kamasau:sun:1,kamasau:sun:1
kamasau,sun,YIBAB,Ni5,kamasau:sun:1,kamasau:sun:1
kamasau,tooth,KAMASAU,sawo,kamasau:tooth:1,kamasau:tooth:1
kamasau,tooth,KENYARI,hawo,kamasau:tooth:1,kamasau:tooth:1
kamasau,tooth,PARUWA,hawo,kamasau:tooth:1,kamasau:tooth:1
kamasau,tooth,SAMAP,tawo,kamasau:tooth:1,kamasau:tooth:1
kamasau,tooth,TRING,sawo,kamasau:tooth:1,kamasau:tooth:1
kamasau,tooth,WANDOMI,tawo,kamasau:tooth:1,kamasau:tooth:1
kamasau,tooth,WAU,sawo,kamasau:tooth:1,kamasau:tooth:1
kamasau,tooth,YIBAB,tawo,kamasau:tooth:1,kamasau:tooth:1
kamasau,louse,KAMASAU,mbiski,kamasau:louse:1,kamasau:louse:1
kamasau,louse,KENYARI,pinji,kamasau:louse:2,kamasau:louse:2
kamasau,louse,PARUWA,pinji,kamasau:louse:2,kamasau:louse:2
kamasau,louse,SAMAP,mbite,kamasau:louse:1,kamasau:louse:1
kamasau,louse,TRING,3mbiski,kamasau:louse:1,kamasau:louse:1
kamasau,louse,WANDOMI,mbit,kamasau:louse:1,kamasau:louse:1
kamasau,louse,WAU,mbiski,kamasau:louse:1,kamasau:louse:1
kamasau,louse,YIBAB,mbit,kamasau:louse:1,kamasau:louse:1
kamasau,bone,KAMASAU,Nape,kamasau:bone:1,kamasau:bone:1
kamasau,bone,KENYARI,Nape,kamasau:bone:1,kamasau:bone:1
kamasau,bone,PARUWA,Nape,kamasau:bone:1,kamasau:bone:1
kamasau,bone,TRING,Nape,kamasau:bone:1,kamasau:bone:1
kamasau,bone,WANDOMI,diage,kamasau:bone:2,kamasau:bone:2
kamasau,bone,WAU,Nape,kamasau:bone:1,kamasau:bone:1
kamasau,bone,YIBAB,Nape,kamasau:bone:1,kamasau:bone:1
kamasau,drink,KAMASAU,ne,kamasau:drink:1,kamasau:drink:1
kamasau,drink,KENYARI,ne,kamasau:drink:1,kamasau:drink:1
kamasau,drink,SAMAP,da,kamasau:drink:1,kamasau:drink:1
