concept,doculect,counterpart,cogid,lpID
I,BURMESE,kyw$antau,1,2
I,ZAIWA,No,2,1
I,AKHA,Na,2,1
I,BIYUE,Na,2,1
I,MPI,No,2,1
I,BISU,ga,2,3
I,JINO,No,2,1
I,LAHU,Na,2,1
I,XIDE,Na,2,1
I,DAFANG,No,2,1
I,NANJIANG,No,2,1
I,LISU,Nua,2,1
I,NUSU,Na,2,1
I,ACHANG,No,2,1
I,NAXI,N3,2,1
come,BURMESE,la,1,21
come,ZAIWA,le,1,21
come,AKHA,la7,1,21
come,BIYUE,la,1,21
come,MPI,lo,1,21
come,BISU,la,1,21
come,JINO,lo,1,21
come,LAHU,la,1,21
come,XIDE,la,1,21
come,DAFANG,lo,1,21
come,NANJIANG,la,1,21
come,LISU,la,1,21
come,NUSU,la,1,21
come,ACHANG,Z3,2,21
come,NAXI,l3,2,21
water,BURMESE,riy,1,195
water,ZAIWA,iCh~o,1,189
water,AKHA,ity~u,1,188
water,BIYUE,vch~v7,1,196
water,MPI,ch~o7,3,189
water,BISU,laN,4,197
water,JINO,e Ch~o,1,198
water,LAHU,ika7,1,190
water,XIDE,y3,1,191
water,DAFANG,yi,1,194
water,NANJIANG,x3,1,192
water,LISU,ejE,1,193
water,NUSU,rigra,1,190
water,ACHANG,ti,4,188
water,NAXI,dy~i,1,188
mountain,BURMESE,tauN,1,92
mountain,ZAIWA,pum,2,89
mountain,AKHA,gody~o,3,88
mountain,BIYUE,yumo,4,93
mountain,MPI,opy~o,2,89
mountain,BISU,tasE,5,94
mountain,JINO,x3 th~a,5,91
mountain,LAHU,qh~o,3,88
mountain,XIDE,bo,2,89
mountain,DAFANG,b3,2,89
mountain,NANJIANG,kh~uj3,3,88
mountain,LISU,ko,3,88
mountain,NUSU,5ua,7,90
mountain,ACHANG,pum,2,89
mountain,NAXI,ko,3,88
sun,BURMESE,niy,1,165
sun,ZAIWA,pui,2,164
sun,AKHA,naNma,1,163
sun,BIYUE,5imo,1,163
sun,MPI,5iwo,1,167
sun,BISU,muNhn3N,1,170
sun,JINO,53 o,1,169
sun,LAHU,mini,1,163
sun,XIDE,hobu,3,164
sun,DAFANG,ndy$y,1,165
sun,NANJIANG,amux3,4,166
sun,LISU,m3mi,1,168
sun,NUSU,5ia,1,163
sun,ACHANG,nimo,1,163
sun,NAXI,5ime,1,163
star,BURMESE,kray,1,150
star,ZAIWA,ky~i,1,150
star,AKHA,agy~,1,151
star,BIYUE,mici,1,150
star,MPI,piki,1,150
star,BISU,3k3,1,150
star,JINO,pu ki,1,153
star,LAHU,m37k3,1,150
star,XIDE,mc3,1,150
star,DAFANG,camo,1,152
star,NANJIANG,ce,1,150
star,LISU,komaze,1,154
star,NUSU,krelo,1,155
star,ACHANG,kh~Ze,1,150
star,NAXI,k3,1,150
one,BURMESE,taT,1,121
one,ZAIWA,Za,1,121
one,AKHA,tith~i,1,121
one,BIYUE,th~3,1,121
one,MPI,th~37,3,121
one,BISU,t3,1,121
one,JINO,th~i,1,121
one,LAHU,te,1,121
one,XIDE,ch~3,1,121
one,DAFANG,th~a,1,121
one,NANJIANG,Ch~3,1,121
one,LISU,th~i,1,121
one,NUSU,th~i,1,121
one,ACHANG,ta,1,121
one,NAXI,d3,1,121
