concept,doculect,counterpart,cogid,lpID
I,HUASTEC,in,1,1
I,TOJOLABAL,ken,6,1
I,CHUJ,in,1,1
I,JACALTEC,haninan,1,2
I,QANJOBAL_SANTA_EULALIA,ayinti,2,3
I,ACATECO_SAN_MIGUEL_ACATAN,hain,1,1
I,IXIL_CHAJUL,in,1,1
I,AGUACATEC,in,1,1
I,TECO_TECTITAN,a7in,3,1
I,MAM_NORTHERN,ayine,2,1
I,SIPAKAPENSE,in,1,1
I,SACAPULTECO_SACAPULAS_CENTRO,ra7in,3,1
I,CENTRAL_QUICHE,in,1,1
I,SOUTHERN_CAKCHIQUEL_SAN_ANDRES_ITZAPA,yin,2,1
I,TZUTUJIL_SAN_JUAN_LA_LAGUNA,inin,1,1
I,POQOMCHI_WESTERN,hin,4,1
I,POCOMAM_EASTERN,hin,4,1
I,USPANTEKO,in,1,1
I,EASTERN_KEKCHI_CAHABON,ha7in,3,1
I,TZELTAL_BACHAJON,ho7on,5,2
I,CHOL_TUMBALA,ho5on,5,2
I,CHORTI,en,1,1
I,ITZAJ,ten,1,1
I,MOPAN,innen,1,4
I,MAYA_YUCATAN,en,1,1
you,HUASTEC,it,1,846
you,TOJOLABAL,wen,3,851
you,CHUJ,aC,1,846
you,JACALTEC,haC,1,846
you,QANJOBAL_SANTA_EULALIA,aCti,1,847
you,ACATECO_SAN_MIGUEL_ACATAN,haCti7,1,847
you,IXIL_CHAJUL,ah,4,849
you,AGUACATEC,aS,5,846
you,TECO_TECTITAN,a7iC,6,846
you,MAM_NORTHERN,aya,7,850
you,SIPAKAPENSE,at,1,846
you,SACAPULTECO_SACAPULAS_CENTRO,ra7at,2,846
you,CENTRAL_QUICHE,at,1,846
you,SOUTHERN_CAKCHIQUEL_SAN_ANDRES_ITZAPA,rat,2,846
you,TZUTUJIL_SAN_JUAN_LA_LAGUNA,atet,1,846
you,POQOMCHI_WESTERN,hat,1,846
you,POCOMAM_EASTERN,hat,1,846
you,USPANTEKO,at,1,846
you,EASTERN_KEKCHI_CAHABON,ha7at,1,846
you,ZINACANTAN_TZOTZIL,vot,1,846
you,TZELTAL_BACHAJON,ha7at,1,846
you,CHOL_TUMBALA,hatet,1,852
you,CHONTAL_TABASCO,ane,8,848
you,CHORTI,et,9,846
you,ITZAJ,teC,10,846
you,MOPAN,inCeC,11,846
