db,concept,doculect,counterpart,fullCC,inferredCC
mayan,good,ACATECO_SAN_MIGUEL_ACATAN,"waT""",mayan:good:1,mayan:good:1
mayan,good,AGUACATEC,balax e7,mayan:good:9,mayan:good:2
mayan,good,CENTRAL_QUICHE,uc,mayan:good:3,mayan:good:3
mayan,good,CHICOMUCELTEC,tahelatnik,mayan:good:7,mayan:good:4
mayan,good,CHOL_TUMBALA,uc,mayan:good:3,mayan:good:3
mayan,good,CHONTAL_TABASCO,uc,mayan:good:3,mayan:good:3
mayan,good,CHORTI,imbucop,mayan:good:13,mayan:good:5
mayan,good,CHUJ,"waC""",mayan:good:1,mayan:good:1
mayan,good,EASTERN_KEKCHI_CAHABON,us,mayan:good:3,mayan:good:3
mayan,good,HUASTEC,alwa7,mayan:good:6,mayan:good:2
mayan,good,ITZAJ,ki,mayan:good:4,mayan:good:6
mayan,good,IXIL_CHAJUL,"b""an",mayan:good:2,mayan:good:2
mayan,good,JACALTEC,"k""ul",mayan:good:8,mayan:good:7
mayan,good,LACANDON,Coy,mayan:good:14,mayan:good:8
mayan,good,MAM_NORTHERN,ban ke,mayan:good:2,mayan:good:2
mayan,good,MAYA_YUCATAN,uc,mayan:good:3,mayan:good:3
mayan,good,MOPAN,ki7,mayan:good:4,mayan:good:6
mayan,good,POCOMAM_EASTERN,no waxal,mayan:good:11,mayan:good:9
mayan,good,POQOMCHI_WESTERN,"atob""",mayan:good:10,mayan:good:10
mayan,good,QANJOBAL_SANTA_EULALIA,"waT""",mayan:good:1,mayan:good:1
mayan,good,SACAPULTECO_SACAPULAS_CENTRO,oc,mayan:good:3,mayan:good:3
mayan,good,SIPAKAPENSE,uc,mayan:good:3,mayan:good:3
mayan,good,SOUTHERN_CAKCHIQUEL_SAN_ANDRES_ITZAPA,uc,mayan:good:3,mayan:good:3
mayan,good,TECO_TECTITAN,"b""an",mayan:good:2,mayan:good:2
mayan,good,TOJOLABAL,lek,mayan:good:5,mayan:good:11
mayan,good,TZELTAL_BACHAJON,lek,mayan:good:5,mayan:good:11
mayan,good,TZUTUJIL_SAN_JUAN_LA_LAGUNA,uc,mayan:good:3,mayan:good:3
mayan,good,USPANTEKO,ci,mayan:good:12,mayan:good:12
