concept,doculect,counterpart,cogid,lpID
I,HMU,vi,1,4
I,XIANGXI_HMONG,we,1,2
I,HMONG_NJUA,ko,2,5
I,BUNU,Tun,3,6
I,SHE_CHINA,vaN,1,3
I,YAO,ye,4,1
come,HMU,lo,1,25
come,XIANGXI_HMONG,lo,1,23
come,HMONG_NJUA,lo,1,26
come,BUNU,lo,1,27
come,SHE_CHINA,n3,1,24
come,YAO,tai,2,22
water,HMONG_NJUA,tle,2,157
water,BUNU,an,1,155
water,SHE_CHINA,oN,1,155
water,YAO,wam,1,156
mountain,HMU,qapo,1,94
mountain,XIANGXI_HMONG,qozei,2,92
mountain,HMONG_NJUA,ton,3,95
mountain,BUNU,8au,4,96
mountain,SHE_CHINA,ky~e,5,93
mountain,YAO,tTim,6,91
sun,HMU,nh~E,1,138
sun,XIANGXI_HMONG,nh~e,1,138
sun,HMONG_NJUA,nh~o,1,138
sun,BUNU,minh~on,1,141
sun,SHE_CHINA,noko,1,140
sun,YAO,punh~oi,1,139
star,HMU,tEqE,1,129
star,XIANGXI_HMONG,teteqelh~a,1,127
star,HMONG_NJUA,hn~oqo,1,130
star,BUNU,takuna,1,131
star,SHE_CHINA,neitaN,1,128
star,YAO,Lei,2,126
stone,HMU,xi,1,135
stone,XIANGXI_HMONG,qoz3,1,133
stone,HMONG_NJUA,ze,1,136
stone,BUNU,faxe,1,137
stone,SHE_CHINA,Nako,1,134
stone,YAO,laipy~ei,2,132
skin,HMU,qatu,1,121
skin,XIANGXI_HMONG,qoTo,2,123
skin,HMONG_NJUA,teu,1,125
skin,BUNU,katlau,3,121
skin,SHE_CHINA,kh~3,3,124
skin,YAO,dop,4,122
fire,HMU,tu,1,49
fire,XIANGXI_HMONG,py~it3,1,50
fire,HMONG_NJUA,teu,1,53
fire,BUNU,katu,1,52
fire,SHE_CHINA,th~o,1,51
fire,YAO,tou,1,49
fish,HMU,zE,1,57
fish,XIANGXI_HMONG,tamz3,1,56
fish,HMONG_NJUA,nc~e,1,55
fish,BUNU,nc~e,1,55
fish,SHE_CHINA,py~a,1,54
fish,YAO,by~au,1,54
dog,HMU,lh~a,1,32
dog,XIANGXI_HMONG,taqw~3,1,30
dog,HMONG_NJUA,tle,1,28
dog,BUNU,tle,1,28
dog,SHE_CHINA,ky~a,1,31
dog,YAO,tTu,1,29
louse,HMU,kantE,1,90
louse,XIANGXI_HMONG,tate,1,89
louse,HMONG_NJUA,to,1,88
louse,BUNU,katuna,1,89
louse,SHE_CHINA,taN,1,88
louse,YAO,tam,1,88
tree,HMU,t3,1,154
tree,XIANGXI_HMONG,qont~u,1,153
tree,HMONG_NJUA,nt~on,1,152
tree,BUNU,nt~an,1,152
tree,SHE_CHINA,toN,1,151
tree,YAO,dy~aN,1,151
leaf,HMU,nu,1,78
leaf,XIANGXI_HMONG,n3,1,78
leaf,HMONG_NJUA,mpl$on,1,81
leaf,BUNU,nt~Lan,1,80
leaf,SHE_CHINA,pyoN,1,79
leaf,YAO,nom,1,78
night,HMU,Th~imh~am,1,106
night,XIANGXI_HMONG,tTh~mh~an,1,104
night,HMONG_NJUA,mh~au,1,107
night,BUNU,nt~onmun,1,108
night,SHE_CHINA,mokaNch~i,2,105
night,YAO,luNmw~ancan,1,103
blood,HMU,Th~n,1,10
blood,XIANGXI_HMONG,nt~ch~i,1,8
blood,HMONG_NJUA,nch$an,1,11
blood,BUNU,nch$3n,1,12
blood,SHE_CHINA,sy~i,1,9
blood,YAO,cy~am,1,7
full,HMU,pe,1,58
full,XIANGXI_HMONG,pe,1,58
full,HMONG_NJUA,po,1,58
full,BUNU,Ten,2,59
full,SHE_CHINA,paN,1,58
full,YAO,pw~aN,1,58
we,HMU,pi,1,158
we,XIANGXI_HMONG,p3,1,158
we,HMONG_NJUA,pe,1,158
we,BUNU,pe,1,158
we,SHE_CHINA,pa,1,158
we,YAO,yebw~o,2,159
horn,HMU,ki,1,69
horn,XIANGXI_HMONG,qoTe,1,71
horn,HMONG_NJUA,ko,1,69
horn,BUNU,Tun,1,69
horn,SHE_CHINA,kaN,1,69
horn,YAO,tT~oN,1,70
name,HMU,zanpi,1,100
name,XIANGXI_HMONG,mp~u,1,98
name,HMONG_NJUA,mp~e,1,101
name,BUNU,mp~e83,1,102
name,SHE_CHINA,mui,2,99
name,YAO,meNbw~o,1,97
ear,HMU,qazE,1,38
ear,XIANGXI_HMONG,tonmz3,1,40
ear,HMONG_NJUA,5tT$ou,1,42
ear,BUNU,kanc~ea,1,38
ear,SHE_CHINA,kakh~uN,2,41
ear,YAO,n3nom,1,39
eye,HMU,5h~umE,1,46
eye,XIANGXI_HMONG,l3qe,2,44
eye,HMONG_NJUA,mua,1,47
eye,BUNU,kh~i mon,1,48
eye,SHE_CHINA,kakh~o,3,45
eye,YAO,mw~ciN,1,43
nose,HMU,pozE,1,109
nose,XIANGXI_HMONG,pamzE,1,109
nose,HMONG_NJUA,nc~u,1,110
nose,BUNU,pinc~au,1,110
nose,SHE_CHINA,kh~uNpiu,1,112
nose,YAO,by~ut,1,111
tooth,HMU,mh~i,1,149
tooth,XIANGXI_HMONG,qoTE,2,147
tooth,BUNU,famh~in,1,150
tooth,SHE_CHINA,mun,1,148
tongue,HMU,qani,1,142
tongue,XIANGXI_HMONG,qomy~a,1,144
tongue,HMONG_NJUA,mp~lai,1,146
tongue,BUNU,kant~la,1,142
tongue,SHE_CHINA,pi,1,145
tongue,YAO,by~et,1,143
person,HMU,nE,1,113
person,XIANGXI_HMONG,ne,1,113
person,HMONG_NJUA,nen,1,113
person,BUNU,nu,1,113
person,SHE_CHINA,ne,1,113
person,YAO,my~en,1,114
knee,HMU,qh~anv3t3,1,75
knee,XIANGXI_HMONG,qh~utT~o,1,73
knee,HMONG_NJUA,qh~auco,1,76
