db,concept,doculect,counterpart,fullCC,inferredCC
miao_yao,tongue,BUNU,kant~la,miao_yao:tongue:1,miao_yao:tongue:6
miao_yao,tongue,HMONG_NJUA,mp~lai,miao_yao:tongue:1,miao_yao:tongue:5
miao_yao,tongue,HMU,qani,miao_yao:tongue:1,miao_yao:tongue:4
miao_yao,tongue,SHE_CHINA,pi,miao_yao:tongue:1,miao_yao:tongue:3
miao_yao,tongue,XIANGXI_HMONG,qomy~a,miao_yao:tongue:1,miao_yao:tongue:2
miao_yao,tongue,YAO,by~et,miao_yao:tongue:1,miao_yao:tongue:1
miao_yao,I,BUNU,Tun,miao_yao:I:3,miao_yao:I:3
miao_yao,I,HMONG_NJUA,ko,miao_yao:I:2,miao_yao:I:2
miao_yao,I,HMU,vi,miao_yao:I:1,miao_yao:I:1
miao_yao,I,SHE_CHINA,vaN,miao_yao:I:1,miao_yao:I:1
miao_yao,I,XIANGXI_HMONG,we,miao_yao:I:1,miao_yao:I:1
miao_yao,I,YAO,ye,miao_yao:I:4,miao_yao:I:1
miao_yao,we,BUNU,pe,miao_yao:we:1,miao_yao:we:1
miao_yao,we,HMONG_NJUA,pe,miao_yao:we:1,miao_yao:we:1
miao_yao,we,HMU,pi,miao_yao:we:1,miao_yao:we:1
miao_yao,we,SHE_CHINA,pa,miao_yao:we:1,miao_yao:we:1
miao_yao,we,XIANGXI_HMONG,p3,miao_yao:we:1,miao_yao:we:1
miao_yao,we,YAO,yebw~o,miao_yao:we:2,miao_yao:we:2
miao_yao,you,BUNU,kau,miao_yao:you:2,miao_yao:you:2
miao_yao,you,HMONG_NJUA,kau,miao_yao:you:2,miao_yao:you:2
miao_yao,you,HMU,mon,miao_yao:you:1,miao_yao:you:1
miao_yao,you,SHE_CHINA,muN,miao_yao:you:1,miao_yao:you:1
miao_yao,you,XIANGXI_HMONG,m3,miao_yao:you:1,miao_yao:you:1
miao_yao,you,YAO,mw~ei,miao_yao:you:1,miao_yao:you:3
miao_yao,nose,BUNU,pinc~au,miao_yao:nose:1,miao_yao:nose:2
miao_yao,nose,HMONG_NJUA,nc~u,miao_yao:nose:1,miao_yao:nose:2
miao_yao,nose,HMU,pozE,miao_yao:nose:1,miao_yao:nose:1
miao_yao,nose,SHE_CHINA,kh~uNpiu,miao_yao:nose:1,miao_yao:nose:4
miao_yao,nose,XIANGXI_HMONG,pamzE,miao_yao:nose:1,miao_yao:nose:1
miao_yao,nose,YAO,by~ut,miao_yao:nose:1,miao_yao:nose:3
miao_yao,liver,BUNU,nT~au,miao_yao:liver:3,miao_yao:liver:5
miao_yao,liver,HMONG_NJUA,sa,miao_yao:liver:2,miao_yao:liver:1
miao_yao,liver,HMU,fh~u zE Ton,miao_yao:liver:1,miao_yao:liver:4
miao_yao,liver,SHE_CHINA,hin,miao_yao:liver:2,miao_yao:liver:3
miao_yao,liver,XIANGXI_HMONG,sE,miao_yao:liver:2,miao_yao:liver:1
miao_yao,liver,YAO,Lan,miao_yao:liver:2,miao_yao:liver:2
miao_yao,night,BUNU,nt~onmun,miao_yao:night:1,miao_yao:night:4
miao_yao,night,HMONG_NJUA,mh~au,miao_yao:night:1,miao_yao:night:5
miao_yao,night,HMU,Th~imh~am,miao_yao:night:1,miao_yao:night:1
miao_yao,night,SHE_CHINA,mokaNch~i,miao_yao:night:2,miao_yao:night:3
miao_yao,night,XIANGXI_HMONG,tTh~mh~an,miao_yao:night:1,miao_yao:night:1
miao_yao,night,YAO,luNmw~ancan,miao_yao:night:1,miao_yao:night:2
miao_yao,ear,BUNU,kanc~ea,miao_yao:ear:1,miao_yao:ear:6
miao_yao,ear,HMONG_NJUA,5tT$ou,miao_yao:ear:1,miao_yao:ear:5
miao_yao,ear,HMU,qazE,miao_yao:ear:1,miao_yao:ear:4
miao_yao,ear,SHE_CHINA,kakh~uN,miao_yao:ear:2,miao_yao:ear:3
miao_yao,ear,XIANGXI_HMONG,tonmz3,miao_yao:ear:1,miao_yao:ear:2
miao_yao,ear,YAO,n3nom,miao_yao:ear:1,miao_yao:ear:1
miao_yao,eye,BUNU,kh~i mon,miao_yao:eye:1,miao_yao:eye:6
miao_yao,eye,HMONG_NJUA,mua,miao_yao:eye:1,miao_yao:eye:5
miao_yao,eye,HMU,5h~umE,miao_yao:eye:1,miao_yao:eye:4
miao_yao,eye,SHE_CHINA,kakh~o,miao_yao:eye:3,miao_yao:eye:3
miao_yao,eye,XIANGXI_HMONG,l3qe,miao_yao:eye:2,miao_yao:eye:2
miao_yao,eye,YAO,mw~ciN,miao_yao:eye:1,miao_yao:eye:1
miao_yao,hand,BUNU,tape,miao_yao:hand:1,miao_yao:hand:6
miao_yao,hand,HMONG_NJUA,te,miao_yao:hand:1,miao_yao:hand:5
miao_yao,hand,HMU,pi,miao_yao:hand:1,miao_yao:hand:4
miao_yao,hand,SHE_CHINA,khw$a,miao_yao:hand:1,miao_yao:hand:3
miao_yao,hand,XIANGXI_HMONG,qot3,miao_yao:hand:1,miao_yao:hand:2
miao_yao,hand,YAO,pw~o,miao_yao:hand:1,miao_yao:hand:1
miao_yao,sun,BUNU,minh~on,miao_yao:sun:1,miao_yao:sun:4
miao_yao,sun,HMONG_NJUA,nh~o,miao_yao:sun:1,miao_yao:sun:1
miao_yao,sun,HMU,nh~E,miao_yao:sun:1,miao_yao:sun:1
miao_yao,sun,SHE_CHINA,noko,miao_yao:sun:1,miao_yao:sun:3
miao_yao,sun,XIANGXI_HMONG,nh~e,miao_yao:sun:1,miao_yao:sun:1
miao_yao,sun,YAO,punh~oi,miao_yao:sun:1,miao_yao:sun:2
miao_yao,knee,BUNU,kuNaTo,miao_yao:knee:1,miao_yao:knee:5
miao_yao,knee,HMONG_NJUA,qh~auco,miao_yao:knee:1,miao_yao:knee:1
miao_yao,knee,HMU,qh~anv3t3,miao_yao:knee:1,miao_yao:knee:4
miao_yao,knee,SHE_CHINA,nakch~akkh~un,miao_yao:knee:1,miao_yao:knee:3
miao_yao,knee,XIANGXI_HMONG,qh~utT~o,miao_yao:knee:1,miao_yao:knee:1
miao_yao,knee,YAO,pw~oseidy~e,miao_yao:knee:2,miao_yao:knee:2
miao_yao,tooth,BUNU,famh~in,miao_yao:tooth:1,miao_yao:tooth:4
miao_yao,tooth,HMU,mh~i,miao_yao:tooth:1,miao_yao:tooth:3
miao_yao,tooth,SHE_CHINA,mun,miao_yao:tooth:1,miao_yao:tooth:2
miao_yao,tooth,XIANGXI_HMONG,qoTE,miao_yao:tooth:2,miao_yao:tooth:1
miao_yao,louse,BUNU,katuna,miao_yao:louse:1,miao_yao:louse:1
miao_yao,louse,HMONG_NJUA,to,miao_yao:louse:1,miao_yao:louse:1
miao_yao,louse,HMU,kantE,miao_yao:louse:1,miao_yao:louse:1
miao_yao,louse,SHE_CHINA,taN,miao_yao:louse:1,miao_yao:louse:1
miao_yao,louse,XIANGXI_HMONG,tate,miao_yao:louse:1,miao_yao:louse:1
miao_yao,louse,YAO,tam,miao_yao:louse:1,miao_yao:louse:1
miao_yao,horn,BUNU,Tun,miao_yao:horn:1,miao_yao:horn:2
miao_yao,horn,HMONG_NJUA,ko,miao_yao:horn:1,miao_yao:horn:1
miao_yao,horn,HMU,ki,miao_yao:horn:1,miao_yao:horn:1
miao_yao,horn,SHE_CHINA,kaN,miao_yao:horn:1,miao_yao:horn:1
miao_yao,horn,XIANGXI_HMONG,qoTe,miao_yao:horn:1,miao_yao:horn:1
miao_yao,horn,YAO,tT~oN,miao_yao:horn:1,miao_yao:horn:1
miao_yao,bone,BUNU,ka8ona,miao_yao:bone:1,miao_yao:bone:1
miao_yao,bone,HMONG_NJUA,ch~an,miao_yao:bone:1,miao_yao:bone:5
miao_yao,bone,HMU,sh~on,miao_yao:bone:1,miao_yao:bone:4
miao_yao,bone,SHE_CHINA,suNko,miao_yao:bone:1,miao_yao:bone:3
miao_yao,bone,XIANGXI_HMONG,qoson,miao_yao:bone:1,miao_yao:bone:1
miao_yao,bone,YAO,buN,miao_yao:bone:1,miao_yao:bone:2
miao_yao,drink,BUNU,h3u,miao_yao:drink:1,miao_yao:drink:1
miao_yao,drink,HMONG_NJUA,hou,miao_yao:drink:1,miao_yao:drink:1
miao_yao,drink,HMU,h3,miao_yao:drink:1,miao_yao:drink:1
miao_yao,drink,XIANGXI_HMONG,hu,miao_yao:drink:1,miao_yao:drink:1
miao_yao,drink,YAO,hop,miao_yao:drink:1,miao_yao:drink:1
miao_yao,breast,BUNU,kon,miao_yao:breast:3,miao_yao:breast:3
miao_yao,breast,HMONG_NJUA,kua,miao_yao:breast:3,miao_yao:breast:2
miao_yao,breast,XIANGXI_HMONG,ma,miao_yao:breast:2,miao_yao:breast:1
miao_yao,name,BUNU,mp~e83,miao_yao:name:1,miao_yao:name:2
miao_yao,name,HMONG_NJUA,mp~e,miao_yao:name:1,miao_yao:name:1
miao_yao,name,HMU,zanpi,miao_yao:name:1,miao_yao:name:4
miao_yao,name,SHE_CHINA,mui,miao_yao:name:2,miao_yao:name:1
miao_yao,name,XIANGXI_HMONG,mp~u,miao_yao:name:1,miao_yao:name:1
miao_yao,name,YAO,meNbw~o,miao_yao:name:1,miao_yao:name:3
miao_yao,hear,BUNU,T3n,miao_yao:hear:2,miao_yao:hear:1
miao_yao,hear,HMONG_NJUA,non,miao_yao:hear:3,miao_yao:hear:1
miao_yao,hear,HMU,nh~an,miao_yao:hear:1,miao_yao:hear:1
miao_yao,hear,SHE_CHINA,kuN,miao_yao:hear:4,miao_yao:hear:1
miao_yao,hear,XIANGXI_HMONG,ton,miao_yao:hear:2,miao_yao:hear:1
miao_yao,hear,YAO,mw~aN,miao_yao:hear:5,miao_yao:hear:1
miao_yao,see,BUNU,nk~on,miao_yao:see:3,miao_yao:see:1
miao_yao,see,HMONG_NJUA,ma,miao_yao:see:2,miao_yao:see:1
miao_yao,see,HMU,Th~i,miao_yao:see:1,miao_yao:see:3
miao_yao,see,SHE_CHINA,mo,miao_yao:see:2,miao_yao:see:1
miao_yao,see,XIANGXI_HMONG,tTinqh$e,miao_yao:see:1,miao_yao:see:2
miao_yao,see,YAO,maN,miao_yao:see:2,miao_yao:see:1
miao_yao,full,BUNU,Ten,miao_yao:full:2,miao_yao:full:2
miao_yao,full,HMONG_NJUA,po,miao_yao:full:1,miao_yao:full:1
miao_yao,full,HMU,pe,miao_yao:full:1,miao_yao:full:1
miao_yao,full,SHE_CHINA,paN,miao_yao:full:1,miao_yao:full:1
miao_yao,full,XIANGXI_HMONG,pe,miao_yao:full:1,miao_yao:full:1
miao_yao,full,YAO,pw~aN,miao_yao:full:1,miao_yao:full:1
miao_yao,star,BUNU,takuna,miao_yao:star:1,miao_yao:star:6
miao_yao,star,HMONG_NJUA,hn~oqo,miao_yao:star:1,miao_yao:star:5
miao_yao,star,HMU,tEqE,miao_yao:star:1,miao_yao:star:4
miao_yao,star,SHE_CHINA,neitaN,miao_yao:star:1,miao_yao:star:3
miao_yao,star,XIANGXI_HMONG,teteqelh~a,miao_yao:star:1,miao_yao:star:2
miao_yao,star,YAO,Lei,miao_yao:star:2,miao_yao:star:1
miao_yao,come,BUNU,lo,miao_yao:come:1,miao_yao:come:1
miao_yao,come,HMONG_NJUA,lo,miao_yao:come:1,miao_yao:come:1
miao_yao,come,HMU,lo,miao_yao:come:1,miao_yao:come:1
miao_yao,come,SHE_CHINA,n3,miao_yao:come:1,miao_yao:come:3
miao_yao,come,XIANGXI_HMONG,lo,miao_yao:come:1,miao_yao:come:1
miao_yao,come,YAO,tai,miao_yao:come:2,miao_yao:come:2
miao_yao,dog,BUNU,tle,miao_yao:dog:1,miao_yao:dog:1
miao_yao,dog,HMONG_NJUA,tle,miao_yao:dog:1,miao_yao:dog:1
miao_yao,dog,HMU,lh~a,miao_yao:dog:1,miao_yao:dog:5
miao_yao,dog,SHE_CHINA,ky~a,miao_yao:dog:1,miao_yao:dog:4
miao_yao,dog,XIANGXI_HMONG,taqw~3,miao_yao:dog:1,miao_yao:dog:3
miao_yao,dog,YAO,tTu,miao_yao:dog:1,miao_yao:dog:2
miao_yao,fire,BUNU,katu,miao_yao:fire:1,miao_yao:fire:1
miao_yao,fire,HMONG_NJUA,teu,miao_yao:fire:1,miao_yao:fire:1
miao_yao,fire,HMU,tu,miao_yao:fire:1,miao_yao:fire:1
miao_yao,fire,SHE_CHINA,th~o,miao_yao:fire:1,miao_yao:fire:1
miao_yao,fire,XIANGXI_HMONG,py~it3,miao_yao:fire:1,miao_yao:fire:2
miao_yao,fire,YAO,tou,miao_yao:fire:1,miao_yao:fire:1
miao_yao,fish,BUNU,nc~e,miao_yao:fish:1,miao_yao:fish:2
miao_yao,fish,HMONG_NJUA,nc~e,miao_yao:fish:1,miao_yao:fish:2
miao_yao,fish,HMU,zE,miao_yao:fish:1,miao_yao:fish:4
miao_yao,fish,SHE_CHINA,py~a,miao_yao:fish:1,miao_yao:fish:1
miao_yao,fish,XIANGXI_HMONG,tamz3,miao_yao:fish:1,miao_yao:fish:3
miao_yao,fish,YAO,by~au,miao_yao:fish:1,miao_yao:fish:1
miao_yao,leaf,BUNU,nt~Lan,miao_yao:leaf:1,miao_yao:leaf:3
miao_yao,leaf,HMONG_NJUA,mpl$on,miao_yao:leaf:1,miao_yao:leaf:2
miao_yao,leaf,HMU,nu,miao_yao:leaf:1,miao_yao:leaf:1
miao_yao,leaf,SHE_CHINA,pyoN,miao_yao:leaf:1,miao_yao:leaf:2
miao_yao,leaf,XIANGXI_HMONG,n3,miao_yao:leaf:1,miao_yao:leaf:1
miao_yao,leaf,YAO,nom,miao_yao:leaf:1,miao_yao:leaf:1
miao_yao,mountain,BUNU,8au,miao_yao:mountain:4,miao_yao:mountain:6
miao_yao,mountain,HMONG_NJUA,ton,miao_yao:mountain:3,miao_yao:mountain:5
miao_yao,mountain,HMU,qapo,miao_yao:mountain:1,miao_yao:mountain:4
