concept,doculect,counterpart,cogid,lpID
I,NORTH_HIGHLAND_MIXE,3c,1,1
I,SOUTH_HIGHLAND_MIXE,3c,1,1
I,LOWLAND_MIXE,3C,1,1
I,SAYULA_POPOLUCA,3c,1,1
I,OLUTA_POPOLUCA,3s,1,1
I,TEXISTEPEC_ZOQUE,3c37,1,1
I,SOTEAPAN_ZOQUE,3C,1,1
I,MARIA_CHIMALAPA,3cci7,1,1
I,MIGUEL_CHIMALAPA,d3S,2,1
I,CHIAPAS_ZOQUE,3h,1,1
thou,NORTH_HIGHLAND_MIXE,mic,1,327
thou,SOUTH_HIGHLAND_MIXE,mec,1,327
thou,LOWLAND_MIXE,miC,1,327
thou,SAYULA_POPOLUCA,mi,1,327
thou,OLUTA_POPOLUCA,mis,1,327
thou,TEXISTEPEC_ZOQUE,biC,1,327
thou,SOTEAPAN_ZOQUE,miC,1,327
thou,MARIA_CHIMALAPA,micci7,1,327
thou,MIGUEL_CHIMALAPA,miS,1,327
thou,CHIAPAS_ZOQUE,mih,1,327
we,NORTH_HIGHLAND_MIXE,3c,1,349
we,SOUTH_HIGHLAND_MIXE,3c,1,349
we,LOWLAND_MIXE,3C aht,1,351
we,SAYULA_POPOLUCA,3hcat,1,348
we,OLUTA_POPOLUCA,3catek,1,348
we,TEXISTEPEC_ZOQUE,3c ta7,1,353
we,MARIA_CHIMALAPA,newiny~nen,2,350
we,MIGUEL_CHIMALAPA,neywin,2,350
we,CHIAPAS_ZOQUE,t3h,3,352
this,NORTH_HIGHLAND_MIXE,y37e,1,320
this,SOUTH_HIGHLAND_MIXE,ya7at,1,324
this,LOWLAND_MIXE,hada7,2,322
this,SAYULA_POPOLUCA,ay3h,1,320
this,OLUTA_POPOLUCA,he7,3,326
this,TEXISTEPEC_ZOQUE,y373h37,1,323
this,SOTEAPAN_ZOQUE,he7ep3k,4,325
this,MARIA_CHIMALAPA,y37 p37,1,321
this,MIGUEL_CHIMALAPA,y37,1,320
this,CHIAPAS_ZOQUE,y37 w3,1,321
that,NORTH_HIGHLAND_MIXE,Si7,1,316
that,SOUTH_HIGHLAND_MIXE,hE7E,6,312
that,LOWLAND_MIXE,heh3mb3,2,318
that,SAYULA_POPOLUCA,yay3n,3,314
that,OLUTA_POPOLUCA,hamah,2,315
that,SOTEAPAN_ZOQUE,heam,2,313
that,MIGUEL_CHIMALAPA,gad3,5,317
that,CHIAPAS_ZOQUE,37,4,319
who,NORTH_HIGHLAND_MIXE,p3n,1,358
who,SOUTH_HIGHLAND_MIXE,p3n,1,358
who,LOWLAND_MIXE,p3n,1,358
who,SAYULA_POPOLUCA,p3n,1,358
who,OLUTA_POPOLUCA,p3n,1,358
who,SOTEAPAN_ZOQUE,iapa7ap,4,361
who,MARIA_CHIMALAPA,iw3,2,359
who,MIGUEL_CHIMALAPA,iw3,2,359
who,CHIAPAS_ZOQUE,i w3,2,360
