db,concept,doculect,counterpart,fullCC,inferredCC
mixe_zoque,good,CHIAPAS_ZOQUE,oye,mixe_zoque:good:1,mixe_zoque:good:1
mixe_zoque,good,LOWLAND_MIXE,oy,mixe_zoque:good:1,mixe_zoque:good:1
mixe_zoque,good,MIGUEL_CHIMALAPA,w3h3,mixe_zoque:good:2,mixe_zoque:good:2
mixe_zoque,good,NORTH_HIGHLAND_MIXE,oy,mixe_zoque:good:1,mixe_zoque:good:1
mixe_zoque,good,OLUTA_POPOLUCA,nioya,mixe_zoque:good:1,mixe_zoque:good:1
mixe_zoque,good,SAYULA_POPOLUCA,oy,mixe_zoque:good:1,mixe_zoque:good:1
mixe_zoque,good,SOTEAPAN_ZOQUE,w3,mixe_zoque:good:2,mixe_zoque:good:2
mixe_zoque,good,SOUTH_HIGHLAND_MIXE,ey,mixe_zoque:good:1,mixe_zoque:good:1
mixe_zoque,good,TEXISTEPEC_ZOQUE,w3,mixe_zoque:good:2,mixe_zoque:good:2
mixe_zoque,hair,CHIAPAS_ZOQUE,way,mixe_zoque:hair:1,mixe_zoque:hair:1
mixe_zoque,hair,LOWLAND_MIXE,way,mixe_zoque:hair:1,mixe_zoque:hair:1
mixe_zoque,hair,MARIA_CHIMALAPA,way,mixe_zoque:hair:1,mixe_zoque:hair:1
mixe_zoque,hair,MIGUEL_CHIMALAPA,way7,mixe_zoque:hair:1,mixe_zoque:hair:1
mixe_zoque,hair,NORTH_HIGHLAND_MIXE,vay,mixe_zoque:hair:1,mixe_zoque:hair:1
mixe_zoque,hair,SOTEAPAN_ZOQUE,way,mixe_zoque:hair:1,mixe_zoque:hair:1
mixe_zoque,hair,SOUTH_HIGHLAND_MIXE,way,mixe_zoque:hair:1,mixe_zoque:hair:1
mixe_zoque,hair,TEXISTEPEC_ZOQUE,way,mixe_zoque:hair:1,mixe_zoque:hair:1
mixe_zoque,many,CHIAPAS_ZOQUE,w3w3,mixe_zoque:many:3,mixe_zoque:many:1
mixe_zoque,many,LOWLAND_MIXE,may,mixe_zoque:many:1,mixe_zoque:many:2
mixe_zoque,many,MARIA_CHIMALAPA,s3h37,mixe_zoque:many:6,mixe_zoque:many:3
mixe_zoque,many,MIGUEL_CHIMALAPA,S3h37,mixe_zoque:many:6,mixe_zoque:many:3
mixe_zoque,many,NORTH_HIGHLAND_MIXE,may,mixe_zoque:many:1,mixe_zoque:many:2
mixe_zoque,many,OLUTA_POPOLUCA,pako,mixe_zoque:many:2,mixe_zoque:many:4
mixe_zoque,many,SAYULA_POPOLUCA,may,mixe_zoque:many:1,mixe_zoque:many:2
mixe_zoque,many,SOTEAPAN_ZOQUE,agi,mixe_zoque:many:5,mixe_zoque:many:5
mixe_zoque,many,SOUTH_HIGHLAND_MIXE,mEy,mixe_zoque:many:1,mixe_zoque:many:2
mixe_zoque,many,TEXISTEPEC_ZOQUE,daC ke,mixe_zoque:many:4,mixe_zoque:many:6
mixe_zoque,feather,CHIAPAS_ZOQUE,p3k,mixe_zoque:feather:1,mixe_zoque:feather:1
mixe_zoque,feather,LOWLAND_MIXE,ce5i7i b3k,mixe_zoque:feather:2,mixe_zoque:feather:2
mixe_zoque,feather,MARIA_CHIMALAPA,p3k,mixe_zoque:feather:1,mixe_zoque:feather:1
mixe_zoque,feather,MIGUEL_CHIMALAPA,p3k,mixe_zoque:feather:1,mixe_zoque:feather:1
mixe_zoque,feather,NORTH_HIGHLAND_MIXE,pak,mixe_zoque:feather:1,mixe_zoque:feather:1
