concept,doculect,counterpart,cogid,lpID
I,JEH,aut,1,6
I,BAHNAR,i5,2,1
I,CHRAU,a5,2,1
I,VIETNAMESE,toi,3,3
I,MON,ay,2,4
I,NYAKUR,e5,2,1
I,KHMER,kh~3nom,4,5
I,SEMAI,E5,2,1
I,WA,37,1,2
I,KSINMUL,a5,2,1
I,MUNDARI,ain,2,1
you,JEH,mi,1,740
you,CHRAU,mai,1,740
you,VIETNAMESE,may,1,740
you,RUC,mi,1,740
you,MON,beh,3,741
you,NYAKUR,ph~eh,3,741
you,KHMER,EN,4,743
you,KUI_THAILAND,muaN,1,740
you,SEMAI,hE7,2,741
you,WA,mai7,1,740
you,DEANG,moi,1,740
you,KHMU,me,1,740
you,KSINMUL,mih,1,740
you,KHASI,me,1,740
you,MUNDARI,am,1,742
we,JEH,yuan,1,694
we,BAHNAR,5on,1,695
we,CHRAU,von,10,686
we,VIETNAMESE,ta,2,688
we,RUC,Cupa,3,690
we,MON,puiy,4,686
we,NYAKUR,pEy,4,686
we,KHMER,ya3N,5,693
we,KUI_THAILAND,mh~ai,6,692
we,SEMAI,Zi7,7,689
we,WA,yi7,7,687
we,DEANG,y3i,7,687
we,KSINMUL,zi,7,688
we,MUNDARI,ale,9,691
this,JEH,mou,1,637
this,BAHNAR,nou,1,635
this,RUC,ni,3,635
this,MON,na7,4,636
this,NYAKUR,o7,5,636
this,KHMER,n3h,3,636
this,SEMAI,adEh,3,639
this,WA,in,7,638
this,KHMU,k3 ki,8,641
this,KHASI,ne,3,635
this,MUNDARI,ni i7,3,640
that,BAHNAR,ni,1,625
that,RUC,he,3,628
that,MON,te7,4,624
that,NYAKUR,te7,4,624
that,KHMER,noh,5,625
that,KUI_THAILAND,k3i,2,630
that,SEMAI,aZeh,6,627
that,WA,an,7,626
that,DEANG,d3,8,634
that,KHMU,k3 ni,1,632
that,KSINMUL,p37ow,7,631
that,KHASI,ba,9,633
that,MUNDARI,han i7,10,629
who,JEH,bau,1,716
who,BAHNAR,bu,1,716
who,RUC,ay,2,717
who,NYAKUR,35ah,3,715
who,KHMER,kh~3nao,4,721
who,KUI_THAILAND,naw,4,719
who,SEMAI,bo7,1,714
who,WA,mo7,6,714
who,DEANG,se,7,720
who,KHMU,m3,6,714
who,KSINMUL,noh,3,715
who,MUNDARI,okoy,8,718
what,JEH,5ai,1,697
what,BAHNAR,ki3,2,705
what,CHRAU,paC n7hy~a,3,704
what,VIETNAMESE,kai gi,2,699
what,RUC,Cam3,4,700
what,MON,nu,5,697
what,NYAKUR,mo7,4,696
what,KHMER,evi,6,702
