db,concept,doculect,counterpart,fullCC,inferredCC
mon_khmer,good,BAHNAR,liEm,mon_khmer:good:1,mon_khmer:good:1
mon_khmer,good,CHRAU,yah,mon_khmer:good:2,mon_khmer:good:3
mon_khmer,good,DEANG,mh~3m,mon_khmer:good:9,mon_khmer:good:5
mon_khmer,good,JEH,liam,mon_khmer:good:1,mon_khmer:good:1
mon_khmer,good,KHASI,babha,mon_khmer:good:12,mon_khmer:good:6
mon_khmer,good,KHMER,l37o,mon_khmer:good:6,mon_khmer:good:1
mon_khmer,good,KHMU,l3,mon_khmer:good:10,mon_khmer:good:1
mon_khmer,good,KSINMUL,tuh,mon_khmer:good:11,mon_khmer:good:2
mon_khmer,good,MON,kh~uih,mon_khmer:good:4,mon_khmer:good:2
mon_khmer,good,MUNDARI,bugi,mon_khmer:good:13,mon_khmer:good:4
mon_khmer,good,NYAKUR,hnap,mon_khmer:good:5,mon_khmer:good:7
mon_khmer,good,RUC,yah,mon_khmer:good:14,mon_khmer:good:3
mon_khmer,good,SEMAI,bor,mon_khmer:good:7,mon_khmer:good:4
mon_khmer,good,VIETNAMESE,tot,mon_khmer:good:3,mon_khmer:good:2
mon_khmer,good,WA,mh~3m,mon_khmer:good:8,mon_khmer:good:5
mon_khmer,hair,BAHNAR,sok,mon_khmer:hair:1,mon_khmer:hair:1
mon_khmer,hair,CHRAU,so7,mon_khmer:hair:1,mon_khmer:hair:1
mon_khmer,hair,DEANG,hu7,mon_khmer:hair:1,mon_khmer:hair:1
mon_khmer,hair,JEH,suk,mon_khmer:hair:1,mon_khmer:hair:1
mon_khmer,hair,KHASI,sh~niuh,mon_khmer:hair:1,mon_khmer:hair:1
mon_khmer,hair,KHMER,sok,mon_khmer:hair:1,mon_khmer:hair:1
mon_khmer,hair,KHMU,kl3,mon_khmer:hair:2,mon_khmer:hair:3
mon_khmer,hair,KSINMUL,sok,mon_khmer:hair:1,mon_khmer:hair:1
mon_khmer,hair,KUI_THAILAND,so7,mon_khmer:hair:1,mon_khmer:hair:1
mon_khmer,hair,MON,sok,mon_khmer:hair:1,mon_khmer:hair:1
mon_khmer,hair,MUNDARI,up,mon_khmer:hair:3,mon_khmer:hair:2
mon_khmer,hair,NYAKUR,Ch~ok,mon_khmer:hair:1,mon_khmer:hair:1
mon_khmer,hair,RUC,usuk,mon_khmer:hair:1,mon_khmer:hair:1
mon_khmer,hair,SEMAI,sok,mon_khmer:hair:1,mon_khmer:hair:1
mon_khmer,hair,VIETNAMESE,tok,mon_khmer:hair:1,mon_khmer:hair:1
mon_khmer,hair,WA,hauk,mon_khmer:hair:1,mon_khmer:hair:1
mon_khmer,many,BAHNAR,th~3r,mon_khmer:many:2,mon_khmer:many:11
mon_khmer,many,CHRAU,go7,mon_khmer:many:3,mon_khmer:many:7
mon_khmer,many,DEANG,mh~blam,mon_khmer:many:1,mon_khmer:many:6
mon_khmer,many,JEH,k3dram,mon_khmer:many:1,mon_khmer:many:10
mon_khmer,many,KHASI,bun,mon_khmer:many:11,mon_khmer:many:1
mon_khmer,many,KHMER,Cr~a3n,mon_khmer:many:6,mon_khmer:many:5
mon_khmer,many,KHMU,k3,mon_khmer:many:10,mon_khmer:many:9
mon_khmer,many,KSINMUL,gay,mon_khmer:many:10,mon_khmer:many:4
mon_khmer,many,KUI_THAILAND,dal,mon_khmer:many:7,mon_khmer:many:8
mon_khmer,many,MON,gluiN,mon_khmer:many:5,mon_khmer:many:3
mon_khmer,many,NYAKUR,kh~l3N,mon_khmer:many:5,mon_khmer:many:3
mon_khmer,many,RUC,5iw,mon_khmer:many:4,mon_khmer:many:2
mon_khmer,many,SEMAI,Z7~oy,mon_khmer:many:8,mon_khmer:many:4
mon_khmer,many,VIETNAMESE,5ieu,mon_khmer:many:4,mon_khmer:many:2
mon_khmer,many,WA,hun,mon_khmer:many:9,mon_khmer:many:1
mon_khmer,feather,BAHNAR,sok,mon_khmer:feather:1,mon_khmer:feather:1
mon_khmer,feather,CHRAU,sino7 sum,mon_khmer:feather:1,mon_khmer:feather:10
mon_khmer,feather,JEH,suk,mon_khmer:feather:1,mon_khmer:feather:1
mon_khmer,feather,KHASI,sner,mon_khmer:feather:6,mon_khmer:feather:9
mon_khmer,feather,KHMER,slap,mon_khmer:feather:3,mon_khmer:feather:8
mon_khmer,feather,KHMU,kh~ul,mon_khmer:feather:5,mon_khmer:feather:7
mon_khmer,feather,KSINMUL,sok,mon_khmer:feather:1,mon_khmer:feather:1
mon_khmer,feather,KUI_THAILAND,so7,mon_khmer:feather:1,mon_khmer:feather:1
mon_khmer,feather,MON,s3neN,mon_khmer:feather:7,mon_khmer:feather:6
mon_khmer,feather,MUNDARI,il,mon_khmer:feather:5,mon_khmer:feather:5
mon_khmer,feather,NYAKUR,Ch~okCh~ok,mon_khmer:feather:1,mon_khmer:feather:4
mon_khmer,feather,RUC,usuk,mon_khmer:feather:1,mon_khmer:feather:1
mon_khmer,feather,SEMAI,sntol,mon_khmer:feather:4,mon_khmer:feather:3
mon_khmer,feather,VIETNAMESE,loN tim,mon_khmer:feather:2,mon_khmer:feather:2
mon_khmer,big,BAHNAR,tih,mon_khmer:big:1,mon_khmer:big:2
mon_khmer,big,CHRAU,ma7,mon_khmer:big:2,mon_khmer:big:1
mon_khmer,big,DEANG,daN,mon_khmer:big:13,mon_khmer:big:3
mon_khmer,big,JEH,tih,mon_khmer:big:1,mon_khmer:big:2
mon_khmer,big,KHASI,kh~raw,mon_khmer:big:10,mon_khmer:big:4
mon_khmer,big,KHMER,dh~om,mon_khmer:big:6,mon_khmer:big:3
mon_khmer,big,KHMU,nam,mon_khmer:big:9,mon_khmer:big:1
mon_khmer,big,KSINMUL,do,mon_khmer:big:5,mon_khmer:big:3
mon_khmer,big,KUI_THAILAND,ph~3t,mon_khmer:big:7,mon_khmer:big:5
mon_khmer,big,MON,Znok,mon_khmer:big:12,mon_khmer:big:6
mon_khmer,big,MUNDARI,maraN,mon_khmer:big:11,mon_khmer:big:1
mon_khmer,big,NYAKUR,3tol,mon_khmer:big:5,mon_khmer:big:7
mon_khmer,big,RUC,m3am,mon_khmer:big:4,mon_khmer:big:1
mon_khmer,big,SEMAI,nt~oy,mon_khmer:big:5,mon_khmer:big:8
mon_khmer,big,VIETNAMESE,lon,mon_khmer:big:3,mon_khmer:big:9
mon_khmer,big,WA,tiN,mon_khmer:big:8,mon_khmer:big:2
mon_khmer,long,BAHNAR,keZuN,mon_khmer:long:2,mon_khmer:long:1
mon_khmer,long,CHRAU,joN,mon_khmer:long:2,mon_khmer:long:1
mon_khmer,long,DEANG,doN,mon_khmer:long:2,mon_khmer:long:1
mon_khmer,long,JEH,proih,mon_khmer:long:1,mon_khmer:long:4
mon_khmer,long,KHASI,ZeroN,mon_khmer:long:2,mon_khmer:long:1
mon_khmer,long,KHMER,vEN,mon_khmer:long:4,mon_khmer:long:2
mon_khmer,long,KHMU,waN,mon_khmer:long:5,mon_khmer:long:2
mon_khmer,long,KSINMUL,3loN,mon_khmer:long:2,mon_khmer:long:1
mon_khmer,long,KUI_THAILAND,nth$r3N,mon_khmer:long:2,mon_khmer:long:3
mon_khmer,long,MON,ZliN,mon_khmer:long:2,mon_khmer:long:1
mon_khmer,long,MUNDARI,ZiliN,mon_khmer:long:2,mon_khmer:long:1
mon_khmer,long,NYAKUR,kh~li5,mon_khmer:long:2,mon_khmer:long:1
mon_khmer,long,RUC,yal,mon_khmer:long:3,mon_khmer:long:1
mon_khmer,long,SEMAI,Cr3kN,mon_khmer:long:2,mon_khmer:long:3
mon_khmer,long,VIETNAMESE,Zai,mon_khmer:long:3,mon_khmer:long:1
mon_khmer,long,WA,laN,mon_khmer:long:2,mon_khmer:long:1
mon_khmer,bark,BAHNAR,hmok,mon_khmer:bark:2,mon_khmer:bark:1
mon_khmer,bark,CHRAU,mo7,mon_khmer:bark:2,mon_khmer:bark:1
mon_khmer,bark,DEANG,go7,mon_khmer:bark:10,mon_khmer:bark:2
mon_khmer,bark,JEH,k3duh,mon_khmer:bark:1,mon_khmer:bark:3
mon_khmer,bark,KHASI,snep,mon_khmer:bark:8,mon_khmer:bark:4
mon_khmer,bark,KHMER,s3mbak,mon_khmer:bark:2,mon_khmer:bark:1
mon_khmer,bark,KHMU,h3mpok,mon_khmer:bark:2,mon_khmer:bark:1
mon_khmer,bark,KSINMUL,b3N,mon_khmer:bark:7,mon_khmer:bark:5
mon_khmer,bark,KUI_THAILAND,mph~ua7,mon_khmer:bark:2,mon_khmer:bark:6
mon_khmer,bark,MON,sakow,mon_khmer:bark:4,mon_khmer:bark:7
mon_khmer,bark,MUNDARI,harta,mon_khmer:bark:9,mon_khmer:bark:8
mon_khmer,bark,NYAKUR,Nku3r,mon_khmer:bark:4,mon_khmer:bark:9
mon_khmer,bark,RUC,k3duh,mon_khmer:bark:1,mon_khmer:bark:3
mon_khmer,bark,SEMAI,Ckop,mon_khmer:bark:5,mon_khmer:bark:10
mon_khmer,bark,VIETNAMESE,vo kay,mon_khmer:bark:3,mon_khmer:bark:11
mon_khmer,bark,WA,hlo7,mon_khmer:bark:6,mon_khmer:bark:2
mon_khmer,tongue,BAHNAR,r3piet,mon_khmer:tongue:1,mon_khmer:tongue:2
mon_khmer,tongue,CHRAU,lapiet,mon_khmer:tongue:1,mon_khmer:tongue:2
mon_khmer,tongue,DEANG,kta7,mon_khmer:tongue:3,mon_khmer:tongue:1
mon_khmer,tongue,JEH,r3piat,mon_khmer:tongue:1,mon_khmer:tongue:2
mon_khmer,tongue,KHASI,th~illied,mon_khmer:tongue:2,mon_khmer:tongue:6
mon_khmer,tongue,KHMER,3ntak,mon_khmer:tongue:3,mon_khmer:tongue:1
mon_khmer,tongue,KHMU,h3ntak,mon_khmer:tongue:3,mon_khmer:tongue:1
mon_khmer,tongue,KSINMUL,h3ltak,mon_khmer:tongue:3,mon_khmer:tongue:1
mon_khmer,tongue,KUI_THAILAND,nta7,mon_khmer:tongue:3,mon_khmer:tongue:1
mon_khmer,tongue,MON,katak,mon_khmer:tongue:3,mon_khmer:tongue:1
mon_khmer,tongue,MUNDARI,le7,mon_khmer:tongue:4,mon_khmer:tongue:5
mon_khmer,tongue,NYAKUR,ntak,mon_khmer:tongue:3,mon_khmer:tongue:1
mon_khmer,tongue,RUC,l3arh~,mon_khmer:tongue:2,mon_khmer:tongue:4
mon_khmer,tongue,SEMAI,lntak,mon_khmer:tongue:3,mon_khmer:tongue:1
mon_khmer,tongue,VIETNAMESE,luoi,mon_khmer:tongue:2,mon_khmer:tongue:3
mon_khmer,tongue,WA,dak,mon_khmer:tongue:3,mon_khmer:tongue:1
mon_khmer,I,BAHNAR,i5,mon_khmer:I:2,mon_khmer:I:1
mon_khmer,I,CHRAU,a5,mon_khmer:I:2,mon_khmer:I:1
mon_khmer,I,JEH,aut,mon_khmer:I:1,mon_khmer:I:5
mon_khmer,I,KHMER,kh~3nom,mon_khmer:I:4,mon_khmer:I:4
mon_khmer,I,KSINMUL,a5,mon_khmer:I:2,mon_khmer:I:1
mon_khmer,I,MON,ay,mon_khmer:I:2,mon_khmer:I:1
mon_khmer,I,MUNDARI,ain,mon_khmer:I:2,mon_khmer:I:1
mon_khmer,I,NYAKUR,e5,mon_khmer:I:2,mon_khmer:I:1
mon_khmer,I,SEMAI,E5,mon_khmer:I:2,mon_khmer:I:1
mon_khmer,I,VIETNAMESE,toi,mon_khmer:I:3,mon_khmer:I:3
mon_khmer,I,WA,37,mon_khmer:I:1,mon_khmer:I:2
mon_khmer,we,BAHNAR,5on,mon_khmer:we:1,mon_khmer:we:4
mon_khmer,we,CHRAU,von,mon_khmer:we:10,mon_khmer:we:4
mon_khmer,we,DEANG,y3i,mon_khmer:we:7,mon_khmer:we:1
mon_khmer,we,JEH,yuan,mon_khmer:we:1,mon_khmer:we:2
mon_khmer,we,KHMER,ya3N,mon_khmer:we:5,mon_khmer:we:2
mon_khmer,we,KSINMUL,zi,mon_khmer:we:7,mon_khmer:we:1
mon_khmer,we,KUI_THAILAND,mh~ai,mon_khmer:we:6,mon_khmer:we:5
mon_khmer,we,MON,puiy,mon_khmer:we:4,mon_khmer:we:3
mon_khmer,we,MUNDARI,ale,mon_khmer:we:9,mon_khmer:we:6
mon_khmer,we,NYAKUR,pEy,mon_khmer:we:4,mon_khmer:we:3
mon_khmer,we,RUC,Cupa,mon_khmer:we:3,mon_khmer:we:7
mon_khmer,we,SEMAI,Zi7,mon_khmer:we:7,mon_khmer:we:1
mon_khmer,we,VIETNAMESE,ta,mon_khmer:we:2,mon_khmer:we:8
mon_khmer,we,WA,yi7,mon_khmer:we:7,mon_khmer:we:1
mon_khmer,you,CHRAU,mai,mon_khmer:you:1,mon_khmer:you:1
mon_khmer,you,DEANG,moi,mon_khmer:you:1,mon_khmer:you:1
mon_khmer,you,JEH,mi,mon_khmer:you:1,mon_khmer:you:1
mon_khmer,you,KHASI,me,mon_khmer:you:1,mon_khmer:you:1
mon_khmer,you,KHMER,EN,mon_khmer:you:4,mon_khmer:you:1
mon_khmer,you,KHMU,me,mon_khmer:you:1,mon_khmer:you:1
mon_khmer,you,KSINMUL,mih,mon_khmer:you:1,mon_khmer:you:1
mon_khmer,you,KUI_THAILAND,muaN,mon_khmer:you:1,mon_khmer:you:1
mon_khmer,you,MON,beh,mon_khmer:you:3,mon_khmer:you:2
mon_khmer,you,MUNDARI,am,mon_khmer:you:1,mon_khmer:you:1
mon_khmer,you,NYAKUR,ph~eh,mon_khmer:you:3,mon_khmer:you:2
mon_khmer,you,RUC,mi,mon_khmer:you:1,mon_khmer:you:1
mon_khmer,you,SEMAI,hE7,mon_khmer:you:2,mon_khmer:you:2
mon_khmer,you,VIETNAMESE,may,mon_khmer:you:1,mon_khmer:you:1
mon_khmer,you,WA,mai7,mon_khmer:you:1,mon_khmer:you:1
mon_khmer,this,BAHNAR,nou,mon_khmer:this:1,mon_khmer:this:1
mon_khmer,this,JEH,mou,mon_khmer:this:1,mon_khmer:this:1
mon_khmer,this,KHASI,ne,mon_khmer:this:3,mon_khmer:this:1
mon_khmer,this,KHMER,n3h,mon_khmer:this:3,mon_khmer:this:1
mon_khmer,this,KHMU,k3 ki,mon_khmer:this:8,mon_khmer:this:2
mon_khmer,this,MON,na7,mon_khmer:this:4,mon_khmer:this:1
mon_khmer,this,MUNDARI,ni i7,mon_khmer:this:3,mon_khmer:this:1
mon_khmer,this,NYAKUR,o7,mon_khmer:this:5,mon_khmer:this:1
mon_khmer,this,RUC,ni,mon_khmer:this:3,mon_khmer:this:1
mon_khmer,this,SEMAI,adEh,mon_khmer:this:3,mon_khmer:this:3
mon_khmer,this,WA,in,mon_khmer:this:7,mon_khmer:this:1
mon_khmer,tail,BAHNAR,kieN,mon_khmer:tail:1,mon_khmer:tail:2
mon_khmer,tail,CHRAU,tieN,mon_khmer:tail:1,mon_khmer:tail:2
mon_khmer,tail,DEANG,sta,mon_khmer:tail:3,mon_khmer:tail:1
mon_khmer,tail,JEH,teN,mon_khmer:tail:1,mon_khmer:tail:2
mon_khmer,tail,KHASI,tidoN,mon_khmer:tail:1,mon_khmer:tail:2
mon_khmer,tail,KHMER,k3nd~uy,mon_khmer:tail:2,mon_khmer:tail:7
mon_khmer,tail,KHMU,h3nta,mon_khmer:tail:3,mon_khmer:tail:1
mon_khmer,tail,KSINMUL,h3lta,mon_khmer:tail:3,mon_khmer:tail:1
mon_khmer,tail,KUI_THAILAND,sal,mon_khmer:tail:4,mon_khmer:tail:3
mon_khmer,tail,MON,bata,mon_khmer:tail:3,mon_khmer:tail:1
mon_khmer,tail,MUNDARI,Cadlom,mon_khmer:tail:5,mon_khmer:tail:4
mon_khmer,tail,NYAKUR,p3ta7,mon_khmer:tail:3,mon_khmer:tail:1
mon_khmer,tail,RUC,tuoy,mon_khmer:tail:2,mon_khmer:tail:5
mon_khmer,tail,SEMAI,snta7,mon_khmer:tail:3,mon_khmer:tail:1
mon_khmer,tail,VIETNAMESE,Zuoi,mon_khmer:tail:2,mon_khmer:tail:6
mon_khmer,tail,WA,sida7,mon_khmer:tail:3,mon_khmer:tail:1
mon_khmer,nose,BAHNAR,muh,mon_khmer:nose:1,mon_khmer:nose:1
mon_khmer,nose,CHRAU,muh,mon_khmer:nose:1,mon_khmer:nose:1
mon_khmer,nose,DEANG,muih,mon_khmer:nose:1,mon_khmer:nose:1
mon_khmer,nose,JEH,muh,mon_khmer:nose:1,mon_khmer:nose:1
mon_khmer,nose,KHASI,kh~mut,mon_khmer:nose:1,mon_khmer:nose:2
mon_khmer,nose,KHMER,Cr~3muh,mon_khmer:nose:1,mon_khmer:nose:1
mon_khmer,nose,KHMU,muh,mon_khmer:nose:1,mon_khmer:nose:1
mon_khmer,nose,KSINMUL,moh,mon_khmer:nose:1,mon_khmer:nose:1
mon_khmer,nose,KUI_THAILAND,muh,mon_khmer:nose:1,mon_khmer:nose:1
mon_khmer,nose,MON,muh,mon_khmer:nose:1,mon_khmer:nose:1
mon_khmer,nose,MUNDARI,mu*,mon_khmer:nose:1,mon_khmer:nose:1
mon_khmer,nose,NYAKUR,hmok,mon_khmer:nose:1,mon_khmer:nose:1
mon_khmer,nose,RUC,mu3h,mon_khmer:nose:1,mon_khmer:nose:1
mon_khmer,nose,SEMAI,muh,mon_khmer:nose:1,mon_khmer:nose:1
mon_khmer,nose,VIETNAMESE,mui,mon_khmer:nose:1,mon_khmer:nose:1
mon_khmer,nose,WA,m3ih,mon_khmer:nose:1,mon_khmer:nose:1
mon_khmer,heart,BAHNAR,nuih,mon_khmer:heart:1,mon_khmer:heart:1
mon_khmer,heart,CHRAU,play nuih,mon_khmer:heart:1,mon_khmer:heart:11
mon_khmer,heart,DEANG,noih,mon_khmer:heart:1,mon_khmer:heart:1
mon_khmer,heart,JEH,noyh~,mon_khmer:heart:1,mon_khmer:heart:10
mon_khmer,heart,KHASI,kloN snam,mon_khmer:heart:5,mon_khmer:heart:9
mon_khmer,heart,KHMU,h3rn3am,mon_khmer:heart:3,mon_khmer:heart:8
mon_khmer,heart,KSINMUL,en,mon_khmer:heart:4,mon_khmer:heart:7
mon_khmer,heart,KUI_THAILAND,ph~am,mon_khmer:heart:3,mon_khmer:heart:6
mon_khmer,heart,MON,gruih,mon_khmer:heart:2,mon_khmer:heart:5
mon_khmer,heart,NYAKUR,5y~um,mon_khmer:heart:3,mon_khmer:heart:4
mon_khmer,heart,SEMAI,nus,mon_khmer:heart:1,mon_khmer:heart:3
