concept,doculect,counterpart,cogid,lpID
I,Tasha_Tujia,ŋa²⁴,59,1
I,Duogu_Tujia,ŋa²⁴,59,1
I,Dianfang_Tujia,ŋa³⁵,59,1
I,Boluo_Tujia,ŋo³³,59,1
I,Tanxi_Tujia,ŋo³³,59,1
all,Tasha_Tujia,xu²⁴+ni⁵⁵,1,2
all,Duogu_Tujia,xu²⁴+ni⁴⁴,1,2
all,Dianfang_Tujia,xu³⁵+ni⁵⁵,1,2
all,Boluo_Tujia,bu¹³+li⁵³,2,3
all,Tanxi_Tujia,bu¹³,2,3
ashes,Tasha_Tujia,pu²¹+ʨʰi²⁴,3,4
ashes,Duogu_Tujia,pu²¹+ʦʰi⁵³,3,4
ashes,Dianfang_Tujia,pu²¹+ʦʰi³⁵,3,4
ashes,Boluo_Tujia,mu²¹+ʦʰi⁵³,3,5
ashes,Tanxi_Tujia,mu¹³+ʦʰi⁵⁵,3,5
belly,Tasha_Tujia,mɤ²¹+ʦʰi²¹+kʰɤ⁵⁵,5,6
belly,Duogu_Tujia,mɨe²¹,5,6
belly,Dianfang_Tujia,mɨe²¹,5,6
belly,Boluo_Tujia,mɨe²¹+ʨi⁵³,5,6
belly,Tanxi_Tujia,mɨe¹³+ʨi⁵⁵,5,6
big,Tasha_Tujia,ʦʰi²¹,6,7
big,Duogu_Tujia,ʦʰi⁵³,6,7
big,Dianfang_Tujia,ʦʰi⁵⁵,6,7
big,Boluo_Tujia,ʨʰi³³,6,7
big,Tanxi_Tujia,ʨʰi³³,6,7
bird,Tasha_Tujia,ni̯ɛ²⁴+pi⁵⁵,7,8
bird,Duogu_Tujia,nie²¹+pi⁵³,7,8
bird,Dianfang_Tujia,ne³⁵+pi³⁵,7,8
bird,Boluo_Tujia,kɨ²¹+ʦo²¹+nũ²¹,8,9
bird,Tanxi_Tujia,kɨ²¹+ʦo²¹,8,9
bite,Tasha_Tujia,ka²⁴,9,10
bite,Duogu_Tujia,ka²⁴,9,10
bite,Boluo_Tujia,go¹³,9,10
black,Tasha_Tujia,laŋ²⁴+ka⁵⁵,10,11
black,Duogu_Tujia,lã⁴⁴+ka⁴⁴+tie²¹,10,11
black,Dianfang_Tujia,lã³⁵+ka⁵⁵,10,11
black,Boluo_Tujia,no²¹,10,12
black,Tanxi_Tujia,lo²¹,10,12
blood,Tasha_Tujia,mi̯ɛ²¹,11,13
blood,Duogu_Tujia,mie⁵³,11,13
blood,Dianfang_Tujia,me⁵⁵,11,13
blood,Boluo_Tujia,mie²¹+mie²¹,11,13
blood,Tanxi_Tujia,me²¹+me²¹,11,13
bone,Tasha_Tujia,lu⁵⁵+ka⁵⁵,12,14
bone,Duogu_Tujia,lu⁴⁴+ka⁴⁴,12,14
bone,Dianfang_Tujia,lu⁵⁵+ka⁵⁵,12,14
bone,Boluo_Tujia,kʰa²¹+kʰɨe⁵³,13,15
bone,Tanxi_Tujia,kʰa²¹+kɨ²¹,13,15
breast,Tasha_Tujia,li⁵⁵+ku̯ɔ⁵⁵+ʦʰɔŋ⁵⁵,14,16
breast,Dianfang_Tujia,li⁵⁵+kʰo⁵⁵+ʦʰũ⁵⁵,14,16
breast,Boluo_Tujia,dẽ³³+go¹³+lẽ³³,14,18
breast,Tanxi_Tujia,ɕiõ⁵⁵+kẽ²¹+ʥiã²¹,15,17
burn,Tasha_Tujia,za²¹,16,20
burn,Duogu_Tujia,ʨiau⁴⁴,17,19
burn,Boluo_Tujia,ʨiaʉ³³,17,19
claw (nail),Tasha_Tujia,kʰu̯ɔ²⁴+tʰa⁵⁵,18,21
claw (nail),Duogu_Tujia,kʰo⁵³+tʰa⁵³,18,21
claw (nail),Dianfang_Tujia,kʰo⁵⁵+tʰa⁵⁵,18,21
claw (nail),Boluo_Tujia,ʥie⁵³+mũ²¹+ko²¹+lo²¹,18,22
claw (nail),Tanxi_Tujia,ʥe⁵⁵+mo⁵⁵+kʰo²¹,18,22
cloud,Tasha_Tujia,me²⁴+la⁵⁵+ɔŋ²¹,19,23
cloud,Dianfang_Tujia,mɨe³⁵+la⁵⁵+ɣũ²¹,19,23
cold,Tasha_Tujia,sa²¹,20,24
cold,Duogu_Tujia,sa⁵³,20,24
cold,Dianfang_Tujia,sa⁵⁵,20,24
cold,Boluo_Tujia,si²¹+ʣa²¹,21,25
cold,Tanxi_Tujia,si²¹+ʣa¹³,21,25
come,Tasha_Tujia,ɤŋ²¹+ʨi̯u²¹,22,26
come,Duogu_Tujia,ẽ²¹+ʦi²¹,22,26
come,Dianfang_Tujia,ẽ²¹+ʦi²¹,22,26
come,Boluo_Tujia,ɣɨ²¹+dɨ⁵³,22,27
come,Tanxi_Tujia,ʔɨ¹³+dɨ⁵⁵,22,27
die,Tasha_Tujia,sɤ²⁴,23,28
die,Duogu_Tujia,se²⁴,23,28
die,Dianfang_Tujia,se³⁵,23,28
die,Boluo_Tujia,se²¹,23,28
die,Tanxi_Tujia,se²¹,23,28
dog,Tasha_Tujia,xa²¹+li̯ɛ²¹,24,29
dog,Duogu_Tujia,xa⁵³+lie²¹,24,29
dog,Dianfang_Tujia,xa⁵⁵+le²¹,24,29
dog,Boluo_Tujia,ʦʰe⁵³,25,30
dog,Tanxi_Tujia,ʦʰe⁵⁵,25,30
drink,Tasha_Tujia,xu²¹,26,31
drink,Duogu_Tujia,xu²¹,26,31
drink,Dianfang_Tujia,xu²¹,26,31
drink,Boluo_Tujia,ʣoʉ³³,27,32
drink,Tanxi_Tujia,ʣʉ³³,27,32
dry,Tasha_Tujia,ka²¹,28,33
dry,Duogu_Tujia,a⁵³+ka²¹,28,33
dry,Dianfang_Tujia,ka²¹,28,33
dry,Boluo_Tujia,go¹³,28,33
dry,Tanxi_Tujia,go⁵⁵,28,33
ear,Tasha_Tujia,ɤŋ²¹+ʨʰi̯ɛ²⁴,29,34
ear,Duogu_Tujia,ũ²¹+ʨʰie⁴⁴,29,34
ear,Dianfang_Tujia,ẽ²¹+ʨʰe³⁵,29,34
ear,Boluo_Tujia,ʦa²¹+po⁵³,30,35
ear,Tanxi_Tujia,ʦã²¹+pʉ⁵⁵,30,35
earth,Tasha_Tujia,zu̯ɔ²¹,31,36
earth,Duogu_Tujia,zo⁵³,31,36
earth,Dianfang_Tujia,zo⁵⁵,31,36
earth,Boluo_Tujia,za⁵³,31,36
earth,Tanxi_Tujia,za⁵⁵,31,36
eat,Tasha_Tujia,ka²⁴,32,37
eat,Duogu_Tujia,ka²⁴,32,37
eat,Dianfang_Tujia,ka³⁵,32,37
eat,Boluo_Tujia,ɣɨe¹³,33,38
eat,Tanxi_Tujia,ɣɨe³⁵,33,38
egg,Tasha_Tujia,a⁵⁵+li̯ɛ⁵⁵,34,39
egg,Dianfang_Tujia,a⁵⁵+le⁵⁵,34,39
egg,Boluo_Tujia,si²¹+ŋɨe²¹+a¹³+lɨe⁵³,34,40
egg,Tanxi_Tujia,ʔa²¹+le⁵⁵,34,39
eye,Tasha_Tujia,lu̯ɔ²⁴+pu⁵⁵,35,41
eye,Duogu_Tujia,lo²⁴+pu⁴⁴,35,41
eye,Dianfang_Tujia,lo³⁵+pu³⁵,35,41
eye,Boluo_Tujia,a²¹+la⁵³,35,42
eye,Tanxi_Tujia,ʔa²¹+la⁵⁵,35,42
far,Duogu_Tujia,ɣɨe²¹,152,43
far,Dianfang_Tujia,ɣɨe²¹,152,43
far,Boluo_Tujia,ɣoʉ²¹+i⁵³,153,45
far,Tanxi_Tujia,ʔʉ¹³+ji⁵⁵,153,44
feather,Tasha_Tujia,si²⁴+ka²¹,36,46
feather,Duogu_Tujia,ʨi²⁴+ka⁴⁴,36,46
feather,Boluo_Tujia,a³³+so³³,37,47
fire,Tasha_Tujia,mi²¹,38,48
fire,Duogu_Tujia,mi⁵³,38,48
fire,Dianfang_Tujia,mi⁵⁵,38,48
fire,Boluo_Tujia,mi⁵³,38,48
fire,Tanxi_Tujia,mi⁵⁵,38,48
fish,Tasha_Tujia,sɔŋ²⁴,39,49
fish,Duogu_Tujia,sũ²⁴,39,49
fish,Dianfang_Tujia,sũ³⁵,39,49
fish,Boluo_Tujia,si²¹+ŋe²¹,40,50
fish,Tanxi_Tujia,si²¹+ŋɨ²¹,40,50
fly,Tasha_Tujia,za²⁴,41,51
fly,Duogu_Tujia,za⁵³,41,51
fly,Dianfang_Tujia,za⁵⁵,41,51
fly,Boluo_Tujia,mu³³+ʥi³³,42,52
fly,Tanxi_Tujia,mu³³+ʣi³³,42,52
foot,Tasha_Tujia,ʨi²¹,43,53
foot,Duogu_Tujia,ʨi²¹+pʰa²¹,43,53
foot,Dianfang_Tujia,ʨi²¹,43,53
foot,Boluo_Tujia,a³³+ʥi¹³,43,54
foot,Tanxi_Tujia,ʔa³³+ʥi³⁵,43,54
full,Duogu_Tujia,mã⁵³,44,56
full,Dianfang_Tujia,mã⁵⁵,44,56
full,Boluo_Tujia,moʉ⁵³,44,55
full,Tanxi_Tujia,mʉ³³,44,55
give,Tasha_Tujia,li̯ɛ²⁴,45,57
give,Duogu_Tujia,lie²⁴,45,57
give,Dianfang_Tujia,le³⁵,45,57
give,Boluo_Tujia,lie⁵³,45,57
give,Tanxi_Tujia,le⁵⁵,45,57
good,Tasha_Tujia,ʦʰa²⁴,46,58
good,Duogu_Tujia,ʦʰa²⁴,46,58
good,Dianfang_Tujia,ʦʰa³⁵,46,58
good,Boluo_Tujia,ʦʰo²¹,46,58
good,Tanxi_Tujia,ʦʰo³³,46,58
green,Tasha_Tujia,ɕiŋ²⁴+ka⁵⁵,47,60
green,Duogu_Tujia,lu²¹+lu²¹+ti⁴⁴,48,61
