db,concept,doculect,counterpart,fullCC,inferredCC
tujia,good,Boluo_Tujia,ʦʰo²¹,tujia:good:46,tujia:good:1
tujia,good,Dianfang_Tujia,ʦʰa³⁵,tujia:good:46,tujia:good:1
tujia,good,Duogu_Tujia,ʦʰa²⁴,tujia:good:46,tujia:good:1
tujia,good,Tanxi_Tujia,ʦʰo³³,tujia:good:46,tujia:good:1
tujia,good,Tasha_Tujia,ʦʰa²⁴,tujia:good:46,tujia:good:1
tujia,hair,Boluo_Tujia,a²¹+bo⁵³+a²¹+so²¹,tujia:hair:49,tujia:hair:1
tujia,hair,Dianfang_Tujia,sa³⁵+ʨʰi⁵⁵,tujia:hair:49,tujia:hair:2
tujia,hair,Duogu_Tujia,sa²⁴+ʨʰi⁴⁴,tujia:hair:49,tujia:hair:2
tujia,hair,Tanxi_Tujia,ʔa²¹+so²¹,tujia:hair:49,tujia:hair:3
tujia,hair,Tasha_Tujia,sa²⁴+ʨʰi⁵⁵,tujia:hair:49,tujia:hair:2
tujia,many,Boluo_Tujia,zi⁴⁵,tujia:many:77,tujia:many:1
tujia,many,Dianfang_Tujia,zi²¹,tujia:many:77,tujia:many:1
tujia,many,Duogu_Tujia,zi²¹,tujia:many:77,tujia:many:1
tujia,many,Tanxi_Tujia,zi³⁵,tujia:many:77,tujia:many:1
tujia,many,Tasha_Tujia,zi²¹,tujia:many:77,tujia:many:1
tujia,feather,Boluo_Tujia,a³³+so³³,tujia:feather:37,tujia:feather:1
tujia,feather,Duogu_Tujia,ʨi²⁴+ka⁴⁴,tujia:feather:36,tujia:feather:2
tujia,feather,Tasha_Tujia,si²⁴+ka²¹,tujia:feather:36,tujia:feather:2
tujia,big,Boluo_Tujia,ʨʰi³³,tujia:big:6,tujia:big:1
tujia,big,Dianfang_Tujia,ʦʰi⁵⁵,tujia:big:6,tujia:big:1
tujia,big,Duogu_Tujia,ʦʰi⁵³,tujia:big:6,tujia:big:1
tujia,big,Tanxi_Tujia,ʨʰi³³,tujia:big:6,tujia:big:1
tujia,big,Tasha_Tujia,ʦʰi²¹,tujia:big:6,tujia:big:1
tujia,long,Boluo_Tujia,ɣɨe¹³,tujia:long:73,tujia:long:1
tujia,long,Dianfang_Tujia,ɣɨe²¹,tujia:long:73,tujia:long:1
tujia,long,Duogu_Tujia,ɣɨe²¹,tujia:long:73,tujia:long:1
tujia,long,Tanxi_Tujia,ɣɨe³⁵,tujia:long:73,tujia:long:1
tujia,long,Tasha_Tujia,ɣɤ²¹,tujia:long:73,tujia:long:1
tujia,tongue,Boluo_Tujia,ʣi²¹+la²¹,tujia:tongue:133,tujia:tongue:1
tujia,tongue,Dianfang_Tujia,ji³⁵+la⁵⁵,tujia:tongue:133,tujia:tongue:1
tujia,tongue,Duogu_Tujia,i²⁴+la⁵³,tujia:tongue:133,tujia:tongue:1
tujia,tongue,Tanxi_Tujia,ʣi²¹+la²¹,tujia:tongue:133,tujia:tongue:1
tujia,tongue,Tasha_Tujia,ji²⁴+la⁵⁵,tujia:tongue:133,tujia:tongue:1
tujia,I,Boluo_Tujia,ŋo³³,tujia:I:59,tujia:I:1
tujia,I,Dianfang_Tujia,ŋa³⁵,tujia:I:59,tujia:I:1
tujia,I,Duogu_Tujia,ŋa²⁴,tujia:I:59,tujia:I:1
tujia,I,Tanxi_Tujia,ŋo³³,tujia:I:59,tujia:I:1
tujia,I,Tasha_Tujia,ŋa²⁴,tujia:I:59,tujia:I:1
