gloss,l1,w1,cc1,l2,w2,cc2,feature1,feature2,feature3,feature4,feature5,feature6,lexstat_simAA,lexstat_simBB,lexstat_simAB,feature7,target,db
tongue,AHAGGAR,il3s,1,AMHARIC_3,m3las,2,3.29915665688,0.00640614990391,5.05049682752,1.21438820091,0.194240411626,4.61904761905,33.7380301887,42.6317271677,7.29898307446,0.163436779213,0,afrasian
tongue,AHAGGAR,il3s,1,ARABIC_LEBANESE,lsen,1,-1.96493441441,0.0711082639334,2.6435517192,1.66198489343,0.508012606997,4.61904761905,33.7380301887,38.6986393603,2.21088615052,0.163436779213,1,afrasian
tongue,AHAGGAR,il3s,1,ARABIC_QURANIC,lisan,1,-0.66163514677,0.0321944809461,3.43596024031,1.5049472102,0.408757821307,4.61904761905,33.7380301887,46.3374031343,3.68997752188,0.163436779213,1,afrasian
tongue,AHAGGAR,il3s,1,BEJA_2,midala,3,-3.74009613583,0.149903907751,1.89776080516,1.38377967884,0.324818652936,4.61904761905,33.7380301887,50.3023866078,1.78279060135,0.163436779213,0,afrasian
tongue,AHAGGAR,il3s,1,BOLEWA,lisi,1,1.04409650944,0.00896860986547,4.7140245909,1.66587556061,0.510350847442,4.61904761905,36.3024907172,34.3074285909,4.35617897547,0.163436779213,1,afrasian
tongue,AHAGGAR,il3s,1,DAHALO_2,Xena,5,-7.22753774257,0.394618834081,0.929834956982,0.929837672065,-0.0727452542365,4.61904761905,33.7380301887,34.8942232799,0.0,0.163436779213,0,afrasian
tongue,AHAGGAR,il3s,1,GEEZ,l3san,1,2.84930691611,0.00576553491352,5.15585734318,1.43839860282,0.363530413395,4.61904761905,33.7380301887,45.3557860127,2.71256053632,0.163436779213,1,afrasian
tongue,AHAGGAR,il3s,1,GHADAMES_2,il3s,1,11.6106914713,0.00065703022339,7.32778053842,3.59691094349,1.28007540586,4.61904761905,33.7380301887,32.6222280308,25.6337388572,0.163436779213,1,afrasian
tongue,AHAGGAR,il3s,1,HARARI_2,%arat,-2,-2.47933336012,0.0787956438181,2.54089756514,1.189341245,0.173399578218,4.61904761905,33.7380301887,36.4171819137,0.0,0.163436779213,0,afrasian
tongue,AHAGGAR,il3s,1,HAUSA_3,harSe,1,-7.98847686909,0.461242793081,0.773830708505,1.56140755468,0.445587693096,4.61904761905,33.7380301887,43.7806308568,0.0,0.163436779213,1,afrasian
