gloss,l1,w1,cc1,l2,w2,cc2,feature1,feature2,feature3,feature4,feature5,feature6,lexstat_simAA,lexstat_simBB,lexstat_simAB,feature7,target,db
good,Dashi,xu₃₃,275,Ega,xo₅₅,275,5.4451525333,0.0074545737,4.8989275166,2.8708559653,1.0546102311,3.1666666667,30.6085667116,21.0453678828,4.7993885510,0.2366675158,1,bai
good,Dashi,ʨʰõ₄₄,274,Ega,xo₅₅,275,3.7206236574,0.0222084175,3.8072838973,2.8708559653,1.0546102311,3.1666666667,16.7387429112,21.0453678828,5.4126459985,0.2366675158,0,bai
good,Dashi,xu₃₃,275,Enqi,djæ₂₁,274,-8.8863847656,0.6559248330,0.4217090804,3.3691120043,1.2146492094,3.1666666667,23.3531828836,25.6344601331,-5.4266860061,0.2366675158,0,bai
good,Dashi,ʨʰõ₄₄,274,Enqi,djæ₂₁,274,-7.2198792839,0.5041931977,0.6847957556,3.3691120043,1.2146492094,3.1666666667,18.5198698245,25.6344601331,0.9958024388,0.2366675158,1,bai
good,Dashi,xu₃₃,275,Gongxing,ʣan₁₂,274,-10.5660191728,0.7996240013,0.2236136602,2.7925033820,1.0269384631,3.1666666667,24.8900087678,24.3595416853,-5.7500000000,0.2366675158,0,bai
good,Dashi,ʨʰõ₄₄,274,Gongxing,ʣan₁₂,274,1.1575855865,0.0364248786,3.3125032602,2.7925033820,1.0269384631,3.1666666667,17.3410820026,24.3595416853,7.3796030231,0.2366675158,1,bai
good,Dashi,xu₃₃,275,Jinman,xo₂₂,275,2.0562713583,0.0499242364,2.9972486951,2.9731629414,1.0896263496,3.1666666667,24.8172346182,22.5637407936,9.3960925707,0.2366675158,1,bai
good,Dashi,ʨʰõ₄₄,274,Jinman,xo₂₂,275,-2.7610632086,0.2351862190,1.4473776574,2.9731629414,1.0896263496,3.1666666667,17.3182220281,22.5637407936,-1.2631921489,0.2366675158,0,bai
good,Dashi,xu₃₃,275,Jinxing,xu₃₃,275,12.3127267707,0.0002269976,8.3905712071,4.9089761461,1.5910653958,3.1666666667,25.0846178835,25.1954616440,22.1902188230,0.2366675158,1,bai
good,Dashi,xu₃₃,275,Jinxing,ʨʰõ₄₄,274,-0.6153668693,0.1454297821,1.9280619062,4.9089761461,1.5910653958,3.1666666667,25.0846178835,18.0403598111,-5.7500000000,0.2366675158,0,bai
good,Dashi,ʨʰõ₄₄,274,Jinxing,xu₃₃,275,-0.6153668693,0.1454297821,1.9280619062,4.9089761461,1.5910653958,3.1666666667,17.3196234840,25.1954616440,-5.7500000000,0.2366675158,0,bai
good,Dashi,ʨʰõ₄₄,274,Jinxing,ʨʰõ₄₄,274,9.9067316384,0.0010593220,6.8501261661,4.9089761461,1.5910653958,3.1666666667,17.3196234840,18.0403598111,15.4068482259,0.2366675158,1,bai
good,Dashi,xu₃₃,275,Mazhelong,xǝ₃₃,275,8.6035628590,0.0031837242,5.7497036414,3.5950348555,1.2795536867,3.1666666667,24.9576278096,19.6419416537,13.9680285590,0.2366675158,1,bai
good,Dashi,ʨʰõ₄₄,274,Mazhelong,xǝ₃₃,275,-1.5465715407,0.1674173008,1.7872657761,3.5950348555,1.2795536867,3.1666666667,17.2220301280,19.6419416537,-3.5414868973,0.2366675158,0,bai
good,Dashi,xu₃₃,275,Tuolo,djaŋ₃₅,274,-11.0250105051,0.8207051763,0.1975913372,2.8255699038,1.0387100801,3.1666666667,24.9133268018,35.9843966899,-5.7500000000,0.2366675158,0,bai
good,Dashi,ʨʰõ₄₄,274,Tuolo,djaŋ₃₅,274,-3.0210949086,0.2191297824,1.5180911108,2.8255699038,1.0387100801,3.1666666667,17.3237893315,35.9843966899,-4.1199324111,0.2366675158,1,bai
good,Dashi,xu₃₃,275,Zhoucheng,xu₃₃,275,12.3127267707,0.0003916960,7.8450244172,4.6081278906,1.5278216771,3.1666666667,24.8203482876,25.5387900917,20.0641540807,0.2366675158,1,bai
