gloss,l1,w1,cc1,l2,w2,cc2,feature1,feature2,feature3,feature4,feature5,feature6,lexstat_simAA,lexstat_simBB,lexstat_simAB,feature7,target,db
tongue,KAM_ZHANGLU,ma,2,LAKKJA,5w~a,2,-3.9053602977,0.2590068160,1.3509009011,1.8441830795,0.6120364041,2.5833333333,14.6112614791,13.7698549787,0.6045895424,0.4550754833,1,kadai
tongue,KAM_ZHANGLU,ma,2,LI_BAODING,Lin,1,-9.0019328216,0.7218664227,0.3259151673,2.3486961018,0.8538603239,2.5833333333,17.6796583902,24.3881575773,0.0000000000,0.4550754833,0,kadai
tongue,KAM_ZHANGLU,ma,2,LI_TONGSHI,Lin,1,-9.0019328216,0.7299396031,0.3147934837,2.2913140344,0.8291254671,2.5833333333,13.1448442400,24.4747899084,0.0000000000,0.4550754833,0,kadai
tongue,KAM_ZHANGLU,ma,2,MAONAN,ma,2,5.1926149942,0.0009746589,6.9334230257,3.7854524524,1.3311654180,2.5833333333,13.1448442400,15.0472620086,3.2107912266,0.4550754833,1,kadai
tongue,KAM_ZHANGLU,ma,2,MULAO,ma,2,5.1926149942,0.0027497709,5.8962376972,3.2929578172,1.1917861935,2.5833333333,13.1448442400,13.0735904792,3.1892236442,0.4550754833,1,kadai
tongue,KAM_ZHANGLU,ma,2,ONG_BE,lim,1,-3.5557540317,0.2436974790,1.4118276631,2.6088636527,0.9589147444,2.5833333333,13.1448442400,28.4343434415,0.0000000000,0.4550754833,0,kadai
tongue,KAM_ZHANGLU,ma,2,SAEK,lin,1,-9.0019328216,0.7416851441,0.2988304599,3.0094127851,1.1017449717,2.5833333333,13.1448442400,25.5836100075,0.0000000000,0.4550754833,0,kadai
tongue,KAM_ZHANGLU,ma,2,SIAMESE,lin,1,-9.0019328216,0.7643835616,0.2686855718,2.4027428592,0.8766109428,2.5833333333,13.1448442400,25.5807879664,0.0000000000,0.4550754833,0,kadai
tongue,KAM_ZHANGLU,ma,2,SUI,ma,2,5.1926149942,0.0018331806,6.3017028053,4.3549725555,1.4713183084,2.5833333333,13.1448442400,12.7971117850,12.7330469421,0.4550754833,1,kadai
tongue,KAM_ZHANGLU,ma,2,ZHUANG_NORTHERN,lin,1,-9.0019328216,0.7568331762,0.2786124247,3.0160472103,1.1039471033,2.5833333333,13.1448442400,25.4363848992,0.0000000000,0.4550754833,0,kadai
tongue,KAM_ZHANGLU,ma,2,ZHUANG_SOUTHERN,lin,1,-9.0019328216,0.7445805844,0.2949341932,2.5026014351,0.9173307649,2.5833333333,13.1448442400,24.5984228428,0.0000000000,0.4550754833,0,kadai
tongue,LAKKJA,5w~a,2,LI_BAODING,Lin,1,-6.9457960961,0.4542020774,0.7892130755,2.0296822531,0.7078792552,2.5833333333,15.9463250569,24.3881575773,0.0000000000,0.4550754833,0,kadai
tongue,LAKKJA,5w~a,2,LI_TONGSHI,Lin,1,-6.9457960961,0.4674977738,0.7603606921,1.9545065528,0.6701377589,2.5833333333,13.7698549787,24.4747899084,0.0000000000,0.4550754833,0,kadai
tongue,LAKKJA,5w~a,2,MAONAN,ma,2,-3.9053602977,0.2500000000,1.3862943611,1.7596927247,0.5651392056,2.5833333333,13.7698549787,15.0472620086,0.0000000000,0.4550754833,1,kadai
tongue,LAKKJA,5w~a,2,MULAO,ma,2,-3.9053602977,0.2759924386,1.2873818101,2.3080068599,0.8363843209,2.5833333333,13.7698549787,13.0735904792,0.0000000000,0.4550754833,1,kadai
tongue,LAKKJA,5w~a,2,ONG_BE,lim,1,-10.4842728384,0.8734835355,0.1352659984,1.7852734494,0.5795715964,2.5833333333,13.7698549787,28.4343434415,0.0000000000,0.4550754833,0,kadai
tongue,LAKKJA,5w~a,2,SAEK,lin,1,-6.9457960961,0.5063001145,0.6806256738,2.2661783043,0.8180948463,2.5833333333,13.7698549787,25.5836100075,0.0000000000,0.4550754833,0,kadai
tongue,LAKKJA,5w~a,2,SIAMESE,lin,1,-6.9457960961,0.5475966070,0.6022163818,1.7188143698,0.5416347332,2.5833333333,13.7698549787,25.5807879664,0.0000000000,0.4550754833,0,kadai
tongue,LAKKJA,5w~a,2,SUI,ma,2,-3.9053602977,0.2684310019,1.3151613743,2.2606748730,0.8156633851,2.5833333333,13.7698549787,12.7971117850,0.0000000000,0.4550754833,1,kadai
