gloss,l1,w1,cc1,l2,w2,cc2,feature1,feature2,feature3,feature4,feature5,feature6,lexstat_simAA,lexstat_simBB,lexstat_simAB,feature7,target,db
tongue,KAMASAU,minju,1,KENYARI,Nari,2,-8.9309616955,0.6494845361,0.4315762521,5.3110156385,1.6697830860,4.7500000000,42.0262811754,25.3591391674,0.5737485095,0.5879347085,0,kamasau
tongue,KAMASAU,minju,1,PARUWA,Nari,2,-8.9309616955,0.6303501946,0.4614797497,4.3763261032,1.4762095832,4.7500000000,42.0262811754,26.0029435165,0.3655630513,0.5879347085,0,kamasau
tongue,KAMASAU,minju,1,SAMAP,minju,1,15.4256330440,0.0008396306,7.0825485694,4.3907794843,1.4795067704,4.7500000000,42.0262811754,39.1824755766,36.2490528931,0.5879347085,1,kamasau
tongue,KAMASAU,minju,1,TRING,minju,1,15.4256330440,0.0007930214,7.1396603360,6.8170723107,1.9194300997,4.7500000000,42.0609702168,42.0609702168,42.0609702168,0.5879347085,1,kamasau
tongue,KAMASAU,minju,1,WANDOMI,minju,1,15.4256330440,0.0008156607,7.1115121165,5.5549061964,1.7146815366,4.7500000000,42.0262811754,42.2241368875,28.0047299888,0.5879347085,1,kamasau
tongue,KAMASAU,minju,1,WAU,minju,1,15.4256330440,0.0007930214,7.1396603360,6.5781774535,1.8837577242,4.7500000000,42.0262811754,41.8070542954,41.5826270440,0.5879347085,1,kamasau
tongue,KAMASAU,minju,1,YIBAB,minju,1,15.4256330440,0.0007930214,7.1396603360,5.6711632861,1.7353942618,4.7500000000,42.0262811754,42.7051460035,41.9071670424,0.5879347085,1,kamasau
tongue,KENYARI,Nari,2,PARUWA,Nari,2,10.7215010549,0.0012970169,6.6476883736,5.5345988160,1.7110190822,4.7500000000,26.0029435165,26.0029435165,26.0029435165,0.5879347085,1,kamasau
tongue,KENYARI,Nari,2,SAMAP,minju,1,-8.9309616955,0.6045340050,0.5032973573,3.3495743578,1.2088332804,4.7500000000,28.7083288247,39.1824755766,1.8872347465,0.5879347085,0,kamasau
tongue,KENYARI,Nari,2,TRING,minju,1,-8.9309616955,0.6431403648,0.4413922818,5.4580682373,1.6970949245,4.7500000000,25.3591391674,42.0609702168,0.7060898536,0.5879347085,0,kamasau
