gloss,l1,w1,cc1,l2,w2,cc2,feature1,feature2,feature3,feature4,feature5,feature6,lexstat_simAA,lexstat_simBB,lexstat_simAB,feature7,target,db
good,CHIAPAS_ZOQUE,oye,1,LOWLAND_MIXE,oy,1,2.3669092596,0.0126764918,4.3680060397,2.9774386437,1.0910634154,2.6666666667,30.1880666011,16.2052777787,7.7876577895,0.1540942595,1,mixe_zoque
good,CHIAPAS_ZOQUE,oye,1,MIGUEL_CHIMALAPA,w3h3,2,-4.9628848761,0.2587859425,1.3517540359,5.2461897348,1.6575020483,2.6666666667,29.3452251170,36.0452678755,0.0000000000,0.1540942595,0,mixe_zoque
good,CHIAPAS_ZOQUE,oye,1,NORTH_HIGHLAND_MIXE,oy,1,2.3669092596,0.0140389860,4.2659171080,2.9404078313,1.0785482899,2.6666666667,29.3452251170,18.4180372041,5.3760555535,0.1540942595,1,mixe_zoque
good,CHIAPAS_ZOQUE,oye,1,OLUTA_POPOLUCA,nioya,1,-0.2100889053,0.0419039433,3.1723753451,3.1800057778,1.1568830137,2.6666666667,29.3452251170,45.8288862023,2.6143185822,0.1540942595,1,mixe_zoque
good,CHIAPAS_ZOQUE,oye,1,SAYULA_POPOLUCA,oy,1,2.3669092596,0.0128071637,4.3577506020,3.5594560657,1.2696077427,2.6666666667,29.3452251170,16.5935731628,4.2780324954,0.1540942595,1,mixe_zoque
good,CHIAPAS_ZOQUE,oye,1,SOTEAPAN_ZOQUE,w3,2,-7.0830394083,0.4426585578,0.8149565561,4.4031711542,1.4823249982,2.6666666667,29.3452251170,18.3598854846,0.0000000000,0.1540942595,0,mixe_zoque
good,CHIAPAS_ZOQUE,oye,1,SOUTH_HIGHLAND_MIXE,ey,1,-0.8788111033,0.0632523975,2.7606222474,3.1467109430,1.1463577623,2.6666666667,29.3452251170,16.9306078180,3.5985836164,0.1540942595,1,mixe_zoque
good,CHIAPAS_ZOQUE,oye,1,TEXISTEPEC_ZOQUE,w3,2,-7.0830394083,0.4521581969,0.7937231673,4.4970402261,1.5034194529,2.6666666667,29.3452251170,18.0005241742,0.0000000000,0.1540942595,0,mixe_zoque
good,LOWLAND_MIXE,oy,1,MIGUEL_CHIMALAPA,w3h3,2,-6.6847514579,0.3860553160,0.9517746140,2.9224729762,1.0724301675,2.6666666667,16.2052777787,36.0452678755,0.0000000000,0.1540942595,0,mixe_zoque
good,LOWLAND_MIXE,oy,1,NORTH_HIGHLAND_MIXE,oy,1,4.8599371819,0.0042254973,5.4666183283,4.2533520654,1.4477073933,2.6666666667,16.2052777787,18.4180372041,13.9424975742,0.1540942595,1,mixe_zoque
good,LOWLAND_MIXE,oy,1,OLUTA_POPOLUCA,nioya,1,-1.8318503188,0.0752110514,2.5874570985,4.0095255313,1.3886729129,2.6666666667,16.2052777787,45.8288862023,10.5623408642,0.1540942595,1,mixe_zoque
good,LOWLAND_MIXE,oy,1,SAYULA_POPOLUCA,oy,1,4.8599371819,0.0038249044,5.5662218114,4.2850234380,1.4551260218,2.6666666667,16.2052777787,16.5935731628,12.6818168584,0.1540942595,1,mixe_zoque
good,LOWLAND_MIXE,oy,1,SOTEAPAN_ZOQUE,w3,2,-5.3773077521,0.2607491135,1.3441965850,3.1605866927,1.1507576726,2.6666666667,16.2052777787,18.3598854846,0.0000000000,0.1540942595,0,mixe_zoque
good,LOWLAND_MIXE,oy,1,SOUTH_HIGHLAND_MIXE,ey,1,1.6142168189,0.0236310639,3.7451931647,4.3903565294,1.4794104378,2.6666666667,16.2052777787,16.9306078180,9.1276085511,0.1540942595,1,mixe_zoque
good,LOWLAND_MIXE,oy,1,TEXISTEPEC_ZOQUE,w3,2,-5.3773077521,0.2908440009,1.2349682350,2.5925486270,0.9526414177,2.6666666667,16.2052777787,18.0005241742,0.0000000000,0.1540942595,0,mixe_zoque
good,MIGUEL_CHIMALAPA,w3h3,2,NORTH_HIGHLAND_MIXE,oy,1,-6.6847514579,0.4174997423,0.8734713518,2.9455527765,1.0802964995,2.6666666667,34.1749580759,18.4180372041,0.0000000000,0.1540942595,0,mixe_zoque
good,MIGUEL_CHIMALAPA,w3h3,2,OLUTA_POPOLUCA,nioya,1,-11.4278205771,0.8191885965,0.1994409451,3.1938418074,1.1612245205,2.6666666667,35.7843433662,45.8288862023,0.0000000000,0.1540942595,0,mixe_zoque
good,MIGUEL_CHIMALAPA,w3h3,2,SAYULA_POPOLUCA,oy,1,-6.6847514579,0.4176583085,0.8730916244,3.4218668583,1.2301862672,2.6666666667,38.5355993718,16.5935731628,0.0000000000,0.1540942595,0,mixe_zoque
good,MIGUEL_CHIMALAPA,w3h3,2,SOTEAPAN_ZOQUE,w3,2,1.0875823522,0.0196165355,3.9313824194,4.3398586564,1.4678417799,2.6666666667,36.2459510839,18.3598854846,17.6148968344,0.1540942595,1,mixe_zoque
good,MIGUEL_CHIMALAPA,w3h3,2,SOUTH_HIGHLAND_MIXE,ey,1,-7.0646608907,0.4559650219,0.7853391789,3.2250600117,1.1709515583,2.6666666667,37.2776936356,16.9306078180,0.0000000000,0.1540942595,0,mixe_zoque
good,MIGUEL_CHIMALAPA,w3h3,2,TEXISTEPEC_ZOQUE,w3,2,1.0875823522,0.0339553048,3.3827101827,4.3733295447,1.4755246286,2.6666666667,37.4498442159,18.0005241742,17.2688055817,0.1540942595,1,mixe_zoque
good,NORTH_HIGHLAND_MIXE,oy,1,OLUTA_POPOLUCA,nioya,1,-1.8318503188,0.0907918771,2.3991854568,4.1012365476,1.4112885252,2.6666666667,18.4713490015,45.8288862023,6.8754809810,0.1540942595,1,mixe_zoque
good,NORTH_HIGHLAND_MIXE,oy,1,SAYULA_POPOLUCA,oy,1,4.8599371819,0.0041649313,5.4810555032,4.4990288369,1.5038615595,2.6666666667,16.5935731628,16.5935731628,16.5935731628,0.1540942595,1,mixe_zoque
good,NORTH_HIGHLAND_MIXE,oy,1,SOTEAPAN_ZOQUE,w3,2,-5.3773077521,0.2913770634,1.2331371000,2.8840381889,1.0591914610,2.6666666667,18.7371922202,18.3598854846,0.0000000000,0.1540942595,0,mixe_zoque
good,NORTH_HIGHLAND_MIXE,oy,1,SOUTH_HIGHLAND_MIXE,ey,1,1.6142168189,0.0267292389,3.6219972217,4.7490986766,1.5579548477,2.6666666667,16.8956604900,16.9306078180,7.3774665553,0.1540942595,1,mixe_zoque
good,NORTH_HIGHLAND_MIXE,oy,1,TEXISTEPEC_ZOQUE,w3,2,-5.3773077521,0.3051243887,1.1870357538,2.5897493029,0.9515610768,2.6666666667,18.8526716440,18.0005241742,0.0000000000,0.1540942595,0,mixe_zoque
good,OLUTA_POPOLUCA,nioya,1,SAYULA_POPOLUCA,oy,1,-1.8318503188,0.0800930542,2.5245661431,4.3415106039,1.4682223530,2.6666666667,44.0029706943,16.5935731628,6.6419427441,0.1540942595,1,mixe_zoque
good,OLUTA_POPOLUCA,nioya,1,SOTEAPAN_ZOQUE,w3,2,-10.8086387063,0.7866882367,0.2399232505,3.2836307134,1.1889497350,2.6666666667,45.0574901037,18.3598854846,0.0000000000,0.1540942595,0,mixe_zoque
good,OLUTA_POPOLUCA,nioya,1,SOUTH_HIGHLAND_MIXE,ey,1,-4.8736371760,0.2464727588,1.4005038034,4.2678343146,1.4511065123,2.6666666667,51.4748314936,16.9306078180,0.0000000000,0.1540942595,1,mixe_zoque
good,OLUTA_POPOLUCA,nioya,1,TEXISTEPEC_ZOQUE,w3,2,-10.8086387063,0.7805926261,0.2477018707,3.0575421948,1.1176113889,2.6666666667,52.7733854322,18.0005241742,0.0000000000,0.1540942595,0,mixe_zoque
good,SAYULA_POPOLUCA,oy,1,SOTEAPAN_ZOQUE,w3,2,-5.3773077521,0.2781012091,1.2797701699,3.5846096949,1.2766495964,2.6666666667,18.7371922202,18.3598854846,0.0000000000,0.1540942595,0,mixe_zoque
good,SAYULA_POPOLUCA,oy,1,SOUTH_HIGHLAND_MIXE,ey,1,1.6142168189,0.0218763147,3.8223507488,4.2000659616,1.4351002303,2.6666666667,16.8956604900,16.9306078180,7.3774665553,0.1540942595,1,mixe_zoque
good,SAYULA_POPOLUCA,oy,1,TEXISTEPEC_ZOQUE,w3,2,-5.3773077521,0.3019508987,1.1974908618,3.2386599207,1.1751596395,2.6666666667,18.8526716440,18.0005241742,0.0000000000,0.1540942595,0,mixe_zoque
