gloss,l1,w1,cc1,l2,w2,cc2,feature1,feature2,feature3,feature4,feature5,feature6,lexstat_simAA,lexstat_simBB,lexstat_simAB,feature7,target,db
good,Jugan Khanty,jem,71,Kazym Khanty,jam,71,5.3415665426,0.0031428571,5.7626229747,5.0089729569,1.6112308955,3.5714285714,27.1534929079,26.7126128979,18.5831617945,0.6495404516,1,ob_ugrian
good,Jugan Khanty,jem,71,Konda Khanty,jem,71,8.3375631585,0.0006794797,7.2941831811,5.5439328335,1.7127041466,3.5714285714,25.6411254696,25.6411254696,25.6411254696,0.6495404516,1,ob_ugrian
good,Jugan Khanty,jem,71,Konda Mansi,jɔməs,71,0.5514907094,0.0205549846,3.8846518086,3.2259195527,1.1712180422,3.5714285714,26.0114511785,48.6243569049,11.2184535799,0.6495404516,1,ob_ugrian
good,Jugan Khanty,jem,71,Likrisovskoje Khanty,jem,71,8.3375631585,0.0011881776,6.7353345469,6.1135527518,1.8105080693,3.5714285714,26.0114511785,26.9601724793,25.4598001060,0.6495404516,1,ob_ugrian
good,Jugan Khanty,jem,71,Lower Lozva Mansi,jæməs,71,2.3253157866,0.0075699397,4.8835701825,3.0617346128,1.1189816223,3.5714285714,26.0114511785,51.0716900220,2.9087379038,0.6495404516,1,ob_ugrian
good,Jugan Khanty,jem,71,Malyj Jugan Khanty,jem,71,8.3375631585,0.0011379801,6.7785004431,6.3505283632,1.8485380163,3.5714285714,26.0114511785,26.7612212503,25.4487452828,0.6495404516,1,ob_ugrian
good,Jugan Khanty,jem,71,Middle Lozva Mansi,jæməs,71,2.3253157866,0.0060741987,5.1037052041,3.2568740119,1.1807678433,3.5714285714,26.0114511785,50.3869103619,11.6201535377,0.6495404516,1,ob_ugrian
good,Jugan Khanty,jem,71,Nizjam Khanty,jam,71,5.3415665426,0.0020395676,6.1950174487,5.0121274113,1.6118604580,3.5714285714,26.0114511785,27.0523443135,23.4349036067,0.6495404516,1,ob_ugrian
good,Jugan Khanty,jem,71,North Mansi,jɔməs,71,0.5514907094,0.0205607477,3.8843714741,3.1769800763,1.1559310840,3.5714285714,26.0114511785,52.8785319148,9.7039791419,0.6495404516,1,ob_ugrian
good,Jugan Khanty,jem,71,Obdorsk Khanty,jiːm,71,5.7414800596,0.0017366764,6.3557820869,5.1972749824,1.6481344464,3.5714285714,26.0114511785,31.1602460168,18.7402329085,0.6495404516,1,ob_ugrian
good,Jugan Khanty,jem,71,Pelymka Mansi,jɔməs,71,0.5514907094,0.0181257591,4.0104211959,3.1799675785,1.1568710013,3.5714285714,26.0114511785,50.5405145095,9.4778255299,0.6495404516,1,ob_ugrian
good,Jugan Khanty,jem,71,Sherkaly Khanty,jam,71,5.3415665426,0.0020191286,6.2050892534,4.8666988163,1.5824158461,3.5714285714,26.0114511785,25.9662692598,23.0727825428,0.6495404516,1,ob_ugrian
good,Jugan Khanty,jem,71,Synja Khanty,jam,71,5.3415665426,0.0021859061,6.1257248407,5.0472770375,1.6188488974,3.5714285714,26.0114511785,26.2101308036,22.6439361624,0.6495404516,1,ob_ugrian
good,Jugan Khanty,jem,71,Tavda Mansi,jumɔs,71,-0.6695684256,0.0402638983,3.2123000348,3.0126622121,1.1028241437,3.5714285714,27.7779678988,53.3863326167,11.2718679640,0.6495404516,1,ob_ugrian
good,Jugan Khanty,jem,71,Tremjugan Khanty,jem,71,8.3375631585,0.0007691568,7.1702156927,7.3381161041,1.9930821481,3.5714285714,26.0114511785,25.9685319958,25.2799955529,0.6495404516,1,ob_ugrian
good,Jugan Khanty,jem,71,Upper Demjanka Khanty,jem,71,8.3375631585,0.0005823547,7.4484309247,5.5009837708,1.7049269437,3.5714285714,26.0114511785,25.7204885468,24.3011621959,0.6495404516,1,ob_ugrian
good,Jugan Khanty,jem,71,Vakh Khanty,jem,71,8.3375631585,0.0007546458,7.1892620736,6.0973392266,1.8078524837,3.5714285714,26.0114511785,26.2624068012,23.9984896786,0.6495404516,1,ob_ugrian
good,Jugan Khanty,jem,71,Vartovskoje Khanty,jem,71,8.3375631585,0.0009527439,6.9561644182,6.0922882014,1.8070237421,3.5714285714,26.0114511785,26.2748754912,24.4245242177,0.6495404516,1,ob_ugrian
good,Jugan Khanty,jem,71,Vasjugan Khanty,jem,71,8.3375631585,0.0006995803,7.2650300430,5.9206569474,1.7784474136,3.5714285714,26.0114511785,26.3300699312,23.6848736861,0.6495404516,1,ob_ugrian
good,Jugan Khanty,jem,71,Verkhne-Kalymsk Khanty,jem,71,8.3375631585,0.0008079720,7.1209831655,5.7626741967,1.7514016372,3.5714285714,26.0114511785,25.4118470291,23.1016404091,0.6495404516,1,ob_ugrian
good,Kazym Khanty,jam,71,Konda Khanty,jem,71,5.3415665426,0.0060434026,5.1087880782,4.9236908254,1.5940584170,3.5714285714,29.9372513006,25.6977678278,18.9945849799,0.6495404516,1,ob_ugrian
good,Kazym Khanty,jam,71,Konda Mansi,jɔməs,71,1.4648332090,0.0186882934,3.9798579741,2.9061860088,1.0668415716,3.5714285714,26.8028746121,48.6243569049,11.8481413042,0.6495404516,1,ob_ugrian
good,Kazym Khanty,jam,71,Likrisovskoje Khanty,jem,71,5.3415665426,0.0019605097,6.2345507719,4.9879784327,1.6070307040,3.5714285714,26.7976464499,26.9601724793,25.5919411980,0.6495404516,1,ob_ugrian
