gloss,l1,w1,cc1,l2,w2,cc2,feature1,feature2,feature3,feature4,feature5,feature6,lexstat_simAA,lexstat_simBB,lexstat_simAB,feature7,target,db
good,Boluo_Tujia,ʦʰo²¹,46,Dianfang_Tujia,ʦʰa³⁵,46,1.3742856959,0.0218322791,3.8243657104,2.1389585298,0.7603190423,2.4000000000,20.9678997809,17.8772201170,1.4581361077,0.8310016212,1,tujia
good,Boluo_Tujia,ʦʰo²¹,46,Duogu_Tujia,ʦʰa²⁴,46,1.3742856959,0.0354949516,3.3383648011,2.1745164327,0.7768063100,2.4000000000,18.8215852612,17.3573669684,0.7090631854,0.8310016212,1,tujia
good,Boluo_Tujia,ʦʰo²¹,46,Tanxi_Tujia,ʦʰo³³,46,1.8210740343,0.0344531502,3.3681548443,4.5259308043,1.5098232586,2.4000000000,16.4820267045,19.1014555693,10.7008396917,0.8310016212,1,tujia
good,Boluo_Tujia,ʦʰo²¹,46,Tasha_Tujia,ʦʰa²⁴,46,1.3742856959,0.0244823013,3.7098048169,2.0589345116,0.7221886216,2.4000000000,16.4820267045,17.2285287521,9.4904674646,0.8310016212,1,tujia
good,Dianfang_Tujia,ʦʰa³⁵,46,Duogu_Tujia,ʦʰa²⁴,46,6.1618629181,0.0035625928,5.6372666914,5.2352409058,1.6554128616,2.4000000000,17.3573669684,17.3573669684,17.3573669684,0.8310016212,1,tujia
good,Dianfang_Tujia,ʦʰa³⁵,46,Tanxi_Tujia,ʦʰo³³,46,1.0630132067,0.0402122882,3.2135826529,2.1375125476,0.7596427920,2.4000000000,17.8772201170,19.1014555693,9.2476538289,0.8310016212,1,tujia
good,Dianfang_Tujia,ʦʰa³⁵,46,Tasha_Tujia,ʦʰa²⁴,46,6.1618629181,0.0042693577,5.4562918950,5.1174400344,1.6326543207,2.4000000000,17.8772201170,17.2285287521,16.7500144261,0.8310016212,1,tujia
good,Duogu_Tujia,ʦʰa²⁴,46,Tanxi_Tujia,ʦʰo³³,46,1.0630132067,0.0372528616,3.2900265156,1.9715117209,0.6788006195,2.4000000000,17.3573669684,19.1014555693,9.3948241013,0.8310016212,1,tujia
good,Duogu_Tujia,ʦʰa²⁴,46,Tasha_Tujia,ʦʰa²⁴,46,6.1618629181,0.0038594755,5.5572239837,4.7249961923,1.5528667551,2.4000000000,17.3573669684,17.2285287521,15.4015577004,0.8310016212,1,tujia
good,Tanxi_Tujia,ʦʰo³³,46,Tasha_Tujia,ʦʰa²⁴,46,1.0630132067,0.0290727328,3.5379545600,1.7809733581,0.5771600452,2.4000000000,20.4393921589,17.2285287521,4.5668802607,0.8310016212,1,tujia
hair,Boluo_Tujia,a²¹+bo⁵³+a²¹+so²¹,49,Dianfang_Tujia,sa³⁵+ʨʰi⁵⁵,49,-15.7422856366,0.9462354622,0.0552638380,2.1389585298,0.7603190423,6.2000000000,64.1497051707,35.9138072732,-8.0942544785,0.5351684045,1,tujia
hair,Boluo_Tujia,a²¹+bo⁵³+a²¹+so²¹,49,Duogu_Tujia,sa²⁴+ʨʰi⁴⁴,49,-15.7422856366,0.9561777870,0.0448114135,2.1745164327,0.7768063100,6.2000000000,57.9086106058,35.7259035700,-4.5721686884,0.5351684045,1,tujia
hair,Boluo_Tujia,a²¹+bo⁵³+a²¹+so²¹,49,Tanxi_Tujia,ʔa²¹+so²¹,49,2.3186766776,0.0294086079,3.5264678611,4.5259308043,1.5098232586,6.2000000000,55.6666922504,36.8541361551,10.0285349572,0.5351684045,1,tujia
hair,Boluo_Tujia,a²¹+bo⁵³+a²¹+so²¹,49,Tasha_Tujia,sa²⁴+ʨʰi⁵⁵,49,-15.7422856366,0.9400183617,0.0618558702,2.0589345116,0.7221886216,6.2000000000,55.6666922504,35.5193628869,-3.2355283276,0.5351684045,1,tujia
hair,Dianfang_Tujia,sa³⁵+ʨʰi⁵⁵,49,Duogu_Tujia,sa²⁴+ʨʰi⁴⁴,49,15.9599296046,0.0001979218,8.5276384493,5.2352409058,1.6554128616,6.2000000000,35.7259035700,35.7259035700,35.7259035700,0.5351684045,1,tujia
hair,Dianfang_Tujia,sa³⁵+ʨʰi⁵⁵,49,Tanxi_Tujia,ʔa²¹+so²¹,49,-7.0035001801,0.4788732394,0.7363193524,2.1375125476,0.7596427920,6.2000000000,35.9138072732,36.8541361551,5.5469413659,0.5351684045,1,tujia
hair,Dianfang_Tujia,sa³⁵+ʨʰi⁵⁵,49,Tasha_Tujia,sa²⁴+ʨʰi⁵⁵,49,15.9599296046,0.0003881234,7.8541871678,5.1174400344,1.6326543207,6.2000000000,35.9138072732,35.5193628869,33.6894985329,0.5351684045,1,tujia
hair,Duogu_Tujia,sa²⁴+ʨʰi⁴⁴,49,Tanxi_Tujia,ʔa²¹+so²¹,49,-7.0035001801,0.4497398543,0.7990859649,1.9715117209,0.6788006195,6.2000000000,35.7259035700,36.8541361551,5.1051211013,0.5351684045,1,tujia
hair,Duogu_Tujia,sa²⁴+ʨʰi⁴⁴,49,Tasha_Tujia,sa²⁴+ʨʰi⁵⁵,49,15.9599296046,0.0001979218,8.5276384493,4.7249961923,1.5528667551,6.2000000000,35.7259035700,35.5193628869,30.7224548247,0.5351684045,1,tujia
hair,Tanxi_Tujia,ʔa²¹+so²¹,49,Tasha_Tujia,sa²⁴+ʨʰi⁵⁵,49,-7.0035001801,0.4586351117,0.7795003487,1.7809733581,0.5771600452,6.2000000000,35.3202009464,35.5193628869,-2.5385346009,0.5351684045,1,tujia
many,Boluo_Tujia,zi⁴⁵,77,Dianfang_Tujia,zi²¹,77,4.3488773371,0.0052030198,5.2585160927,2.1389585298,0.7603190423,2.6000000000,19.1111838994,18.8583148503,10.6811787450,0.4499458750,1,tujia
many,Boluo_Tujia,zi⁴⁵,77,Duogu_Tujia,zi²¹,77,4.3488773371,0.0105131675,4.5551267616,2.1745164327,0.7768063100,2.6000000000,18.1916399417,16.2991523643,9.6964049181,0.4499458750,1,tujia
many,Boluo_Tujia,zi⁴⁵,77,Tanxi_Tujia,zi³⁵,77,6.8419052593,0.0049372115,5.3109545710,4.5259308043,1.5098232586,2.6000000000,18.3446123495,18.5403759500,16.2076020145,0.4499458750,1,tujia
many,Boluo_Tujia,zi⁴⁵,77,Tasha_Tujia,zi²¹,77,4.3488773371,0.0058145466,5.1473924724,2.0589345116,0.7221886216,2.6000000000,18.3446123495,17.4728373986,14.0037442993,0.4499458750,1,tujia
many,Dianfang_Tujia,zi²¹,77,Duogu_Tujia,zi²¹,77,9.1631186676,0.0013854527,6.5817283002,5.2352409058,1.6554128616,2.6000000000,16.2991523643,16.2991523643,16.2991523643,0.4499458750,1,tujia
many,Dianfang_Tujia,zi²¹,77,Tanxi_Tujia,zi³⁵,77,4.3488773371,0.0076546234,4.8724454487,2.1375125476,0.7596427920,2.6000000000,18.8583148503,18.5403759500,14.4284148351,0.4499458750,1,tujia
many,Dianfang_Tujia,zi²¹,77,Tasha_Tujia,zi²¹,77,9.1631186676,0.0016495245,6.4072681848,5.1174400344,1.6326543207,2.6000000000,18.8583148503,17.4728373986,17.2343982642,0.4499458750,1,tujia
many,Duogu_Tujia,zi²¹,77,Tanxi_Tujia,zi³⁵,77,4.3488773371,0.0062434964,5.0762149397,1.9715117209,0.6788006195,2.6000000000,16.2991523643,18.5403759500,11.7119677846,0.4499458750,1,tujia
many,Duogu_Tujia,zi²¹,77,Tasha_Tujia,zi²¹,77,9.1631186676,0.0013854527,6.5817283002,4.7249961923,1.5528667551,2.6000000000,16.2991523643,17.4728373986,14.6907963292,0.4499458750,1,tujia
many,Tanxi_Tujia,zi³⁵,77,Tasha_Tujia,zi²¹,77,4.3488773371,0.0036723452,5.6069248018,1.7809733581,0.5771600452,2.6000000000,18.1776911230,17.4728373986,10.2988695240,0.4499458750,1,tujia
feather,Boluo_Tujia,a³³+so³³,37,Duogu_Tujia,ʨi²⁴+ka⁴⁴,36,-7.0877867038,0.4524825648,0.7930060474,2.1745164327,0.7768063100,5.0000000000,32.5934032593,36.0106520673,0.9182811121,0.6818692298,0,tujia
feather,Boluo_Tujia,a³³+so³³,37,Tasha_Tujia,si²⁴+ka²¹,36,-9.2773736570,0.6014485362,0.5084143064,2.0589345116,0.7221886216,5.0000000000,29.7281310741,35.6351740409,1.4081164371,0.6818692298,0,tujia
feather,Duogu_Tujia,ʨi²⁴+ka⁴⁴,36,Tasha_Tujia,si²⁴+ka²¹,36,2.8691329803,0.0211776348,3.8548096148,4.7249961923,1.5528667551,5.0000000000,36.0106520673,35.6351740409,17.7966268952,0.6818692298,1,tujia
